country,GWIS Weekly Cumulative Burnt Areas,GWIS Weekly Cumulative Emissions - [CO2] - Carbon Dioxide,GWIS Weekly Cumulative Number of Fires,GWIS Weekly Cumulative Severity Rating,MODIS Weekly Cumulative Thermal Anomalies,VIIRS Weekly Cumulative Thermal Anomalies,Average Scoring
Brazil,3.0,1.0,3.0,1.0,3.0,3.0,2.3
Finland,1.0,3.0,1.0,1.0,1.0,1.0,1.3
Hungary,2.0,4.0,2.0,3.0,2.0,2.0,2.5
Iceland,5.0,4.0,5.0,4.0,5.0,5.0,4.7
India,4.0,2.0,4.0,2.0,4.0,4.0,3.3
Israel,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Italy,2.0,1.0,3.0,2.0,3.0,3.0,2.3
Mexico,4.0,2.0,4.0,2.0,4.0,4.0,3.3
Russia,3.0,2.0,2.0,1.0,3.0,3.0,2.3
Saudi Arabia,3.0,4.0,3.0,5.0,5.0,5.0,4.2
Spain,2.0,1.0,2.0,3.0,2.0,2.0,2.0
Turkey,3.0,1.0,3.0,3.0,3.0,3.0,2.7
Uganda,5.0,3.0,5.0,3.0,5.0,5.0,4.3
Ukraine,4.0,1.0,4.0,2.0,4.0,4.0,3.2
United Kingdom,2.0,4.0,2.0,1.0,2.0,3.0,2.3
United States,3.0,1.0,2.0,1.0,3.0,3.0,2.2
