metric_type,country,Month,zone,Average,Min,Max,Country,2021 carbon stock (million t),Norm Min,Norm Max,Norm Average,Average Score,Total Average Score,Max Score,Min Score
GWIS Weekly Burnt Areas,Brazil,1.0,America,82362.48,14979.0,254056.5,Brazil,51894.2395,0.28864475410608914,4.895658987352536,1.5871218230300879,1,1.7,1,1
GWIS Weekly Burnt Areas,Brazil,2.0,America,54124.854999999996,8686.25,161273.0,Brazil,51894.2395,0.1673837035418931,3.1077245095768284,1.042983874925077,1,1.5,1,1
GWIS Weekly Burnt Areas,Brazil,3.0,America,69251.702,19483.8,197873.6,Brazil,51894.2395,0.37545207691115695,3.8130166644026064,1.3344776350369294,2,1.5,2,2
GWIS Weekly Burnt Areas,Brazil,4.0,America,55744.3975,24188.75,122371.5,Brazil,51894.2395,0.46611628252110715,2.3580941002131843,1.0741923966339268,2,1.5,2,1
GWIS Weekly Burnt Areas,Brazil,5.0,America,107607.0825,43024.5,230727.25,Brazil,51894.2395,0.8290804608476823,4.446105236786445,2.073584342632095,3,2.0,2,1
GWIS Weekly Burnt Areas,Brazil,6.0,America,206097.484,138382.4,295551.4,Brazil,51894.2395,2.666623527646069,5.6952641150083725,3.9714905929009707,4,2.5,3,2
GWIS Weekly Burnt Areas,Brazil,7.0,America,467772.0625,247574.0,899678.75,Brazil,51894.2395,4.7707414615836115,17.33677492277346,9.013949660058126,4,2.8,3,2
GWIS Weekly Burnt Areas,Brazil,8.0,America,1471383.0,633699.5,2371095.25,Brazil,51894.2395,12.211365001311947,45.690914306586954,28.35349384010146,1,2.3,1,2
GWIS Weekly Burnt Areas,Brazil,9.0,America,2286247.482,958655.0,3655545.0,Brazil,51894.2395,18.473244992828153,70.44221160616488,44.05590107934812,1,2.3,1,2
GWIS Weekly Burnt Areas,Brazil,10.0,America,1455732.895,681831.25,2875864.75,Brazil,51894.2395,13.13886197330245,55.417803164838745,28.05191691844718,4,3.3,4,2
GWIS Weekly Burnt Areas,Brazil,11.0,America,580556.79,61871.25,1297828.0,Brazil,51894.2395,1.192256608751343,25.00909566272765,11.187307022776585,1,2.0,1,2
