metric_type,country,Quarter,zone,Average,Min,Max,Country,2021 carbon stock (million t),Norm Min,Norm Max,Norm Average,Average Score,Total Average Score,Max Score,Min Score
GWIS Weekly Burnt Areas,Brazil,Q1,America,68631.37307692308,14775.384615384615,203898.92307692306,Brazil,51894.2395,0.28472109347290103,3.929124408440807,1.3225239205388697,2,1.5,2,2
GWIS Weekly Burnt Areas,Brazil,Q2,America,129530.25692307691,73905.0,222319.38461538462,Brazil,51894.2395,1.4241465085927312,4.284085994080029,2.4960430708899186,3,1.8,2,2
GWIS Weekly Burnt Areas,Brazil,Q3,America,1475989.0507692308,639874.5384615385,2412370.846153846,Brazil,51894.2395,12.330357755055616,46.48629345755892,28.442252261336844,4,3.2,4,2
GWIS Weekly Burnt Areas,Brazil,Q4,America,731049.4161538462,240696.61538461538,1610422.1538461538,Brazil,51894.2395,4.638214524458256,31.03277298911286,14.087294142808396,4,2.8,4,3
GWIS Weekly Burnt Areas,Finland,Q1,Europe,0.0,0.0,0.0,Finland,863.4188,0.0,0.0,0.0,1,1.2,1,1
GWIS Weekly Burnt Areas,Finland,Q2,Europe,54.35307692307693,0.0,352.2307692307692,Finland,863.4188,0.0,0.40794892262106086,0.06295100005128093,1,1.3,1,1
GWIS Weekly Burnt Areas,Finland,Q3,Europe,33.05076923076923,0.0,278.46153846153845,Finland,863.4188,0.0,0.3225103952584058,0.03827895481401288,2,1.8,2,1
GWIS Weekly Burnt Areas,Finland,Q4,Europe,3.7946153846153843,0.0,39.69230769230769,Finland,863.4188,0.0,0.04597109501473409,0.004394872319916342,1,1.2,1,1
GWIS Weekly Burnt Areas,Hungary,Q1,Europe,340.8961538461538,0.0,1751.076923076923,Hungary,136.7524,0.0,12.8047253509037,2.492798326363222,3,2.8,3,1
GWIS Weekly Burnt Areas,Hungary,Q2,Europe,104.35230769230769,0.0,602.3846153846154,Hungary,136.7524,0.0,4.404929020511635,0.7630747810810464,2,2.5,2,1
GWIS Weekly Burnt Areas,Hungary,Q3,Europe,148.48,0.0,753.1538461538462,Hungary,136.7524,0.0,5.507426898203222,1.0857579099160233,3,3.2,3,1
GWIS Weekly Burnt Areas,Hungary,Q4,Europe,97.69307692307692,0.0,575.1538461538462,Hungary,136.7524,0.0,4.205804403826523,0.714379249819944,2,2.3,2,1
GWIS Weekly Burnt Areas,Iceland,Q1,Europe,39.69307692307692,0.0,428.15384615384613,Iceland,0.7915,0.0,540.9397929928568,50.14918120414014,4,3.8,5,1
GWIS Weekly Burnt Areas,Iceland,Q2,Europe,72.55846153846154,0.0,865.6153846153846,Iceland,0.7915,0.0,1093.6391467029496,91.67209291024832,5,4.7,5,1
GWIS Weekly Burnt Areas,Iceland,Q3,Europe,283.6469230769231,0.0,2689.923076923077,Iceland,0.7915,0.0,3398.5130472812093,358.3662957383741,5,4.2,5,1
GWIS Weekly Burnt Areas,Iceland,Q4,Europe,81.22461538461539,0.0,818.6923076923077,Iceland,0.7915,0.0,1034.3554108557269,102.62111861606493,5,4.0,5,1
GWIS Weekly Burnt Areas,India,Q1,Asia,260730.07153846155,49290.07692307692,650845.6153846154,India,3005.6956,16.39889179831681,216.53743492342184,86.74533493626619,5,4.2,5,3
GWIS Weekly Burnt Areas,India,Q2,Asia,175728.20538461537,59376.846153846156,385848.1538461539,India,3005.6956,19.75477694875228,128.37233213042396,58.465070576213826,5,3.8,4,3
GWIS Weekly Burnt Areas,India,Q3,Asia,1419.853076923077,206.92307692307693,3383.5384615384614,India,3005.6956,0.06884365699676206,1.1257089578660133,0.472387515529875,2,1.8,2,1
GWIS Weekly Burnt Areas,India,Q4,Asia,97305.60230769232,25492.153846153848,187143.38461538462,India,3005.6956,8.481282617625633,62.26291997612287,32.37373814823175,4,3.3,4,3
GWIS Weekly Burnt Areas,Israel,Q1,Asia,6.352307692307692,0.0,76.23076923076923,Israel,0.6244,0.0,122.08643374562658,10.173458828167348,4,4.7,4,1
GWIS Weekly Burnt Areas,Israel,Q2,Asia,178.42923076923077,0.0,850.1538461538462,Israel,0.6244,0.0,1361.553244961317,285.7610998866605,5,5.0,5,1
GWIS Weekly Burnt Areas,Israel,Q3,Asia,186.60307692307694,0.0,689.4615384615385,Israel,0.6244,0.0,1104.1984920908687,298.851820824915,5,5.0,5,1
GWIS Weekly Burnt Areas,Israel,Q4,Asia,83.80153846153847,0.0,414.38461538461536,Israel,0.6244,0.0,663.6524910067511,134.21130439067662,5,5.0,5,1
GWIS Weekly Burnt Areas,Italy,Q1,Europe,713.6038461538462,0.0,3614.0,Italy,663.7759,0.0,5.444608639753266,1.075067422836301,2,2.0,2,1
GWIS Weekly Burnt Areas,Italy,Q2,Europe,1235.583076923077,40.69230769230769,4018.3076923076924,Italy,663.7759,0.06130428611871521,6.053711338883639,1.8614461249995322,2,2.3,2,1
GWIS Weekly Burnt Areas,Italy,Q3,Europe,9403.845384615384,1547.6153846153845,29182.69230769231,Italy,663.7759,2.3315329535395675,43.964675890902804,14.167199177637189,4,3.5,4,2
GWIS Weekly Burnt Areas,Italy,Q4,Europe,764.7753846153846,23.076923076923077,3648.4615384615386,Italy,663.7759,0.03476613579511259,5.4965260692073015,1.1521590112195768,2,1.8,2,1
GWIS Weekly Burnt Areas,Mexico,Q1,America,54348.840000000004,14365.0,118251.76923076923,Mexico,2022.0035,7.104339829283184,58.48247504555221,26.878707183246718,4,3.5,4,3
GWIS Weekly Burnt Areas,Mexico,Q2,America,278577.17307692306,108156.15384615384,475751.8461538461,Mexico,2022.0035,53.48959774112846,235.28735046890182,137.77284415033063,5,4.3,5,3
GWIS Weekly Burnt Areas,Mexico,Q3,America,9460.776153846153,3293.5384615384614,22409.384615384617,Mexico,2022.0035,1.6288490408342327,11.082762525081987,4.678911858385088,3,2.8,3,2
