metric_type,country,Month,zone,Average,Min,Max,Country,2021 carbon stock (million t),Norm Min,Norm Max,Norm Average
GWIS Weekly Burnt Areas,Afghanistan,1.0,Asia,172.5,0.0,1097.0,,,,,
GWIS Weekly Burnt Areas,Afghanistan,2.0,Asia,310.645,0.0,1296.25,,,,,
GWIS Weekly Burnt Areas,Afghanistan,3.0,Asia,173.348,0.0,895.6,,,,,
GWIS Weekly Burnt Areas,Afghanistan,4.0,Asia,58.915,0.0,410.75,,,,,
GWIS Weekly Burnt Areas,Afghanistan,5.0,Asia,96.33500000000001,0.0,607.0,,,,,
GWIS Weekly Burnt Areas,Afghanistan,6.0,Asia,354.73199999999997,0.0,1221.4,,,,,
GWIS Weekly Burnt Areas,Afghanistan,7.0,Asia,264.855,0.0,1779.5,,,,,
GWIS Weekly Burnt Areas,Afghanistan,8.0,Asia,167.5625,0.0,1070.0,,,,,
GWIS Weekly Burnt Areas,Afghanistan,9.0,Asia,151.932,0.0,956.6,,,,,
GWIS Weekly Burnt Areas,Afghanistan,10.0,Asia,291.395,0.0,2415.5,,,,,
GWIS Weekly Burnt Areas,Afghanistan,11.0,Asia,115.065,0.0,587.25,,,,,
GWIS Weekly Burnt Areas,Afghanistan,12.0,Asia,122.68200000000002,0.0,686.4,,,,,
GWIS Weekly Burnt Areas,Akrotiri and Dhekelia,1.0,Asia,0.0,0.0,0.0,,,,,
GWIS Weekly Burnt Areas,Akrotiri and Dhekelia,2.0,Asia,0.9575,0.0,11.5,,,,,
GWIS Weekly Burnt Areas,Akrotiri and Dhekelia,3.0,Asia,4.7,0.0,56.4,,,,,
GWIS Weekly Burnt Areas,Akrotiri and Dhekelia,4.0,Asia,0.125,0.0,1.5,,,,,
GWIS Weekly Burnt Areas,Akrotiri and Dhekelia,5.0,Asia,0.0,0.0,0.0,,,,,
GWIS Weekly Burnt Areas,Akrotiri and Dhekelia,6.0,Asia,3.4840000000000004,0.0,41.8,,,,,
GWIS Weekly Burnt Areas,Akrotiri and Dhekelia,7.0,Asia,0.0,0.0,0.0,,,,,
GWIS Weekly Burnt Areas,Akrotiri and Dhekelia,8.0,Asia,0.0,0.0,0.0,,,,,
GWIS Weekly Burnt Areas,Akrotiri and Dhekelia,9.0,Asia,0.884,0.0,10.6,,,,,
