id,filename,type,response
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,project_proponents,"[{'organization_name': 'Nature Conservancy of Canada', 'telephone': '416-932-0050', 'email': 'rob.wilson@natureconservancy.ca', 'state/city': 'Toronto', 'country': 'Canada'}]"
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,ghg_emission_reductions,"[{'year': 2008, 'estimated_reduction': 3178231}, {'year': 2009, 'estimated_reduction': 331727}, {'year': 2010, 'estimated_reduction': 439461}, {'year': 2011, 'estimated_reduction': 435748}, {'year': 2012, 'estimated_reduction': 427496}, {'year': 2013, 'estimated_reduction': 371602}, {'year': 2014, 'estimated_reduction': 405719}, {'year': 2015, 'estimated_reduction': 367248}, {'year': 2016, 'estimated_reduction': 414790}, {'year': 2017, 'estimated_reduction': 263116}, {'year': 2018, 'estimated_reduction': 231998}, {'year': 2019, 'estimated_reduction': 315986}, {'year': 2020, 'estimated_reduction': 452612}, {'year': 2021, 'estimated_reduction': 413921}, {'year': 2022, 'estimated_reduction': 430528}, {'year': 2023, 'estimated_reduction': 440911}, {'year': 2024, 'estimated_reduction': 290837}, {'year': 2025, 'estimated_reduction': 131601}, {'year': 2026, 'estimated_reduction': 126403}, {'year': 2027, 'estimated_reduction': 243925}, {'year': 2028, 'estimated_reduction': 134467}, {'year': 2029, 'estimated_reduction': 127468}, {'year': 2030, 'estimated_reduction': 127468}, {'year': 2031, 'estimated_reduction': 127468}, {'year': 2032, 'estimated_reduction': 127468}, {'year': 2033, 'estimated_reduction': 127468}, {'year': 2034, 'estimated_reduction': 116801}, {'year': 2035, 'estimated_reduction': 116801}, {'year': 2036, 'estimated_reduction': 116801}, {'year': 2037, 'estimated_reduction': 116801}, {'year': 2038, 'estimated_reduction': 116801}, {'year': 2039, 'estimated_reduction': 158659}, {'year': 2040, 'estimated_reduction': 158659}, {'year': 2041, 'estimated_reduction': 158659}, {'year': 2042, 'estimated_reduction': 158659}, {'year': 2043, 'estimated_reduction': 158659}, {'year': 2044, 'estimated_reduction': 97842}, {'year': 2045, 'estimated_reduction': 97842}, {'year': 2046, 'estimated_reduction': 97842}, {'year': 2047, 'estimated_reduction': 97842}, {'year': 2048, 'estimated_reduction': 97842}, {'year': 2049, 'estimated_reduction': 81649}, {'year': 2050, 'estimated_reduction': 81649}, {'year': 2051, 'estimated_reduction': 81649}, {'year': 2052, 'estimated_reduction': 81649}, {'year': 2053, 'estimated_reduction': 81649}, {'year': 2054, 'estimated_reduction': 117388}, {'year': 2055, 'estimated_reduction': 117388}, {'year': 2056, 'estimated_reduction': 117388}, {'year': 2057, 'estimated_reduction': 117388}, {'year': 2058, 'estimated_reduction': 117388}, {'year': 2059, 'estimated_reduction': 119179}, {'year': 2060, 'estimated_reduction': 119179}, {'year': 2061, 'estimated_reduction': 119179}, {'year': 2062, 'estimated_reduction': 119179}, {'year': 2063, 'estimated_reduction': 119179}, {'year': 2064, 'estimated_reduction': 90160}, {'year': 2065, 'estimated_reduction': 90160}, {'year': 2066, 'estimated_reduction': 90160}, {'year': 2067, 'estimated_reduction': 90160}, {'year': 2068, 'estimated_reduction': 90160}, {'year': 2069, 'estimated_reduction': 74324}, {'year': 2070, 'estimated_reduction': 74324}, {'year': 2071, 'estimated_reduction': 74324}, {'year': 2072, 'estimated_reduction': 74324}, {'year': 2073, 'estimated_reduction': 74324}, {'year': 2074, '"
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,methodology,{'project_methodologies': ['VM0012']}
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,project_location,{'project_state_province': 'British Columbia'}
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,crediting period,"{'crediting_period_start': '2008-04-01', 'crediting_period_end': '2108-03-31'}"
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,sector,{'project_sector': 'Forestry and Land Use'}
641,641_PROJ_DESC_641_27_AUG2013.pdf,project_proponents,"[{'organization_name': 'William Robert Gooch and Marie Celma Gooch', 'telephone': '0408 961 141', 'email': 'wisedale@bigpond.com', 'state/city': 'Frankford', 'country': 'Australia'}]"
641,641_PROJ_DESC_641_27_AUG2013.pdf,ghg_emission_reductions,"[{'year': 2012, 'estimated_reduction': 2054.0}, {'year': 2013, 'estimated_reduction': 40235.0}, {'year': 2014, 'estimated_reduction': 958.0}, {'year': 2015, 'estimated_reduction': 29504.0}, {'year': 2016, 'estimated_reduction': 476.0}, {'year': 2017, 'estimated_reduction': 471.0}, {'year': 2018, 'estimated_reduction': 473.0}, {'year': 2019, 'estimated_reduction': 460.0}, {'year': 2020, 'estimated_reduction': 17705.0}, {'year': 2021, 'estimated_reduction': 52.0}, {'year': 2022, 'estimated_reduction': 48.0}, {'year': 2023, 'estimated_reduction': 76.0}, {'year': 2024, 'estimated_reduction': 97.0}, {'year': 2025, 'estimated_reduction': 92.0}, {'year': 2026, 'estimated_reduction': 118.0}, {'year': 2027, 'estimated_reduction': 122.0}, {'year': 2028, 'estimated_reduction': 39984.0}, {'year': 2029, 'estimated_reduction': 471.0}, {'year': 2030, 'estimated_reduction': 441.0}, {'year': 2031, 'estimated_reduction': 398.0}, {'year': 2032, 'estimated_reduction': 369.0}, {'year': 2033, 'estimated_reduction': 330.0}, {'year': 2034, 'estimated_reduction': 310.0}, {'year': 2035, 'estimated_reduction': 286.0}]"
641,641_PROJ_DESC_641_27_AUG2013.pdf,methodology,{'project_methodologies': ['GreenCollar IFM LtPF Methodology']}
641,641_PROJ_DESC_641_27_AUG2013.pdf,project_location,"{'project_state_province': 'Tasmania', 'project_latitude': -41.26, 'project_longitude': 146.65}"
