id,filename,type,response
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,project_proponents,"{""Organization name"":""Danfeng County Construction Development Group Co., Ltd"",""Phone number"":""+86 13991499380"",""Email address"":""danfenglyth@163.com"",""City"":""Shangluo"",""State"":""Shanxi"",""Country"":""China""}"
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,ghg_emission_reductions,"{""2022"":52058,""2023"":55751,""2024"":59709,""2025"":52202,""2026"":55224,""2027"":58131,""2028"":61482,""2029"":65028,""2030"":57515,""2031"":60286,""2032"":62919,""2033"":65940,""2034"":69107,""2035"":61555,""2036"":64066,""2037"":66429,""2038"":69132,""2039"":71947,""2040"":64644,""2041"":66912,""2042"":69030,""2043"":71448,""2044"":73949,""2045"":67158,""2046"":33496,""2047"":69912,""2048"":71537,""2049"":73754,""2050"":67362,""2051"":69222,""2052"":71135,""2053"":73103,""2054"":-1412207,""2055"":23523,""2056"":4089,""2057"":4823,""2058"":5682,""2059"":6686,""2060"":7857,""2061"":9232,""2062"":10836,""2063"":12394,""2064"":14496,""2065"":16946,""2066"":19811,""2067"":23152,""2068"":26724,""2069"":31209,""2070"":36444,""2071"":30433,""2072"":34071,""2073"":37805,""2074"":42303,""2075"":47334,""2076"":40325,""2077"":43967,""2078"":47609,""2079"":51892,""2080"":56562,""2081"":48877,""2082"":52058,""2083"":55751,""2084"":59709,""2085"":52202,""2086"":55224,""2087"":58131,""2088"":61482,""2089"":65028,""2090"":57515,""2091"":60286,""2092"":62919,""2093"":65940,""2094"":69107,""2095"":61555,""2096"":64066,""2097"":66429,""2098"":69132,""2099"":71947,""2100"":64644,""2101"":66912,""2102"":69030,""2103"":71448,""2104"":73949,""2105"":67158,""2106"":33496,""2107"":69912,""2108"":71537,""2109"":73754,""2110"":67362,""2111"":69222,""2112"":71135,""2113"":73103,""2114"":-1412207,""2115"":23523,""2116"":4089,""2117"":4823,""2118"":5682,""2119"":6686,""2120"":7857,""2121"":9232}"
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,methodology,No relevant information found in context
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,project_location,"{""city"":""Danfeng County"",""country"":""China"",""latitude"":33.1,""longitude"":110.3}"
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,crediting period,No relevant information found in context
4843,4843_VCS_PROJ_DESC_DRAFT_4843_30NOV2023.pdf,sector,No relevant information found in context
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,project_proponents,"{""organization_name"":""Nature Conservancy of Canada"",""phone_number"":""+1 416 932 0050"",""email"":""rob.wilson@natureconservancy.ca"",""city"":""Toronto"",""state"":""Ontario"",""country"":""Canada""}"
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,ghg_emission_reductions,"{""2008"":317823,""2009"":331727,""2010"":439461,""2011"":435748,""2012"":427496,""2013"":371602,""2014"":405719,""2015"":367248,""2016"":414790,""2017"":263116,""2018"":231998,""2019"":315986,""2020"":452612,""2021"":413921,""2022"":430528,""2023"":440911,""2024"":290837,""2025"":131601,""2026"":126403,""2027"":243925,""2028"":134467,""2033"":127468,""2038"":116801,""2043"":158659,""2048"":97842,""2053"":81649,""2058"":117388,""2063"":119179,""2068"":90160,""2073"":74324,""2078"":41217,""2083"":10230,""2088"":75355,""2093"":139373,""2098"":107151,""2103"":113304,""2108"":83095}"
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,methodology,No relevant information found in context
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,project_location,No relevant information found in context
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,crediting period,"{""start_date"":""01 April 2008"",""end_date"":""31 March 2109""}"
607,607_Darkwoods_2018_VCS-Project-Description v2.2.pdf,sector,No relevant information found in context
641,641_PROJ_DESC_641_12MAY2011.pdf,project_proponents,"{""Organization"":""Connorville Estates Pty Ltd"",""Phone"":""+61 (0)3 6397 8291"",""Email"":""raoc@bigpond.com"",""State"":""Tasmania"",""City"":""Cressy"",""Country"":""Australia""}"
641,641_PROJ_DESC_641_12MAY2011.pdf,ghg_emission_reductions,No relevant information found in context
641,641_PROJ_DESC_641_12MAY2011.pdf,methodology,No relevant information found in context
641,641_PROJ_DESC_641_12MAY2011.pdf,project_location,"{""city"":""Tasmania"",""country"":""Australia"",""latitude"":0,""longitude"":0}"
641,641_PROJ_DESC_641_12MAY2011.pdf,crediting period,"{""start_date"":""1 April 2010"",""end_date"":""31 March 2035""}"
641,641_PROJ_DESC_641_12MAY2011.pdf,sector,"{""Project Sector"":""Forestry and Land Use""}"
