Serial Number,Project Name,Project Num,Sector,Vintage,Date of Action,Quantity,CreditType,Credit Status,Comments
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,1,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,5000,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,1,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,12179,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,5,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,1960,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-4-1-A-0-2021,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Green Fuel Extremad,4,1,2021,,0,ICC,Ex-post,
