title,description,State/Province,VCS Proponent,CCB Proponent,VCS Project Status,VCS Estimated Annual Emission Reductions,CCB Estimated Annual Emission Reductions,Total Buffer Pool Credits,VCS Project Type,AFOLU Activity,VCS Methodology,VCS Acres/Hectares,CCB Acres/Hectares,VCS Project Validator,Project Registration Date,Crediting Period Term,CCB Project Status,CCB Project Type,CCB Project Validator,CCB Standard Edition,Auditor Site Visit To and From Date,id
Lacandon – Forest for life REDD+ Project,"This project is developed under the requirements of Agriculture, Forestry and Other Land Use (AFOLU) projects. Specifically, the project category is “Avoided Unplanned Deforestation & Degradation” (AUDD) for Reducing Emissions from Deforestation and Degradation (REDD). The Lacandón – Forest for Life (Bosques para la Vida) REDD+ Project focuses on reduce deforestation that is being exerte by different agents on the forest region by improving living condition of the communities located within the National Park and surrounding areas. Through implementation of project activities, the environmental function of the diverse ecosystems will be maintained, the cultural tangible heritage will be preserved and greenhouse gas emissions from deforestation and degradation processes will be prevented.",Peten,Multiple Proponents,Multiple Proponents,Registered,238875,238875,"43,809",Agriculture Forestry and Other Land Use,REDD,VM0015,45289 Hectares,45289 Hectares,AENOR International S.A.U.,06/04/2020,"1st, 01/02/2012 - 31/01/2042",Verification approved,Reduced Emissions from Deforestation and Degradation,AENOR International S.A.U.,CCB Third Edition,08-Feb-2016 to 12-Feb-2016,1541
Cavalcante Ceramic fuel switching project,"Cavalcante Ceramic, the project proponent, is a red ceramic factory that produces bricks for the surrounding market of São Miguel do Guamá, Pará State. Before implementing the project, the fuel employed to fire the ceramic devices was native wood from the Amazonian biome. The project activity consists of using sawdust to feed the kilns rather than using native wood from the Amazonian biome, which was a pioneering practice in the region. With the absence of the project, this biomass would be anaerobically decaying in open dumps. Açaí pits and rice husk also can be used and are considered complementary sources of fuel, which will be used in the harvest period of the year. Açaí, a fruit, is typically consumed in the state of Pará. The rice husk is a renewable biomass that has a shorter renewal cycle. Any other biomass can be used in the process once its renewability can be verified.",Para,Multiple Proponents,,Registered,17139,,,Energy industries (renewable/non-renewable sources),,AMS-I.E.,,,Earthood Services Private Limited,06/04/2020,"1st, 01/01/2017 - 31/12/2026",,,,,,34
7.25 MW wind energy project of Aruppukottai Sri Jayavilas Ltd,The project activity consists of 17 wind turbine generators (WTGs) in Tirunelveli district of Tamil Nadu state in India. The project activity has 5 WTGs of 850 kW and 12 WTGs of 250 kW.,Tamilnadu,Aruppukottai Sri Jayavilas Limited,,Late to verify,13331,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,SGS United Kingdom Ltd. (SGS),17/03/2009,"CREDITING PERIOD HAS EXPIRED, 01/04/2006 - 31/03/2013",,,,,,1
,,,,,,,,,,,,,,,,,,,,,,2
Liaoning Xingcheng Haibin Wind Farm Project,"The objective of Liaoning Xingcheng Haibin Wind Farm Project is to utilize wind resources for electricity generation through the installation and operation of 49.5MW wind farm at Xingcheng, Liaoning Province, P. R. China. The proposed project is a grid-connected renewable energy project, from which the electricity generated will be sold to the Liaoning Provincial Power Grid, an integral part of the North East China Power Grid. The proposed project activity will achieve obvious greenhouse gas (GHG) emission reductions by avoiding CO2 emissions, as grid connected fossil fuel-fired power plants are dominated in the North East China Power Grid.",Liaoning Province,"Hefeng Taoyuan Hydropower Co., Ltd.
IZMIR, Turkey",,Registered,122340,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Tuev Sued Industrie Service GmbH (Tuev Sued),06/04/2020,,,,,,,3
HEILONGJIANG MULING DAIMAGOU WIND FARM PROJECT (PHASE 2) CHINA,"The project is located on Modaoshi County, Muling City, Heilongjiang Province of China. The project is a windfarm power plant. The proposed installed capacity is 29.75 MW consisting 35 sets of 850 kW turbines.",Heilongjiang Province,"Hong Kong Wind Power (Muling) Ltd.
NA, Guernsey",,Late to verify,75293,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Det Norske Veritas Climate Change Services AS (DNV),24/03/2009,"CREDITING PERIOD HAS EXPIRED, 14/02/2007 - 13/02/2017",,,,,,6
HEILONGJIANG MULING DAIMAGOU WIND FARM PROJECT (PHASE 1) CHINA,"The project is located on Modaoshi County, Muling City, Heilongjiang Province of China. The project is a windfarm power plant. The proposed installed capacity is 29.75 MW consisting 35 sets of 850 kW turbines",Heilongjiang Province,"Asia Wind Power (Mudanjiang) Ltd.
Colombia
(+575)3689222",,Late to verify,75293,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Det Norske Veritas Climate Change Services AS (DNV),24/03/2009,"CREDITING PERIOD HAS EXPIRED, 14/02/2007 - 13/02/2017",,,,,,7
15 MW Wind Energy Project in Maharashtra,Proposed project activity is implementation and operation of 15 MW wind farms to generate electricity in high wind speed areas of Maharashtra. M/s D. J. Malpani (DJM) is the promoter of these wind farms. DJM has set up 12 WEGs of total installed capacity of 15 MW in two districts of Maharashtra. The individual capacities of each SUZLON S- 70 make WEG is 1.25 MW. The generated electricity from WEGs is connected to state electric utility namely Maharashtra State Electricity Distribution Company Limited (MSEDCL) and transmitted through state electric grid.,Maharashtra,M/s D. J. Malpani,,Registered,25848,,,Energy industries (renewable/non-renewable sources),,AMS-I.D.,,,Bureau Veritas Certification Holding SAS (Bureau Veritas),19/03/2009,"2nd, 01/04/2016 - 31/03/2026",,,,,,8
BAESA Project,"The project activity reduces the emission of greenhouse gases (GHGs) through the use of renewable sources of energy and making use of clean technology, avoiding the generation of electricity via sources of fossils fuels with consequent emissions of CO2, that would be generated if the project did not exist. The Project generates electricity through clean and renewable source and it contributes to attend the growing demand for electricity in Brazil, due to the country’s economical and population growth, contributing, thus, to the environmental, social and economical sustainability, by increasing the participation of clean and renewable energy in relation to the country’s total consumption of electricity. The installation of HPP Barra Grande provides the generation of enough electricity to the supply of 30% of the energetic demand of the state of Santa Catarina or 20% of the total energy consumed in the state of Rio Grande do Sul.",Rio Grande do Sul and Santa Catarina,Multiple Proponents,,Registered,608686,,,Energy industries (renewable/non-renewable sources),,ACM0002,,,Earthood Services Private Limited,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2006 - 31/12/2015",,,,,,10
"Waste heat power generation project at Hunan Anshi Xingyuan Power Generation Co., Ltd.","The Waste Heat Power Generation Project at Hunan Anshi Xingyuan Power Generation Co., Ltd. (HAXPG) is to be implemented in Loudi City at Hunan Province in southeast China. The waste gas is generated from the 300,000 tpa new clean type coke oven. The proposed project is to recover and utilize the sensible heat of the waste gas from the coke oven to generate electricity. Part of the generated electricity will be used by Hunan Anshi Enterprise Co., Ltd (HAE) and its affiliate companies. The rest part of the generated electricity will be sold to the Central China Power grid (CCPG).",Hunan Province,Vitol SA,,Registered,51360,,,Energy industries (renewable/non-renewable sources),,"ACM0002,ACM0012",,,SGS United Kingdom Ltd. (SGS),06/04/2020,,,,,,,11
