State/Province,Proponent,VCS Project Status,Estimated Annual Emission Reductions,VCS Project Type,VCS Methodology,VCS Project Validator,Project Registration Date,Crediting Period Term,links,filename_raw,filename,updated_date,file_size,id
Rio Grande do Sul and Santa Catarina,Multiple Proponents,Registered,608686,Energy industries (renewable/non-renewable sources),ACM0002,Earthood Services Private Limited,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2006 - 31/12/2015",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=100&IDKEY=s903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdf0137900,VCS_PD_V04.pdf,10_vcs_pd_v04.pdf,25/03/2009,0,10
Rio Grande do Sul and Santa Catarina,Multiple Proponents,Registered,608686,Energy industries (renewable/non-renewable sources),ACM0002,Earthood Services Private Limited,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2006 - 31/12/2015",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=22430&IDKEY=9q934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhl30930970,BAESA VCS PD_CP Renewal_V03.pdf,10_baesa_vcs_pd_cp_renewal_v03.pdf,20/11/2017,1059021,10
Rio Grande do Sul and Santa Catarina,Multiple Proponents,Registered,608686,Energy industries (renewable/non-renewable sources),ACM0002,Earthood Services Private Limited,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2006 - 31/12/2015",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=101&IDKEY=j98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8dk139279,PPRR for Grandparenting.pdf,10_pprr_for_grandparenting.pdf,25/03/2009,0,10
Rio Grande do Sul and Santa Catarina,Multiple Proponents,Registered,608686,Energy industries (renewable/non-renewable sources),ACM0002,Earthood Services Private Limited,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2006 - 31/12/2015",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=60206&IDKEY=4iofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3883024074,Registration Representation V2 Signed (1).pdf,10_registration_representation_v2_signed_(1).pdf,21/01/2022,0,10
Rio Grande do Sul and Santa Catarina,Multiple Proponents,Registered,608686,Energy industries (renewable/non-renewable sources),ACM0002,Earthood Services Private Limited,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2006 - 31/12/2015",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=102&IDKEY=kkjalskjf098234kj28098sfkjlf098098kl32lasjdflkj909l140658,VCS Validation Report - BAESA -VERSION 3.pdf,10_vcs_validation_report_-_baesa_-version_3.pdf,25/03/2009,0,10
Rio Grande do Sul and Santa Catarina,Multiple Proponents,Registered,608686,Energy industries (renewable/non-renewable sources),ACM0002,Earthood Services Private Limited,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2006 - 31/12/2015",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=22431&IDKEY=j8723kjnf7kjandsaslmdv09887vaksmrmnwqkjoiuanfnfuq0j30932349,Final Validation Report.pdf,10_final_validation_report.pdf,20/11/2017,0,10
Rio Grande do Sul and Santa Catarina,Multiple Proponents,Registered,608686,Energy industries (renewable/non-renewable sources),ACM0002,Earthood Services Private Limited,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2006 - 31/12/2015",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=103&IDKEY=llksjoiuwqowrnoiuomnckjashoufifmln902309ksdflku098o142037,VCS Validation Statement Template.pdf,10_vcs_validation_statement_template.pdf,25/03/2009,0,10
Rio Grande do Sul and Santa Catarina,Multiple Proponents,Registered,608686,Energy industries (renewable/non-renewable sources),ACM0002,Earthood Services Private Limited,06/04/2020,"CREDITING PERIOD HAS EXPIRED, 01/01/2006 - 31/12/2015",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=22432&IDKEY=niquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkf830933728,VCS Validation Representation v3.3.pdf,10_vcs_validation_representation_v3.3.pdf,20/11/2017,0,10
Sichuan Province,"Neijiang Xingming Energy Co., Ltd.",Registered,183021,Energy industries (renewable/non-renewable sources),ACM0002,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"3rd, 01/01/2021 - 31/12/2027",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=122&IDKEY=0097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87d168238,Chuanwei CDM PDD.pdf,12_chuanwei_cdm_pdd.pdf,30/03/2009,663050,12
Sichuan Province,"Neijiang Xingming Energy Co., Ltd.",Registered,183021,Energy industries (renewable/non-renewable sources),ACM0002,Det Norske Veritas Climate Change Services AS (DNV),06/04/2020,"3rd, 01/01/2021 - 31/12/2027",https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=126&IDKEY=4iquwesdfmnk0iei23nnm435oiojnc909dsflk9809adlkmlkfn173754,PPRR for Grandparenting.pdf,12_pprr_for_grandparenting.pdf,30/03/2009,0,12
