id,filename,heading,mapped_categories,start_page,end_page,heading_name,heading_number,section
1002,1002_gautami_power_vcs_pd-final.pdf,First Section,project_title,1,1,First Section,0,0
1002,1002_gautami_power_vcs_pd-final.pdf,1.1 Project title,project_title,1,1,Project title,1.1,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.2 Type/Category of the project,ghg_emission_reduction,1,2,Type/Category of the project,1.2,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.3 Estimated amount of emission reductions over the,ghg_emission_reduction,2,2,Estimated amount of emission reductions over the,1.3,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.4 A brief description of the project:,ghg_emission_reduction,2,4,A brief description of the project:,1.4,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.4 A brief description of the project:,project_summary,2,4,A brief description of the project:,1.4,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.4 A brief description of the project:,project_size,2,4,A brief description of the project:,1.4,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.5 Project location including geographic and physical,project_location,4,4,Project location including geographic and physical,1.5,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.6 Duration of the project activity/crediting period:,ghg_emission_reduction,4,5,Duration of the project activity/crediting period:,1.6,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.7 Conditions prior to project initiation:,project_location,5,5,Conditions prior to project initiation:,1.7,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.8 A description of how the project will achieve GHG,ghg_emission_reduction,5,6,A description of how the project will achieve GHG,1.8,1
1002,1002_gautami_power_vcs_pd-final.pdf,"1.9 Project technologies, products, services and the",ghg_emission_reduction,6,10,"Project technologies, products, services and the",1.9,1
1002,1002_gautami_power_vcs_pd-final.pdf,"1.9 Project technologies, products, services and the",project_summary,6,10,"Project technologies, products, services and the",1.9,1
1002,1002_gautami_power_vcs_pd-final.pdf,"1.9 Project technologies, products, services and the",baseline_analysis,6,10,"Project technologies, products, services and the",1.9,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.10 Compliance with relevant local laws and regulations,project_proponent,10,11,Compliance with relevant local laws and regulations,1.1,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.10 Compliance with relevant local laws and regulations,ghg_emission_reduction,10,11,Compliance with relevant local laws and regulations,1.1,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.10 Compliance with relevant local laws and regulations,project_lifetime,10,11,Compliance with relevant local laws and regulations,1.1,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.10 Compliance with relevant local laws and regulations,standard,10,11,Compliance with relevant local laws and regulations,1.1,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.10 Compliance with relevant local laws and regulations,project_country,10,11,Compliance with relevant local laws and regulations,1.1,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.10 Compliance with relevant local laws and regulations,project_location,10,11,Compliance with relevant local laws and regulations,1.1,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.10 Compliance with relevant local laws and regulations,project_summary,10,11,Compliance with relevant local laws and regulations,1.1,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.10 Compliance with relevant local laws and regulations,additional_analysis,10,11,Compliance with relevant local laws and regulations,1.1,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.10 Compliance with relevant local laws and regulations,leakage_analysis,10,11,Compliance with relevant local laws and regulations,1.1,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.10 Compliance with relevant local laws and regulations,baseline_analysis,10,11,Compliance with relevant local laws and regulations,1.1,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.11 Identification of risks that may substantially,ghg_emission_reduction,11,11,Identification of risks that may substantially,1.11,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.12 Demonstration to confirm that the project was not,ghg_emission_reduction,11,11,Demonstration to confirm that the project was not,1.12,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.12 Demonstration to confirm that the project was not,project_title,11,11,Demonstration to confirm that the project was not,1.12,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.12 Demonstration to confirm that the project was not,project_country,11,11,Demonstration to confirm that the project was not,1.12,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.12 Demonstration to confirm that the project was not,project_summary,11,11,Demonstration to confirm that the project was not,1.12,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.13 Demonstration that the project has not created,ghg_emission_reduction,11,12,Demonstration that the project has not created,1.13,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.14 Project rejected under other GHG programs (if,project_proponent,12,12,Project rejected under other GHG programs (if,1.14,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.14 Project rejected under other GHG programs (if,standard,12,12,Project rejected under other GHG programs (if,1.14,1
1002,1002_gautami_power_vcs_pd-final.pdf,"1.15 Project proponent’s roles and responsibilities,",project_proponent,12,13,"Project proponent’s roles and responsibilities,",1.15,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.16 Any information relevant for the eligibility of the,project_proponent,13,14,Any information relevant for the eligibility of the,1.16,1
1002,1002_gautami_power_vcs_pd-final.pdf,1.17 List of commercially sensitive information (if,project_proponent,14,14,List of commercially sensitive information (if,1.17,1
1002,1002_gautami_power_vcs_pd-final.pdf,2.1 Title and reference of the VCS methodology applied to,standard,14,15,Title and reference of the VCS methodology applied to,2.1,2
1002,1002_gautami_power_vcs_pd-final.pdf,2.2 Justification of the choice of the methodology and,baseline_analysis,15,17,Justification of the choice of the methodology and,2.2,2
1002,1002_gautami_power_vcs_pd-final.pdf,"2.3 Identifying GHG sources, sinks and reservoirs for the",ghg_emission_reduction,17,18,"Identifying GHG sources, sinks and reservoirs for the",2.3,2
1002,1002_gautami_power_vcs_pd-final.pdf,2.4 Description of how the baseline scenario is,baseline_analysis,18,36,Description of how the baseline scenario is,2.4,2
1002,1002_gautami_power_vcs_pd-final.pdf,3.1 Title and reference of the VCS methodology (which,ghg_emission_reduction,36,36,Title and reference of the VCS methodology (which,3.1,3
1002,1002_gautami_power_vcs_pd-final.pdf,"3.2 Monitoring, including estimation, modelling,",ghg_emission_reduction,36,38,"Monitoring, including estimation, modelling,",3.2,3
1002,1002_gautami_power_vcs_pd-final.pdf,"3.2 Monitoring, including estimation, modelling,",leakage_analysis,36,38,"Monitoring, including estimation, modelling,",3.2,3
1002,1002_gautami_power_vcs_pd-final.pdf,3.3 Data and parameters monitored / Selecting relevant,ghg_emission_reduction,38,40,Data and parameters monitored / Selecting relevant,3.3,3
1002,1002_gautami_power_vcs_pd-final.pdf,3.3 Data and parameters monitored / Selecting relevant,leakage_analysis,38,40,Data and parameters monitored / Selecting relevant,3.3,3
1002,1002_gautami_power_vcs_pd-final.pdf,3.3 Data and parameters monitored / Selecting relevant,baseline_analysis,38,40,Data and parameters monitored / Selecting relevant,3.3,3
1002,1002_gautami_power_vcs_pd-final.pdf,3.4 Description of the monitoring plan,ghg_emission_reduction,40,44,Description of the monitoring plan,3.4,3
1002,1002_gautami_power_vcs_pd-final.pdf,3.4 Description of the monitoring plan,leakage_analysis,40,44,Description of the monitoring plan,3.4,3
1002,1002_gautami_power_vcs_pd-final.pdf,3.4 Description of the monitoring plan,baseline_analysis,40,44,Description of the monitoring plan,3.4,3
1002,1002_gautami_power_vcs_pd-final.pdf,4.1 Explanation of methodological choice:,ghg_emission_reduction,44,48,Explanation of methodological choice:,4.1,4
1002,1002_gautami_power_vcs_pd-final.pdf,4.1 Explanation of methodological choice:,baseline_analysis,44,48,Explanation of methodological choice:,4.1,4
1002,1002_gautami_power_vcs_pd-final.pdf,4.1 Explanation of methodological choice:,leakage_analysis,44,48,Explanation of methodological choice:,4.1,4
1002,1002_gautami_power_vcs_pd-final.pdf,4.2 Quantifying GHG emissions and/or removals for the,ghg_emission_reduction,48,51,Quantifying GHG emissions and/or removals for the,4.2,4
1002,1002_gautami_power_vcs_pd-final.pdf,4.2 Quantifying GHG emissions and/or removals for the,baseline_analysis,48,51,Quantifying GHG emissions and/or removals for the,4.2,4
1002,1002_gautami_power_vcs_pd-final.pdf,4.3 Quantifying GHG emission reductions and removal,ghg_emission_reduction,51,58,Quantifying GHG emission reductions and removal,4.3,4
1002,1002_gautami_power_vcs_pd-final.pdf,4.3 Quantifying GHG emission reductions and removal,baseline_analysis,51,58,Quantifying GHG emission reductions and removal,4.3,4
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,project_proponent,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,ghg_emission_reduction,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,project_title,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,version_of_file,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,date_issue_of_project,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,project_start_date,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,project_lifetime,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,expected_first_vintage_of_credit_issuance,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,project_country,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,project_location,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,project_summary,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,standard,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.1 Proof of Title:,project_size,58,59,Proof of Title:,8.1,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.2 Projects that reduce GHG emissions from activities,ghg_emission_reduction,59,63,Projects that reduce GHG emissions from activities,8.2,8
1002,1002_gautami_power_vcs_pd-final.pdf,8.2 Projects that reduce GHG emissions from activities,project_proponent,59,63,Projects that reduce GHG emissions from activities,8.2,8
1002,1002_gautami_power_vcs_pd-final.pdf,"6.12 MCMD. Against this demand, the availability",project_proponent,63,70,"MCMD. Against this demand, the availability",6.12,6
1002,1002_gautami_power_vcs_pd-final.pdf,"6.12 MCMD. Against this demand, the availability",ghg_emission_reduction,63,70,"MCMD. Against this demand, the availability",6.12,6
1002,1002_gautami_power_vcs_pd-final.pdf,"6.12 MCMD. Against this demand, the availability",project_title,63,70,"MCMD. Against this demand, the availability",6.12,6
1002,1002_gautami_power_vcs_pd-final.pdf,"6.12 MCMD. Against this demand, the availability",project_country,63,70,"MCMD. Against this demand, the availability",6.12,6
1002,1002_gautami_power_vcs_pd-final.pdf,"6.12 MCMD. Against this demand, the availability",project_location,63,70,"MCMD. Against this demand, the availability",6.12,6
1002,1002_gautami_power_vcs_pd-final.pdf,"6.12 MCMD. Against this demand, the availability",project_summary,63,70,"MCMD. Against this demand, the availability",6.12,6
