,section_category,context,id,filename,type,value,question,value_orig
0,project_proponents,"1.15 Project proponents roles and responsibilities, including contact
information of the project proponent, other project participants
C. Mahendra is the project proponent for this activity and has been duly authorized by the
individual investors to take up the said project activity for VCS development. C. Mahendra
will be responsible for all the communications and actions in relation to the project being
validated in accordance with the VCS standard.
6

[['', 'Organization:', '', 'C. Mahendra Exports Limited'], ['', 'Street/P.O.Box:', '', '1204 Panchratna'], ['', 'Building:', '', '12th Floor, Opera House'], ['', 'City:', '', 'Mumbai'], ['', 'State/Region:', '', 'Maharashtra'], ['', 'Postfix/ZIP:', '', '400 004'], ['', 'Country:', '', 'India'], ['', 'Telephone:', '', '+91 22-2382 6998'], ['', 'FAX:', '', '+91 22-2380 2847'], ['', 'E-Mail:', '', 'infonagindas@cmahendra.com'], ['', 'URL:', '', 'www.cmahendra.com'], ['', 'Represented by:', '', 'Mr. Mahendra C. Shah'], ['', 'Title:', '', ''], ['', 'Salutation:', '', 'Mr.'], ['', 'Last Name:', '', 'Shah'], ['', 'Middle Name:', '', 'C'], ['', 'First Name:', '', 'Mahendra'], ['', 'Department:', '', ''], ['', 'Mobile:', '', ''], ['', 'Direct FAX:', '', ''], ['', 'Direct tel:', '', '+91 0261-307 2444'], ['', 'Personal E-Mail:', '', 'mahendra@cmahendra.com']]
VCS Project Description
The contact information of the project proponent is provided below:",225,225_v-3-i-01-b-0087_-_15_mw_bwp_at_mh_by_c._mahendra_exports_vcs_pd.pdf,project_proponents,"[{'organization_name': 'C. Mahendra Exports Limited', 'email': 'infonagindas@cmahendra.com', 'state/city': 'Mumbai', 'country': 'India'}]","What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'C. Mahendra Exports Limited', 'email': 'infonagindas@cmahendra.com', 'state/city': 'Mumbai', 'country': 'India'}]"
1,crediting period,"1.6 Project Crediting Period
The installation of the project is expected to be completed on October 1st 2013. According to this
date and taking into account the possible registration date of the project, the starting date of the
first crediting period is October 1st 2013; the end date for the crediting period is September 30 of
2023. The first crediting period will cover 10 years and it is planned to be renewed 2 times,
adding up to 30 years in total.
The Length of the crediting period: is 10 years.",1173,1173_proj_desc_1173_05feb2014.pdf,crediting period,"{'crediting_period_start': '2013-10-01', 'crediting_period_end': '2023-09-30'}",What are the start and end dates of the crediting period for this project?,"{'crediting_period_start': '2013-10-01', 'crediting_period_end': '2023-09-30'}"
2,project_description,"1.9 Project Location
Kale HES is located in the area between Emirler, Gökgedik, Çuhadarlı, and Torlar villages in Andırın
district, Kahramanmaraş province in Turkey. Details of project location including single project com­
ponents are given below.
Figure 1: Kahramanmaraş province in Turkey
Figure 2: Andırın district in Kahramanmaraş province
7 v3.0

PROJECT DESCRIPTION : VCS Version 3
Figure 3: Kale HES location between the villages of Emirler, Gökgedik, Çuhadarlı, and Torlar
Figure 4: Location of Kale HES project components
8 v3.0

[['Unit', 'Longitude (N)', 'Latitude (E)'], ['Power House', '37°35\'40.15""N', '36°29\'35.66""E'], ['Penstock (entrance)', '37°35\'40.49""N', '36°26\'57.39""E'], ['Penstock (exit)', '37°35\'30.66""N', '36°29\'18.40""E'], ['Regulator', '37°35\'43.86""N', '36°26\'58.18""E'], ['Transformer', '37°35\'38.89""N', '36°29\'35.86""E']]
PROJECT DESCRIPTION : VCS Version 3
Table 4: Coordinates of Kale HES",893,893_proj_desc_893_24jan2012.pdf,project_description,"{'project_state_province': 'Kahramanmaraş province', 'project_country': 'Turkey'}","What is the project province, country, latitude, and longitude of this project?","{'project_state_province': 'Kahramanmaraş province', 'project_country': 'Turkey', 'project_latitude': 36.29, 'project_longitude': 37.35}"
3,methodology,"[['Applicability of AMS-III.R-Version 3', 'Project activity'], ['1. This project category comprises recovery and\ndestruction of methane from manure and wastes\nfrom agricultural activities that would be decaying\nanaerobically emitting methane to the atmosphere\nin the absence of the project activity. Methane\nemissions are prevented by:\n(a) Installing methane recovery and combustion\nsystem to an existing source of methane\nemissions, or：\n(b) Changing the management practice of a\nbiogenic waste or raw material in order to achieve\nthe controlled anaerobic digestion equipped with\nmethane recovery and combustion system.', 'The investigation report dated on Aug.2006 shows\nthat before implementation of the proposed project,\nthe swine manure will be stored in deep pits: the\nmethane from the slurry fermentation will be\nemitted to the atmosphere.\nThe proposed project is to build methane digesters\nat farmer households, in order to recycle manure\nand wastes from agricultural activities which are\ninvolved in anaerobic reaction.The produced\nmethane is used for cooking and heating instead of\nfuel, lest GHG emits to the atmosphere.'], ['2. The category is limited to measures at individual\nhouseholds or small farms (e.g. installation of a\ndomestic biogas digester). Methane recovery\nsystems that achieve an annual emission reduction\nof less than or equal to 5 tonnes of CO2e per\nsystem are included in this category. Systems with\nannual emission reduction higher than 5 tonnes of', 'The project is planned to install 20,772 biogas\ndigesters with reactor size of 8 m3 under the pig\npen of each rural household, so it is measured at\neach individual household. For each biogas\ndigester, the methane recovery systems will\nachieve an annual emission reduction of 0.2852\ntones of CO e, which are less than 5 tones of\n2']]
2.2 Applicability of Methodology
The methodology AMS-III.R comprises recovery and destruction of methane from manure and
wastes from household agricultural activities that would be decayed anaerobically emitting
methane to the atmosphere in the absence of the project activity. This project is belongs to the (b)
of 1st applicability criteria of AMS III.R because the management practice of a biogenic waste or
raw material was changed from deep pit storage to biogas digesters. The methodology AMS-I.C
comprises renewable energy technologies that supply individual households with thermal energy
that displaces fossil fuels.
The proposed project activity will change the existing swine manure treatment at the household
level from deep pits to household biogas digesters. The biogas digesters provide biogas for
cooking and other heating needs for households, replacing the fossil fuel coal. The project will
reduce CH4 emission from the slurry stored in a deep pit, and reduce CO2 emission from burn of
coal.
Therefore, this project can satisfy the applicable conditions of the methodologies AMS-III.R
(version 03) and AMS-I.C (version 19) as follows in Table B1 and Table B2.
Table B1: Category III.R-Version 3. Methane recovery in agricultural activities at household/small
farm level is defined as follows:
v3.2 8

[['CO2e are eligible under AMS III.D.', 'CO2e per system'], ['3. This project category is only applicable in\ncombination with AMS-I.C, AMS-I.I and /or AMS-\nI.E.', 'This project category will be applied in combination\nwith AMS I.C.'], ['4.The project activity shall satisfy the following\nconditions:\n(a) The sludge must be handled aerobically. In\ncase of soil application of the final sludge the\nproper conditions and procedures that ensure that\nthere are no methane emissions must be ensured.\n(b) Measures shall be used (e.g. combusted or\nburnt in a biogas burner for cooking needs) to\nensure that all the methane collected by the\nrecovery system is destroyed.', '(a)The sludge would be handled aerobically. The\nfinal sludge will be used for soil application, which\nis under aerobic condition, could be ensured that\nthere are no methane emissions.\n(b)This proposed project is to change swine\nmanure management from deep pit storage to\nanaerobically digest in biogas digesters, recover\nmethane produced by digester and use biogas for\ncooking and heating water for individual household.\nThe local technicians provide technical service to\nensure all the biogas stoves are always well-\nmaintained and in the normal operation. The basic\nstructure of biogas digester mainly has: main body,\ngas storage space, hydraulic acidification pool, inlet\nport, outlet room, etc. The methane is basically\nstored in the gas storage space in the digester for a\nperiod of time then used as a kind of fuel, so as\nthat there is no way to leak to other places.\nTherefore, all the methane collected in the recovery\nsystem will be destroyed under the combustion\nprocess. If the biogas stove is damaged, the\nmethane will be stored in gas storage space of\nbiogas digester for some time; in addition, the\nhousehold will contact the technicians for any\nrepairs and maintenance activities in the first time\nto avoid any unexpected leakage from biogas\ndigesters.'], ['5.Aggregated annual emission reductions of all\nsystems included shall be less than or equal to\n60kt CO2 equivalent', 'The annual emission reduction from methane\nrecovery system is 5,923tCO e\n2\n(0.2852×20,772=5,923) according to the AMS-III.R\n(Version 03), which is less than the 60kt CO e. In\n2\naddition, the annual emission reduction from coal\nconsumption is 46,342 tCO e\n2\n(2.231×20,772=46,342) from the methodology\nAMS-I.C (Version 19), hence, the combined annual\nemission reductions for both components of all\nsystems included is 52,265tCO e (5,923+46,342\n2\n=52,265), which is also less than less than the 60kt\nCO e.\n2']]
PROJECT DESCRIPTION : VCS Version 3
v3.2 9

[['Applicability of AMS-I.C-Version 19', 'Project activity'], ['1.This methodology comprises renewable energy\ntechnologies that supply users with thermal energy\nthat displaces fossil fuel use. These units include\ntechnologies such as solar thermal water heaters\nand dryers, solar cookers, energy derived from\nrenewable biomass and other technologies that\nprovide thermal energy that displaces fossil fuel.', 'This category comprises renewable energy\ntechnologies that supply individual households or\nusers with thermal energy that displaces fossil\nfuels.'], ['2. Biomass-based co-generating systems that\nproduce heat and electricity are included in this\ncategory. For the purpose of this methodology.\nCogeneration shall mean the simultaneous\ngeneration of thermal energy and electrical and/or\nmechanical energy in one process. Project\nactivities that produce heat and power in separate\nelement processes (for example, heat from a boiler\nand electricity from biogas engine) do not fit under\nthe definition of cogeneration project.', 'Biomass-based co-generating systems are not\nincluded in the proposed project.'], ['3.Emission reductions from a Cogeneration system\ncan accrue from one of the following activities:\n(a) Electricity supply to a grid;\n(b) Electricity and/or thermal energy (steam or\nheat) production for on-site consumption or for\nconsumption by other facilities;\n(c) Combination of (a) and (b).', 'Not applicable.'], ['4. The total installed/rated thermal energy\ngeneration capacity of the project equipment is\nequal to or less than 45 MW thermal.', 'The thermal energy generated will be used by the\nhousehold themselves. The biogas stove is 2KW.\nThe total installed thermal generation capacity of\nthis project is 41.544MW which below 45MW.'], ['5.For co-fired systems, the total installed thermal\nenergy generation capacity of the project\nequipment, when using both fossil and renewable\nfuel shall not exceed 45MW thermal (see\nparagraph 6 for the applicable limits for\ncogeneration project activities)', 'Not applicable.']]
PROJECT DESCRIPTION : VCS Version 3
Table B2: Category I.C－Version19. Thermal energy for the user with or without electricity is
defined as follows:
v3.2 10",1243,1243_proj_desc_pl1243_20nov2013.pdf,methodology,"{'project_methodologies': ['AMS-I.C.', 'AMS-I.I.', 'AMS-III.R.']}",What is the methodology of this project?,"{'project_methodologies': ['AMS-I.C.', 'AMS-I.I.', 'AMS-III.R.']}"
4,project_description,"A.4.1.4. Details of physical location, including information allowing the
unique identification of this project activity (maximum one page):
>>
Latitude: 23° 15’ 46” N
Longitude: 69° 01’ 27” E

PROJECT DESIGN DOCUMENT FORM (CDM PDD) - Version 03
CDM – Executive Board
page 5
+
Project location
http://www.meteonorm.com/pages/en/meteonorm-6-online.php?glat=23.2628&glon=69.0242",1563,1563_cdm_pdd_5928_09feb2012.pdf,project_description,"{'project_latitude': 23.26, 'project_longitude': 69.02}","What is the project province, country, latitude, and longitude of this project?","{'project_state_province': 'Gujarat', 'project_country': 'India', 'project_latitude': 23.26, 'project_longitude': 69.02}"
5,project_description,"[['Name of\nInvestor', 'Capacity\n(MW)', 'Village(s)', 'Tehsil /\nMandal', 'District', 'State', 'Latitude\n(N)', 'Longitude\n(E)'], ['SEI Suryashakti\nPower Private\nLimited', '30 MW', 'Kamballahalli', 'Pavagada', 'Tumkur', 'Karnataka', '14.0986590', '77.2818110'], ['SEI Bheem\nPrivate Limited', '30 MW', 'Upparahalli\n& Agalmadke', 'Pavagada', 'Tumkur', 'Karnataka', '14.0986590', '77.2818110'], ['SEI Aditi Power\nPrivate Limited', '30 MW', 'Pallavalli', 'Pavagada', 'Tumkur', 'Karnataka', '14.0986590', '77.2818110']]
1.9 Project Location
The details of the project locations are mentioned in the table below
The project locations have been shown in the map below
v3.1 6

JOINT PROJECT DESCRIPTION & MONITORING REPORT: VCS Version 3",1791,1791_vcs_pd&mr_sei_suryashakti_v01.pdf,project_description,"{'project_state_province': 'Karnataka', 'project_longitude': 77.28}","What is the project province, country, latitude, and longitude of this project?","{'project_state_province': 'Karnataka', 'project_country': 'India', 'project_latitude': 14.1, 'project_longitude': 77.28}"
6,methodology,"[['Applicability conditions', 'Justifications'], ['a) The land subject to the project activity\ndoes not fall into wetland category', '(a) The lands selected under the project\nactivity are privately owned agricultural and\nfallow lands that do not come under the\ncategory of wetland. There is no wetland in\nthe project area.']]
3.2 Applicability of Methodology
The applicability conditions of the methodology AR-ACM0003 with the justifications are
described in the table hereunder:
26

[['(b) Soil disturbance attributable to the project\nactivity does not cover more than 10% of area\nin each of the following types of land, when\nthe land is included within the project\nboundary:\n• Land containing organic soils.\n• Land which, in the baseline, is\nsubject to land-use and management\npractices and receives inputs listed in\nappendices 1 and 2 of the AR-\nACM0003 methodology.', '(b) Soil disturbance attributable to the project\nin no case covered more than 10% of the total\narea. No machinery was used for the\npreparation and plantation of trees in the\nground.']]
[['Applicability conditions', 'Compliance'], ['Combined tool to identify the baseline\nscenario and demonstrate additionality in A/R\nCDM project activities', 'The project is in compliance with applicable\nlegal and regulatory requirements.'], ['Estimation of carbon stocks and change in\ncarbon stocks of trees and shrubs in A/R CDM\nproject activities', 'This tool has no internal applicability\nconditions'], ['Estimation of carbon stocks and change in\ncarbon stocks in dead wood and litter in A/R\nCDM project activities”', 'This tool has no internal applicability\nconditions.'], ['Tool for estimation of change in soil organic\ncarbon stocks due to the implementation of\nA/R CDM project activities', 'Project lands are not wetlands or peatlands.\nProject lands are mostly degraded croplands\nthat are mainly short-term or fallow croplands\nwithout tillage and with very low inputs.'], ['Estimation of non-CO2 greenhouse gas (GHG)\nemissions resulting from burning of biomass\nattributable to an A/R CDM project activity', 'The tool will be applied for each fire incident\nthat affects an area greater than 0.5ha,\nwhere the accumulated area of fires in any\nyear is higher than ≥5% of the project area.\nNo fires have occurred in the past.'], ['Estimation of the increase in GHG emissions\nattributable to displacement of pre-project\nagricultural activities in A/R CDM project\nactivity', 'There was no increase in GHG emissions due\nto pre-project activity in the A/R CDM project\nactivity as the project lands are not wetlands\nor peatlands (see section 3.2.3).']]
Project Description: VCS Version 4.1
The applicability conditions of the used tools are presented in the table below:
27

Project Description: VCS Version 4.1",3477,3477_andhra_pradesh_vcs_pdd.pdf,methodology,"{'project_methodologies': ['AR-ACM0003', 'ACM0003']}",What is the methodology of this project?,"{'project_methodologies': ['AR-ACM0003', 'ACM0003']}"
7,project_proponents,"[['', 'Organization', '', 'Hangzhou Chunmeng Agricultural Technology Co., Ltd', None, None], [None, 'name', None, None, None, None], ['Contact person', None, None, '', 'Yuqian Zhang', ''], ['', 'Title', '', '', 'General Manager', ''], ['Address', 'Address', None, '', 'Room 415, Building 3, No. 16, Zhuantang Technology and Economic', ''], [None, None, None, None, 'Block, Xihu District, Hangzhou City, Zhejiang Province, China', None], ['', 'Telephone', '', '', '+86-1876812098', ''], ['', 'Email', '', '', 'chunmengny@163.com', '']]
1.5 Project Proponent
Hangzhou Chunmeng Agricultural Technology Co., Ltd (hereinafter referred to as
Hangzhou Chunmeng) is a company whose main business is agricultural technology
research and crop cultivation and management, with Search Co2 (Shanghai)
Environmental Science & Technology Co. Ltd holding 70% of the shares.",2912,2912_proj_desc_draft_2912_21feb2022.pdf,project_proponents,"[{'organization_name': 'Hangzhou Chunmeng Agricultural Technology Co., Ltd', 'telephone': '+86 1876812098', 'email': 'chunmengny@163.com', 'state/city': 'Hangzhou', 'country': 'China'}]","What is the project proponents, includind organization name, phone number and email address, state/city and country of the entity responsible for managing this carbon project?","[{'organization_name': 'Hangzhou Chunmeng Agricultural Technology Co., Ltd', 'telephone': '+86 1876812098', 'email': 'chunmengny@163.com', 'state/city': 'Hangzhou', 'country': 'China'}]"
8,crediting period,"1.9 Project Crediting Period
The project activities do not focus exclusively on GHG emission avoidance but also
on increasing SOC stock. Thus, the project crediting period is 20 years, starting
1/07/2019 and up to 30/06/2038. This crediting period may be renewed four times
with a total project crediting period not to exceed 100 years, i.e. the final project
crediting date is 30/06/2118 unless the programme ceases to exist before that
date.",2590,2590_20210831_gi_india_carbon_program_pd_v3.0.pdf,crediting period,"{'crediting_period_start': '2019-06-01', 'crediting_period_end': '2039-05-31'}",What are the start and end dates of the crediting period for this project?,"{'crediting_period_start': '2019-06-01', 'crediting_period_end': '2039-05-31'}"
9,project_description,"1.12.5 Projects Rejected by Other GHG Programs
The project activity has not been rejected under any other GHG programs as this project activity
is using the new proposed methodology.
1.13 Additional Information Relevant to the Project
Eligibility Criteria
The project eligibility criteria are not applicable as the project activity is not a grouped project.
Leakage Management
As per new proposed methodology, no leakage will be occurred from the project activity.
Commercially Sensitive Information
No commercially sensitive information has been excluded from the public version of the project
description.
Further Information
Not applicable as relevant legislative, technical, economic, sectoral, social, environmental,
geographic, site-specific and/or temporal information have been defined in other relevant
sections.
2 APPLICATION OF METHODOLOGY
2.1 Title and Reference of Methodology
Title of methodology - VM0023: Reduction of GHG Emissions in Propylene Oxide Production
Version: 01
Tools applied
Tool for the demonstration and assessment of additionality, Version 7.0;
Tool to calculate the emission factor for an electricity system, Version 4.0;
“Tool to calculate project or leakage CO emissions from fossil fuel combustion”, Version 2. 2
v3.2 7

[['No.', 'Applicability conditions', 'Justification'], ['1.', 'The methodology is limited to\ngreenfield projects (i.e., new PO\nproduction facilities) wherein PO\nis the only output.', 'The project activity is a Greenfield facility and\nproduces PO as its only output.'], ['2.', 'The PO production process must\nnot produce any co-products.\nThere may be by-products\nproduced in the PO production\nprocess, due to the selectivity of\ncatalysts.', 'The project activity produces no co-products\nbut there are some by-products emitted.'], ['3.', 'The PO production process must\nnot create more than 10% (in\nmass terms) by-product, relative\nto PO output.', 'The project activity produces no significant by-\nproducts'], ['4.', 'The methodology is applicable\nonly to projects where the project\nactivity is the implementation of\nthe HPPO process and where\nimplementation of the CHPO-\nchlor-alkali process is identified\nas the baseline scenario.', 'The project activity employs the HPPO\ntechnology and it is identified that the baseline\nscenario of this project activity is Chlorohydrin-\nChlor-Alkali process.'], ['5.', 'The project may be located in\nany geographic region of the\nworld.', 'The project activity takes place in a production\nfacility owned by MTP HPPO Manufacturing\nCo., Ltd., which is located in Thailand.'], ['6.', 'The applicability conditions of the\ntools referenced in this\nmethodology also apply.', 'The applicability conditions of the applied tools\nare met.']]
PROJECT DESCRIPTION : VCS Version 3
2.2 Applicability of Methodology
The methodology chosen is applicable to the proposed project due to the following reasons:
Table 1 Applicability conditions of the project activity
2.3 Project Boundary
The spatial extent of the project boundary encompasses PO manufacturing plant from reagents
admission to the treatment of by-products and waste from process.
v3.2 8

[['Process\nUp-stream Down-stream\nFuel, Heat (Steam), Electricity\nC H\n3 6 C H O\n3 6\nOther reagents PO production\nWaste / By-products\nProject boundary', None], [None, 'Project boundary']]
PROJECT DESCRIPTION : VCS Version 3
The project boundary encompasses also the project electricity system(s) and Heat/steam
generation system that the PO plant is connected to. The spatial extent of the project electricity
system consists of the power plants that are physically connected through transmission and
distribution lines to the project activity and that can be dispatched without significant transmission
constraints. The project is connected to the Glow grid which in turn is connected to the national
grid. Therefore, the national grid is considered as the ultimate connected grid. The spatial extent
for the heat (steam) system is similar, including the heat/steam generating systems that are
physically connected to the project activity and that can be displaced without significant
constraints. The heat (steam) requirements of the project are met by the steam extracted from the
cogeneration plants of Glow grid. As the emissions get accounted in the electricity component
therefore to avoid double counting and applying conservative principle the emission factor for
steam has been considered as zero. The fuel requirement is for incineration purpose. Natural gas
is being used as the fuel.
For the CHPO-chlor-alkali process (baseline scenario), the spatial extent of the project boundary
is defined as follows:
Fuel, Heat (Steam), Electricity (including sources)
C 3H 6 C H O CHPO Plant 3 6
(C 3H 6 + Cl 2 + 2NaOH --> C 3H 6O + CL , NaOH 2 2NaCl + H 2O) Waste / By-products
(Chlor-Alkali)
For the HPPO process (proposed project activity) the geographic project boundary encompasses:
v3.2 9

[['HPPO Plant\n(C 3H 6 + H 2O 2 --> C 3H 6O + H 2O)', None], [None, 'Waste / By-products']]
[['', 'Source', None, '', 'Gas', '', 'Included?', '', '', 'Justification/Explanation', ''], ['enilesaB', None, 'Emissions\nassociated\nwith the\nproduction of\nbaseline\nreagents', 'CO\n2', None, 'Yes', None, None, 'The emissions associated with Cl and NaOH\n2\n(Chlor-Alkali) production have been accounted as\nthese are generally not found naturally and are to\nbe produced in an industrial facility. The\nemissions associated with C H has however not\n3 6\nbeen accounted as its usage would be\nessentially the same as in the project activity.', None, None], [None, None, None, 'CH\n4', None, 'No', None, None, 'Excluded for simplification, this is conservative.', None, None], [None, None, None, 'N O\n2', None, 'No', None, None, 'Excluded for simplification, this is conservative.', None, None], [None, None, 'Emissions\nassociated', 'CO\n2', None, 'Yes', None, None, 'Emissions could arise from the combustion of\nfossil fuels for providing steam and/or electricity', None, None]]
PROJECT DESCRIPTION : VCS Version 3
Fuel, Heat (Steam), Electricity (including sources)
C H 3 6 C H O
H 2O 2, Solvent
The block flow diagram clearly depicting the reagents, waste streams along with mass and
energy balance is as follows:
The greenhouse gases included in or excluded from the project boundary are shown in table
below:
v3.2 10

[['', 'Source', None, '', '', 'Gas', '', '', 'Included?', '', '', 'Justification/Explanation', ''], ['', None, 'with steam\nand\nelectricity\nrequirements\nof the\nproduction\nprocess', None, '', None, None, '', None, None, 'to the PO production facility', None, None], [None, None, None, None, 'CH\n4', None, None, 'No', None, None, 'Excluded for simplification, this is conservative.', None, None], [None, None, None, None, 'N O\n2', None, None, 'No', None, None, 'Excluded for simplification, this is conservative.', None, None], [None, None, 'Emissions\nassociated\nwith\ntreatment of\nwaste\nproduced by\nthe\nproduction\nprocess', None, 'CO\n2', None, None, 'No', None, None, 'Emissions could arise from the incineration of\nwaste. This source has been excluded for\nconservativeness and simplification.', None, None], [None, None, None, None, 'CH\n4', None, None, 'No', None, None, 'Excluded for simplification, this is conservative.', None, None], [None, None, None, None, 'N O\n2', None, None, 'No', None, None, 'Excluded for simplification, this is conservative.', None, None], ['tcejorP', None, 'Emissions\nassociated\nwith the\nproduction of\nproject\nreagents', None, 'CO\n2', None, None, 'Yes', None, None, 'The emissions associated with H O production\n2 2\nand solvent (make-up) have been accounted for\nas these reagents are generally not found\nnaturally and are produced in an industrial\nfacility. The emissions associated with C H\n3 6\nhave, however, not been accounted for as its\nusage would be essentially the same as in the\nbaseline activity.', None, None], [None, None, None, None, 'CH\n4', None, None, 'No', None, None, 'Excluded for simplification, this is conservative.', None, None], [None, None, None, None, 'N O\n2', None, None, 'No', None, None, 'Excluded for simplification, this is conservative.', None, None], [None, None, 'Emissions\nassociated\nwith steam\nand\nelectricity\nrequirements\nof the\nprocess', None, 'CO\n2', None, None, 'Yes', None, None, 'Emissions could arise from the combustion of\nfossil fuels for providing steam and/or electricity\nto the PO production facility', None, None], [None, None, None, None, 'CH\n4', None, None, 'No', None, None, 'Excluded for simplification, this is conservative.', None, None], [None, None, None, None, 'N O\n2', None, None, 'No', None, None, 'Excluded for simplification, this is conservative.', None, None], [None, None, 'Emissions\nassociated\nwith\ntreatment of\nwaste\nproduced by\nthe', None, 'CO\n2', None, None, 'Yes', None, None, 'Emissions could arise from the incineration of\nwaste (e.g., low boils, waste gas, etc.). For\nsimplification this source has been excluded as\nthe waste generation is lesser in quantity and\ncarbon intensity as compared to baseline. Also\nassuming that the fossil fuel consumed in the\nincinerator is the same as in the baseline.', None, None]]
PROJECT DESCRIPTION : VCS Version 3
v3.2 11",1502,1502_vcs_project_description_dow-final_clean_20102014_sk.pdf,project_description,{'project_country': 'Thailand'},"What is the project province, country, latitude, and longitude of this project?","{'project_state_province': 'Rayong', 'project_country': 'Thailand', 'project_latitude': 12.73, 'project_longitude': 101.05}"
