inputs.question,inputs.answer,inputs.context,inputs.ground_truth,self_harm,violence_reason,sexual_reason,hate_unfairness,gpt_groundedness_reason,sexual,hate_unfairness_reason,violence,self_harm_reason,gpt_coherence,gpt_fluency,gpt_groundedness,gpt_relevance,gpt_similarity,f1_score,index,status
"What are the start and end dates of the crediting period for this project?","No relevant information found in context","C.2.1.1. Starting date of the first crediting period:
>>
01/04/2012 or from the date of registration of the project activity, whichever is later.","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","1","0","Completed"
"What are the start and end dates of the crediting period for this project?","No relevant information found in context","1.12.3 Other Forms of Environmental Credit
The project was registered as a CDM project with UNFCCC (reference number: 6848). The date
of registration is 26/07/2012 and its first CDM crediting period starts on 30/07/2012.","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","1","1","Completed"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Renewable Energy'}","1.2 Sectoral Scope and Project Type
The proposed project falls into:
Sectoral Scope 1: Energy Industries (renewable/non-renewable sources)
Type I: Renewable Energy Projects
Category I.D.: Renewable energy technologies that supply electricity to a grid.8
5 For electricity generation and imports in order to supply demand in Turkey, please refer to:
http://www.teias.gov.tr/istatistik2009/23.xls
6 http://www.tetas.gov.tr/Uploads/yıllar_ithalat-ihracat.JPG
7 The evidence is available upon request.
8
http://cdm.unfccc.int/filestorage/C/D/M/CDMWF_AM_UYF1PQNDY5FZ4VH4HZ28FYAP13SI9W/AMS_I.D_rev_ver11
.pdf?t=d1d8bHczZjM1fDDmZS8007BzT8fP8YxEcdB2
v3.0 5

PROJECT DESCRIPTION : VCS Version 3
“This category comprises renewable energy generation units, such as photovoltaics, hydro,
tidal/wave, wind, geothermal and renewable biomass, that supply electricity to and/or displace
electricity from an electricity distribution system that is or would have been supplied by at least
one fossil fuel fired generating unit”
The project is not a grouped project.","{'project_sector': 'Renewable Energy'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","2","Completed"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","{'project_sector': 'Forestry and Land Use'}","1.2 Sectoral Scope and Project Type
This project is categorized as sectoral scope 14 (AFOLU) under Verra as justified in Section 1.3,
although the AMS-III.AU methodology applied is approved under sectoral scope 15 (Agriculture)
of CDM.
The project is developed under VCS scope 14 “Agriculture, Forestry and Other Land Use (AFOLU)”
with an activity category of Improved Cropland Management (ICM) under Agricultural Land
Management (ALM).

Project Description: VCS Version 4.1
The project is not a grouped project.","{'project_sector': 'Forestry and Land Use'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","1","3","Completed"
"What is the project province, country, latitude, and longitude of this project?","{'project_country': 'Turkey'}","[['', '', '', '', 'Weir', '', '', 'Power Plant', ''], ['Latitude', None, None, '37° 53\' 22"" N', None, None, '37° 51\' 40"" N', None, None], ['Longitude', None, None, '35° 30\' 26"" E', None, None, '35° 29\' 50"" E', None, None]]
1.5 Project location including geographic and physical
information allowing the unique identification and
delineation of the specific extent of the project:
The Project is located at the South border of Central Region and North
border of Mediterranean Region of Turkey, within the borders of
Yahyalı district of Kayseri town. The Project is developed to use 55 m
of elevation difference between the head pond and Zamantı River for
energy generation. The geographical coordinates of the Weir and the
Power plant are as follows:
Table 2: Geographical coordinates of the Weir and the Power plant
Map 1: Location of the project – national and regional level
4

VCS Project Description
Map 2: Location of the project – project level
5

VCS Project Description","{'project_country': 'Turkey'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","4","Completed"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2020-11-19', 'crediting_period_end': '2030-11-18'}","1.9 Project Crediting Period
This project adopts a 10-year fixed crediting period, and the crediting period is from 19
November 2020to18November 2030(bothdaysincluded).","{'crediting_period_start': '2020-11-19', 'crediting_period_end': '2030-11-18'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","5","1","5","1","5","Completed"
"What are the start and end dates of the crediting period for this project?","No relevant information found in context","1.6 Project Crediting Period
28-December-2018 to 27-December-2028 will be the 1st crediting period.
The project activity adopts renewable crediting period of 10 years period which can be renewed
for maximum 2 times","{'crediting_period_start': '2018-12-28', 'crediting_period_end': '2028-12-27'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","1","0","6","Completed"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2019-08-01', 'crediting_period_end': '2026-07-31'}","1.9 Project Crediting Period
The project crediting period for this project shall be 7 years and renewed twice.
For first crediting period, the expected date of start date and end date is as below and it will change
based on actual commissioning date
Start Date 01/08/20191
End Date 31/07/2026
1 This start date is provided considering to include the instances commissioned in August 2019. Based
on the actual date of commissioning, the start date of the crediting period will vary in future.
6

Project Description: VCS Version 4.0","{'crediting_period_start': '2019-08-01', 'crediting_period_end': '2026-07-31'}","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","1","1","1","1","1","7","Completed"
"What are the start and end dates of the crediting period for this project?","{'crediting_period_start': '2006-12-26', 'crediting_period_end': '2016-12-25'}","1.6 Duration of the project activity/crediting period:
Project start date : 26/12/2006. This is the date the project activity began emission
reduction: commissioning of the power plant.
As per VCS rules, this date must be after January 1st 2002, which is the case.
Crediting period starting date: 26/12/ 2006.
The crediting period will end at the registration of the project as CDM project.
The project participants have the intention to register the project activity described in
this PDD under CDM and will claim CERs for future emission reductions after
successful registration under CDM. Once the project is registered under CDM, no
VCUs will be claimed from the project activity.
7

VCS Project Description Template","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","1","1","1","3","0","8","Completed"
"What is the methodology of this project?","No relevant information found in context","2.1 Title and Reference of Methodology
Not applicable
v3.2 11

PROJECT DESCRIPTION : VCS Version 3","No relevant information found in context","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","1","1","1","5","1","9","Completed"
