step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.3476,0.66379,,
2,0.63753,0.90244,,
3,7.17468,0.33333,,
4,1.01667,0.88021,,
5,0.14706,0.98288,,
6,0.93932,0.86139,,
7,1.05981,0.80282,,
8,0.76118,0.90196,,
9,1.2946,0.73867,,
10,0.7927,0.87363,,
11,1.5329,0.67647,,
12,0.72001,0.92157,,
13,0.27106,0.96396,,
14,1.54469,0.79167,,
15,0.36403,0.93496,,
16,0.08482,0.98344,,
17,0.24785,0.95536,,
18,0.57461,0.90575,,
19,1.14913,0.83333,,
20,1.51258,0.72928,,
21,1.99526,0.72222,,
22,1.45882,0.76613,,
23,0.88937,0.86585,,
24,0.61925,0.91463,,
25,0.79487,0.86634,,
26,0.22368,0.95098,,
27,0.27733,0.94118,,
28,0.09355,0.97917,,
29,0.68368,0.8894,,
30,0.97355,0.85714,,
31,0.59598,0.89634,,
32,1.27018,0.77209,,
33,0.17323,0.94643,,
34,0.74507,0.89109,,
35,0.9064,0.88393,,
36,1.2606,0.78571,,
37,0.15546,0.9604,,
38,0.16956,0.94444,,
39,0.03191,0.98198,,
40,0.13764,0.97059,,
41,0.09004,0.96078,,
42,0.21445,0.95536,,
43,2.3466,0.62222,,
44,0.41095,0.92857,,
45,1.93872,0.64069,,
46,1.31519,0.76471,,
47,1.20262,0.801,,
48,1.84755,0.67819,,
49,0.3777,0.94118,,
50,1.77899,0.68235,,
51,0.50326,0.92079,,
52,0.01679,1.0,,
53,1.86278,0.671,,
54,1.71577,0.67678,,
55,1.82496,0.65861,,
56,0.11708,0.98344,,
57,1.87849,0.64706,,
58,0.43273,0.91667,,
59,0.04131,0.98611,,
60,0.74241,0.8543,,
61,0.50219,0.92079,,
62,0.20718,0.97541,,
63,1.61703,0.70939,,
64,0.4341,0.90196,,
65,1.35864,0.78431,,
66,0.51894,0.92188,,
67,0.17628,0.95833,,
68,0.68721,0.90123,,
69,0.17261,0.97321,,
70,1.4082,0.7224,,
71,0.01216,1.0,,
72,0.55813,0.91964,,
73,0.09885,0.96429,,
74,0.05428,0.97059,,
75,0.04222,0.98039,,
76,1.72027,0.63636,,
77,0.02646,0.99099,,
78,0.5459,0.91964,,
79,0.19924,0.94565,,
80,0.02347,0.99107,,
81,0.03372,1.0,,
82,0.02117,0.99174,,
83,0.28638,0.92308,,
84,0.68206,0.89216,,
85,1.99593,0.65,,
86,1.89211,0.64069,,
87,1.29011,0.80128,,
88,1.94123,0.65778,,
89,0.03928,0.99254,,
90,0.92376,0.80731,,
91,0.38138,0.9404,,
92,0.20336,0.96078,,
93,0.12803,1.0,,
94,1.4337,0.70199,,
95,0.89736,0.79208,,
96,0.95224,0.82243,,
97,0.42374,0.9247,,
98,1.09868,0.80597,,
99,0.03384,0.99043,,
100,1.86258,0.67867,0.58288,0.90816
101,0.05422,0.98039,,
102,1.74117,0.69369,,
103,0.5439,0.90244,,
104,0.13173,0.9702,,
105,0.39848,0.93056,,
106,1.60171,0.71781,,
107,0.52475,0.91584,,
108,1.25113,0.76324,,
109,1.57657,0.71591,,
110,1.16502,0.80795,,
111,0.32599,0.93056,,
112,0.01391,1.0,,
113,1.92395,0.58333,,
114,1.45632,0.78082,,
115,1.70847,0.68529,,
116,0.30863,0.94702,,
117,0.013,0.99315,,
118,0.03744,0.98039,,
119,0.2771,0.95536,,
120,0.00766,1.0,,
121,1.62287,0.68452,,
122,0.01893,0.99359,,
123,0.18919,0.95935,,
124,0.43765,0.91964,,
125,0.00882,1.0,,
126,0.45295,0.92574,,
