step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.6987,0.77731,,
2,1.38732,0.81532,,
3,0.88789,0.86222,,
4,1.7715,0.76046,,
5,2.01537,0.73659,,
6,1.3858,0.8271,,
7,1.36801,0.825,,
8,1.51763,0.777,,
9,1.46431,0.78022,,
10,1.3451,0.8453,1.61348,0.79866
11,1.11806,0.83575,,
12,1.70806,0.7485,,
13,1.38334,0.78894,,
14,0.93774,0.88103,,
15,1.37772,0.79651,,
16,0.9154,0.81935,,
17,0.96054,0.80755,,
18,0.40492,0.91919,,
19,0.67967,0.875,,
20,1.40756,0.77193,1.1498,0.81818
21,1.26555,0.8009,,
22,1.22576,0.81203,,
23,0.62349,0.87027,,
24,0.70925,0.84884,,
25,1.10701,0.80925,,
26,0.43598,0.92029,,
27,0.88381,0.82479,,
28,0.75848,0.85294,,
29,0.88391,0.81974,,
30,0.15246,0.94937,0.54925,0.88235
31,0.9497,0.80952,,
32,0.71893,0.8374,,
33,0.74688,0.83254,,
34,0.51163,0.8731,,
35,0.80744,0.86175,,
36,0.19958,0.94915,,
37,0.28204,0.93478,,
38,0.43579,0.87786,,
39,0.57123,0.891,,
40,0.85951,0.85,0.33755,0.91971
41,1.05031,0.80335,,
42,0.46483,0.85227,,
43,0.26051,0.90533,,
44,0.44859,0.85586,,
45,0.23488,0.92913,,
46,0.26007,0.91716,,
47,0.77801,0.84977,,
48,0.38551,0.89535,,
49,0.76502,0.84444,,
50,0.16645,0.95436,0.28175,0.91133
51,0.55274,0.86111,,
52,0.59941,0.8552,,
53,0.15266,0.96629,,
54,0.30143,0.89575,,
55,0.61627,0.8733,,
56,0.34074,0.92857,,
57,0.38157,0.91102,,
58,0.27434,0.94417,,
59,0.13679,0.96296,,
60,0.17584,0.94972,0.30995,0.93158
61,0.10878,0.96891,,
62,0.36747,0.92359,,
63,0.80205,0.83146,,
64,0.42902,0.89447,,
65,0.33938,0.92,,
66,0.30609,0.92935,,
