step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.97691,0.66667,2.00341,0.77778
2,4.08746,0.57143,3.60631,0.46154
3,3.13836,0.875,1.86651,0.77778
4,3.06383,0.66667,3.13974,0.46154
5,3.55548,0.66667,1.24016,0.77778
6,1.14272,0.91667,2.56804,0.46154
7,1.52276,0.72727,0.98716,0.77778
8,1.10571,0.83333,1.71266,0.38462
9,2.58578,0.66667,0.78565,0.77778
10,0.09353,1.0,1.32378,0.46154
11,0.03484,1.0,0.68583,0.85185
12,0.02155,1.0,1.30459,0.46154
13,0.00468,1.0,0.70558,0.85185
14,0.00214,1.0,1.39551,0.53846
15,0.00382,1.0,0.74238,0.85185
16,0.09352,0.88889,1.48159,0.46154
17,0.91327,0.83333,0.78914,0.85185
18,0.00026,1.0,1.53012,0.46154
19,0.00011,1.0,0.80297,0.85185
20,0.06362,1.0,1.62973,0.46154
21,0.00013,1.0,0.88866,0.81481
22,0.02897,1.0,1.84826,0.46154
23,2e-05,1.0,0.99256,0.81481
24,0.00226,1.0,2.06647,0.46154
25,0.00897,1.0,1.09089,0.81481
26,2e-05,1.0,2.42382,0.46154
27,1e-05,1.0,1.27012,0.81481
28,0.00124,1.0,2.97144,0.46154
29,1e-05,1.0,1.4204,0.77778
30,1e-05,1.0,3.68964,0.53846
31,1e-05,1.0,1.83511,0.77778
32,1e-05,1.0,4.7653,0.46154
33,0.0,1.0,2.088,0.77778
34,0.0,1.0,5.46306,0.46154
35,0.0,1.0,2.34816,0.74074
36,0.0,1.0,5.82539,0.46154
37,0.0,1.0,2.52492,0.74074
38,0.0,1.0,6.50962,0.46154
39,0.0,1.0,2.81263,0.74074
40,0.0,1.0,6.51755,0.46154
41,0.0,1.0,3.00328,0.7037
42,0.02088,1.0,6.36334,0.53846
43,0.0,1.0,3.03904,0.7037
44,0.0,1.0,6.63291,0.53846
45,1.80242,0.83333,3.21255,0.74074
46,0.0,1.0,6.77765,0.53846
47,0.0,1.0,3.3174,0.7037
48,0.0,1.0,7.1775,0.53846
49,0.0,1.0,3.15552,0.7037
50,0.0,1.0,7.16153,0.53846
51,0.0,1.0,3.18024,0.7037
52,0.0,1.0,6.7883,0.53846
53,0.12776,0.83333,3.38488,0.7037
54,0.0,1.0,7.5216,0.46154
55,0.0,1.0,3.35652,0.7037
56,0.0,1.0,7.65425,0.46154
57,0.0,1.0,3.2734,0.7037
58,0.0,1.0,7.6771,0.53846
59,0.0,1.0,3.33709,0.7037
60,0.0,1.0,7.90181,0.53846
61,0.0,1.0,3.31321,0.7037
62,0.0,1.0,7.96874,0.53846
63,0.0,1.0,3.33709,0.7037
64,0.0,1.0,8.0462,0.46154
65,0.0,1.0,3.14214,0.7037
66,0.0,1.0,8.29088,0.46154
67,0.0,1.0,3.18167,0.7037
68,0.0,1.0,8.08898,0.46154
69,0.0,1.0,3.37826,0.7037
70,0.0,1.0,8.33243,0.46154
71,0.0,1.0,3.32318,0.7037
72,0.0,1.0,8.07089,0.46154
73,0.0,1.0,3.35855,0.7037
74,0.0,1.0,8.28318,0.46154
75,0.0,1.0,3.27553,0.7037
76,0.0,1.0,8.51995,0.46154
77,0.0,1.0,3.27155,0.7037
78,0.0,1.0,8.53112,0.46154
79,0.0,1.0,3.36324,0.7037
80,0.0,1.0,8.52653,0.46154
81,0.0,1.0,3.3474,0.7037
82,0.0,1.0,8.43714,0.46154
83,0.0,1.0,3.36289,0.7037
84,0.0,1.0,8.38279,0.46154
85,0.0,1.0,3.28757,0.7037
86,0.0,1.0,8.42428,0.46154
87,0.0,1.0,3.34602,0.7037
88,0.0,1.0,8.36685,0.46154
89,0.0,1.0,3.36593,0.7037
90,0.0,1.0,8.32294,0.46154
