base_model,model,source,pipeline,common-metric,bleu,rouge
GPT-3.5-turbo-125,9zS9ZUbk.csv,ghg_reduction,custom,"{""accuracy"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0}","{""bleu"": 0.1309020996672229, ""precisions"": [0.7134699361773598, 0.44459644322845415, 0.27551375827237895, 0.11142654364797729], ""brevity_penalty"": 0.4167045184450133, ""length_ratio"": 0.5332258642307003, ""translation_length"": 2977, ""reference_length"": 5583}","{""rouge1"": 0.41868220175448567, ""rouge2"": 0.22677199889178393, ""rougeL"": 0.3524940247027956, ""rougeLsum"": 0.3477853791141914, ""rougeL-precision"": 0.44601114918598417, ""rougeL-recall"": 0.3111092568372622, ""rougeL-f1"": 0.3496893550991772}"
GPT-3.5-turbo-125,base_gpt-3.5-turbo.csv,ghg_reduction,custom,"{""accuracy"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0}","{""bleu"": 0.0, ""precisions"": [0.21866874674987, 0.09229957805907173, 0.014178705189941144, 0.0], ""brevity_penalty"": 0.16421934716291783, ""length_ratio"": 0.35630906058921624, ""translation_length"": 3846, ""reference_length"": 10794}","{""rouge1"": 0.12756929476191994, ""rouge2"": 0.0388890073938178, ""rougeL"": 0.0855179452283929, ""rougeLsum"": 0.1264069885529827, ""rougeL-precision"": 0.11210781669067126, ""rougeL-recall"": 0.09912867444329453, ""rougeL-f1"": 0.08535911076047432}"
GPT-3.5-turbo-125,ckpt-step-1225.csv,ghg_reduction,custom,"{""accuracy"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0}","{""bleu"": 0.12446386939555801, ""precisions"": [0.7208976157082749, 0.4601643444087174, 0.28587035688273854, 0.11659858893427405], ""brevity_penalty"": 0.38382305282179613, ""length_ratio"": 0.5108364678488267, ""translation_length"": 2852, ""reference_length"": 5583}","{""rouge1"": 0.4075776867600839, ""rouge2"": 0.21560729089008424, ""rougeL"": 0.33772049348004207, ""rougeLsum"": 0.3338891787263448, ""rougeL-precision"": 0.4379184342236083, ""rougeL-recall"": 0.2948017980655612, ""rougeL-f1"": 0.33476443700822855}"
GPT-3.5-turbo-125,ckpt-step-980.csv,ghg_reduction,custom,"{""accuracy"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0}","{""bleu"": 0.1412052333319754, ""precisions"": [0.7015209125475285, 0.43570737995488235, 0.26819672131147543, 0.10510510510510511], ""brevity_penalty"": 0.46347102619136543, ""length_ratio"": 0.5652874798495433, ""translation_length"": 3156, ""reference_length"": 5583}","{""rouge1"": 0.42104015405253936, ""rouge2"": 0.22894601279900156, ""rougeL"": 0.36315422234000083, ""rougeLsum"": 0.36056103423446545, ""rougeL-precision"": 0.4514656547324424, ""rougeL-recall"": 0.3267860028089215, ""rougeL-f1"": 0.3625562369210875}"
GPT-3.5-turbo-125,model_response_base_model.csv,ghg_reduction,azure-ai,"{""accuracy"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0}","{""bleu"": 0.0, ""precisions"": [0.11242403781228899, 0.03265727053970437, 0.0, 0.0], ""brevity_penalty"": 0.49364337713584655, ""length_ratio"": 0.5861864239065901, ""translation_length"": 2962, ""reference_length"": 5053}","{""rouge1"": 0.021574212123170927, ""rouge2"": 0.0022461814914645105, ""rougeL"": 0.014061114992036328, ""rougeLsum"": 0.0187984050286226, ""rougeL-precision"": 0.009728992061911414, ""rougeL-recall"": 0.031333112008705435, ""rougeL-f1"": 0.014160421901919087}"
GPT-3.5-turbo-125,model_response_tuned_model.csv,ghg_reduction,azure-ai,"{""accuracy"": 0.07547169811320754, ""precision"": 0.07547169811320754, ""recall"": 0.07547169811320754, ""f1"": 0.07547169811320754}","{""bleu"": 0.21400957773493007, ""precisions"": [0.5980193562907945, 0.3740318906605923, 0.22158173852893706, 0.07329598506069095], ""brevity_penalty"": 0.8717133634489842, ""length_ratio"": 0.8792796358598852, ""translation_length"": 4443, ""reference_length"": 5053}","{""rouge1"": 0.4447321267206856, ""rouge2"": 0.23559618146516953, ""rougeL"": 0.34022946909207513, ""rougeLsum"": 0.3412245952517333, ""rougeL-precision"": 0.3804651065292995, ""rougeL-recall"": 0.3366397302986452, ""rougeL-f1"": 0.34061360229369786}"
GPT-3.5-turbo-125,model_response_base_model.csv,squad,azure-ai,"{""accuracy"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0}","{""bleu"": 0.012165536716686838, ""precisions"": [0.048537005163511185, 0.013004484304932735, 0.007436866176178167, 0.004666260904848854], ""brevity_penalty"": 1.0, ""length_ratio"": 4.501162090040458, ""translation_length"": 52290, ""reference_length"": 11617}","{""rouge1"": 0.1755358706630294, ""rouge2"": 0.0853125368106431, ""rougeL"": 0.171372403308608, ""rougeLsum"": 0.17125106023402464, ""rougeL-precision"": 0.1264255379592814, ""rougeL-recall"": 0.43597216905179853, ""rougeL-f1"": 0.17434934618986184}"
GPT-3.5-turbo-125,model_response_tuned_model.csv,squad,azure-ai,"{""accuracy"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0}","{""bleu"": 0.15833010914893617, ""precisions"": [0.8332677939441604, 0.6649534997552619, 0.4860661049902787, 0.3969319271332694], ""brevity_penalty"": 0.27689601176623, ""length_ratio"": 0.4378066626495653, ""translation_length"": 5086, ""reference_length"": 11617}","{""rouge1"": 0.47205515921247526, ""rouge2"": 0.23701762482937605, ""rougeL"": 0.4719494726276046, ""rougeLsum"": 0.4717441084285984, ""rougeL-precision"": 0.9350714714714713, ""rougeL-recall"": 0.32514000944231103, ""rougeL-f1"": 0.472619291226459}"
GPT-3.5-turbo-125,model_response_base_model.csv,project_description,azure-ai,"{""accuracy"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0}","{""bleu"": 0.046310305902376815, ""precisions"": [0.1491998770286232, 0.0505790051266932, 0.029899009999502513, 0.020385203096401523], ""brevity_penalty"": 1.0, ""length_ratio"": 1.3036682346488915, ""translation_length"": 61803, ""reference_length"": 47407}","{""rouge1"": 0.2785312692686226, ""rouge2"": 0.1287860121118549, ""rougeL"": 0.233410247766066, ""rougeLsum"": 0.23480106301547704, ""rougeL-precision"": 0.21490674821725272, ""rougeL-recall"": 0.5608767527312094, ""rougeL-f1"": 0.23611081093967468}"
GPT-3.5-turbo-125,model_response_tuned_model.csv,project_description,azure-ai,"{""accuracy"": 0.38266666666666665, ""precision"": 0.40313209013209017, ""recall"": 0.38266666666666665, ""f1"": 0.3895833736721144}","{""bleu"": 0.40326014806761945, ""precisions"": [0.5741469419052808, 0.42037002888929864, 0.35429451043205124, 0.30925875071294284], ""brevity_penalty"": 1.0, ""length_ratio"": 1.0453519522433397, ""translation_length"": 49557, ""reference_length"": 47407}","{""rouge1"": 0.7251536018499272, ""rouge2"": 0.6286069517702206, ""rougeL"": 0.6990953141693552, ""rougeLsum"": 0.6980919696586139, ""rougeL-precision"": 0.7016698797169088, ""rougeL-recall"": 0.7276075544307885, ""rougeL-f1"": 0.7000039420667155}"
