ID,Proponents1,Proponents2,Proponents3,Proponents4,Proponents5,Proponents6,Proponents7,Proponents8,Proponents9,Proponents10,Other Entities,Other Entities2,Other Entities3,Other Entities4,Other Entities5,Other Entities6,Other Entities7,Other Entities8,Other Entities9
4843,"Danfeng County Construction Development Group Co., Ltd
Shanxi Province, Shangluo City, Danfeng County, north of the east extension of Jiangbin North Road
+86 13991499380
danfenglyth@163.com","Guangzhou Guotan Assets Management Co., Ltd
Room 1105, Building 16, Tian An Headquarters Center, No. 555 Panyu Avenue North, Donghuan Street, Panyu District, Guangzhou, China
+86 020 22885839
guotanzichan@163.com",,,,,,,,,"Guangdong Shuangtanda Technology Co., Ltd
Building 16, Tian An Headquarters Center, No. 555 Panyu Avenue North, Donghuan Street, Panyu District, Guangzhou, China
+86 17322218846
flmao@gdstdkj.com",,,,,,,,
1541,"Fundación Defensores de la Naturaleza
4a. Avenida 23-01 Zona 14 Ciudad de Guatemala Guatemala
Javier Marquez
jmarquez@defensores.org.gt
(+502) 2310-2929","Unión Maya Itzá
Las Cruces, Petén, Guatemala
(+502) 4185-7328","La Lucha
Las Cruces, Petén, Guatemala
(+502) 4908-6978","La Técnica Agropecuaria
Las Cruces, Petén, Guatemala
(+502) 5336-0807",,,,,,,"OroVerde - Die Tropenwaldstiftung Tropical Forest Foundation
Kaiserstraße 185-19753113 Bonn
0228/24 29 0 - 0","South Pole Carbon Asset Management S.A.S.
Calle 10A # 34-11 Poblado Office 4005 Medellin Colombia
+57 4 352 4428",,,,,,,
10,"BAESA - Energética Barra Grande S.A
1168, Madre Benvenuta Avenue, Sobreloja. Florianopolis/Santa Catarina, Brazil. Zipcode: 88035-000.
55 48 3331 0000
juliano.natal@cscenergia.com.bror 
pvolf@baesa.com.br","Ecofinance Negócios Eireli3 (Former Enerbio Consultoria Ltda)
361, Lageado Avenue, 701. Porto Alegre/Rio Grande do Sul, Brazil. Zipcode: 90460-110.",,,,,,,,,,,,,,,,,
33,"Kitambar Ceramic
BR 232, Km 136, Distrito Industrial, Caruaru, PE - Postal Code: 55.000-000
+55 (81) 3726-1668","Social Carbon Company
R. Borges Lagoa, 1065 - Conj. 146 - Vila Clementino Postal Code: 04038 032 São Paulo - SP, Brazil
+55 11 5083 3252
http://www.cantorco2e.com
mhaddad@cantorco2e.com.br
ftakeuchi@cantorco2e.com.br
rborgheresi@cantorco2e.com.br",,,,,,,,,,,,,,,,,
34,"Cavalcante Ceramic
Rodovia BR 010 - km 1811 - Bairro Industrial, São Miguel do Guamá - Pará, Brazil Postal Code: 68660-000
+55 (91) 3446-1184","Social Carbon Company
R. Borges Lagoa, 1065 - Conj. 146 - Vila Clementino Postal Code: 04038 032 São Paulo - SP, Brazil
+55 (11) 5083-3252
http://www.socialcarbon.org
rborgheresi@cantorco2e.com.br
ftakeuchi@cantorco2e.com.br",,,,,,,,,,,,,,,,,
52,"Nascente Ceramic
Avenida Rodion Podolsky, 309 - Centro - CEP: 17980-000 Panorama -São Paulo
+55 (18) 38712003","Carbono Social Serviços Ambientais
R. Borges Lagoa, 1065 - Conj. 144 - Vila Clementino CEP: 04038 032, São Paulo - SP, Brasil
http://www.socialcarbon.com
thales@socialcarbon.com
flavia@socialcarbon.com
rafael@socialcarbon.com",,,,,,,,,,,,,,,,,
54,"Cenol and Telha Forte Ceramics
Rodovia BR 010 - km 1808 - Bairro Industrial, São Miguel do Guamá - PA, Brazil. Postal Code: 68660-000
+55 (91) 3446-2341","Carbono Social Serviços:
Rua Borges Lagoa, 1065 - Conj. 144 - Vila Clementino Postal Code: 04038 032 São Paulo - SP, Brazil
+55 11 2649 0036
http://www.socialcarbon.com
marcelo@socialcarbon.com
thales@socialcarbon.com
flavia@socialcarbon.com
rafael@socialcarbon.com",,,,,,,,,,,,,,,,,
64,"Cerâmica Gomes de Matos
Rodovia CE 55, Km 06 - Bairro Sítio Quebra Crato - Ceara, Brasil Zip code: 63105-330
ceramicacgm@yahoo.com.br","Carbono Social Serviços Ambientais Ltda
Rua Borges Lagoa, 1065 - Conj. 144 - Vila Clementino Postal Code: 04038 032 São Paulo - São Paulo, Brazil
+55 11 2649 0036
http://www.socialcarbon.com
cezar@socialcarbon.com
flavia@socialcarbon.com
rafael@socialcarbon.com",,,,,,,,,,,,,,,,,
83,"Cerâmica Guarai LTDA
Rua Cinco, 180, Lote 693, Itambi - Itaborai, RJ - Postal Code: 24.850-000.
+55 (21) 2736-4141","Cil Cerâmica Itabira LTDA
Rua 31 de Março, n°02, Centro - Itaborai - RJ - Postal Code: 24.800-000.
+55 (21) 2635-2669","Cerâmica Santa Izabel LTDA
Estrada Porto das Caxias, n°1134 - Itaborai - RJ - Postal Code: 24.800-000.
+55 (21) 2635-7089","Carbono Social Serviços Ambientais LTDA.
R. Borges Lagoa, 1065 - Conj. 146 - Vila Clementino Postal Code: 04038 032 São Paulo - SP, Brazil
+55 11 5083 3252
http://www.socialcarbon.com
joaopaulo@socialcarbon.com
marcelo@socialcarbon.com
kupper@socialcarbon.com
flavia@socialcarbon.com
rafael@socialcarbon.com",,,,,,,,,,,,,,,
122,"Vindhya Spinning Mills (P) Ltd
4, Shanmuga Nadar Road Geethalaya Building Sivakasi Tamilnadu 626123 India
04562 - 222715
camel@md3.vsnl.net.in","Prima Papers & Engineering Pvt. Ltd
Budhawar Peth 774, '""Chaitanya' Pune Maharashtra 411002 India
020 - 24456296
Pearl-ip@eth.net","Rathi Dye Chem (P) Ltd
Bhandarkar Institute Road, Deccan Gymkhana ""Vrundali' Block o - 1, 851/2 Pune Maharashtra 411004 India
020 - 25672052, 25672053, 25672948
marketing@rathicolours.com
purchase@rathicolours.com","Sarvana Spinning Mills Kumaragiri Textiles Limited
524, Mint street, Park town IInd Floor Chennai Tamilnadu 600003 India
044 - 25353514, 25355005","Chhotabhai Jethabhai Patel & Co
C J House, Motapore Nadiad Gujarat 387001 India
0268 - 2562633, 2562634, 2562635
ceejaygroup@yahoo.co.in",,,,,,,,,,,,,,
