id,type,value
1,project_proponents,[{'organization_name': 'Aruppukottai Sri Jayavilas Limited'}]
2,project_proponents,"[{'organization_name': 'Lanco Infratech Limited', 'country': 'Israel'}]"
3,project_proponents,"[{'organization_name': 'Hefeng Taoyuan Hydropower Co., Ltd.', 'country': 'Turkey'}]"
6,project_proponents,"[{'organization_name': 'Hong Kong Wind Power (Muling) Ltd.', 'state/city': 'Hong Kong'}]"
6,project_proponents,"[{'organization_name': 'Hong Kong Wind Power (Muling) Ltd.', 'state/city': 'Hong Kong'}]"
7,project_proponents,"[{'organization_name': 'Asia Wind Power (Mudanjiang) Ltd.', 'telephone': '575)3689222', 'state/city': 'Asia', 'country': 'Colombia'}]"
8,project_proponents,[{'organization_name': 'M/s D. J. Malpani'}]
10,project_proponents,"[{'organization_name': 'BAESA - Energética Barra Grande S.A', 'telephone': '3331 0000', 'email': 'juliano.natal@cscenergia.com.bror', 'state/city': 'Barra', 'country': 'Brazil'}, {'organization_name': 'Ecofinance Negócios Eireli3 (Former Enerbio Consultoria Ltda)', 'state/city': 'Lajeado', 'country': 'Brazil'}]"
11,project_proponents,[{'organization_name': 'Vitol SA'}]
12,project_proponents,"[{'organization_name': 'Neijiang Xingming Energy Co., Ltd.', 'telephone': '4085172183', 'email': 'kgraham@apx.com', 'state/city': 'Neijiang', 'country': 'India'}]"
26,project_proponents,"[{'organization_name': 'Diebu Niaojiaga Hydropower Development Co, Ltd', 'country': 'China'}]"
27,project_proponents,"[{'organization_name': 'Origin Energy Electricity Limited', 'state/city': 'Hamilton'}]"
28,project_proponents,"[{'organization_name': 'COzero', 'state/city': 'Inđija', 'country': 'India'}]"
29,project_proponents,"[{'organization_name': 'Gansu Diantou Darong Shimenping Power Generation', 'state/city': 'Neiva', 'country': 'Colombia'}]"
30,project_proponents,"[{'organization_name': 'Wuling Power Corporation Ltd', 'state/city': 'Inđija', 'country': 'India'}]"
32,project_proponents,"[{'organization_name': 'Luara Indústria e Comércio de Materiais Ltda', 'state/city': 'Como', 'country': 'Brazil'}]"
33,project_proponents,"[{'organization_name': 'Kitambar Ceramic', 'telephone': '3726-1668', 'state/city': 'Caruaru'}, {'organization_name': 'Social Carbon Company', 'telephone': '5083 3252', 'email': 'mhaddad@cantorco2e.com.br', 'state/city': 'Bourges', 'country': 'Brazil'}]"
34,project_proponents,"[{'organization_name': 'Cavalcante Ceramic', 'telephone': '3446-1184', 'state/city': 'São Miguel do Guamá', 'country': 'Brazil'}, {'organization_name': 'Social Carbon Company', 'telephone': '5083-3252', 'email': 'rborgheresi@cantorco2e.com.br', 'state/city': 'Bourges', 'country': 'Brazil'}]"
35,project_proponents,"[{'organization_name': 'Zhuhai Guohua Wonderful Wind Power Exploitation Co', 'state/city': 'Zhuhai'}]"
36,project_proponents,"[{'organization_name': 'Xiaogushan Hydropower Co., Ltd.', 'country': 'China'}]"
37,project_proponents,"[{'organization_name': 'Ind Synergy Ltd', 'state/city': 'Delhi', 'country': 'India'}]"
38,project_proponents,"[{'organization_name': 'Nesher Cement Enterprises Ltd.', 'telephone': '+919830999854', 'email': 'abhijit.banerjee@edclgroup.com', 'state/city': 'Nesher', 'country': 'India'}]"
39,project_proponents,"[{'organization_name': 'Offis Textile Ltd.', 'email': 'atorchelo@prosustentia.com'}]"
40,project_proponents,"[{'organization_name': 'Yichun Xinganling Wind Power Co., Ltd.', 'state/city': 'Yichun', 'country': 'China'}]"
42,project_proponents,"[{'organization_name': 'Nong Bua Farm & Country Home Village Co., Ltd.', 'country': 'Turkey'}]"
43,project_proponents,"[{'organization_name': 'Greenply Industries Limited (GIL)', 'state/city': 'Ankara', 'country': 'Turkey'}]"
44,project_proponents,"[{'organization_name': 'Thai Biogas Energy Company Ltd', 'country': 'United States'}]"
45,project_proponents,"[{'organization_name': 'Chongqing Wujiang Industry (power) Group', 'telephone': '05713002832', 'state/city': 'Chongqing', 'country': 'Colombia'}]"
46,project_proponents,"[{'organization_name': 'Sichuan Mabian Xianjiapuhe Power Generation Co., L', 'telephone': '+91-9820218416', 'email': 'clkale@savita.com', 'state/city': 'Inđija', 'country': 'India'}]"
47,project_proponents,"[{'organization_name': 'Shandong Shifang New Energy Co., Ltd.', 'telephone': '29022120', 'email': 'juan.moran@atlanticayield.com', 'state/city': 'Montevideo'}]"
48,project_proponents,"[{'organization_name': 'Carbon Resource Management Ltd', 'country': 'China'}]"
49,project_proponents,"[{'organization_name': 'CASC Longyuan (Benxi) Wind Power Co., Ltd.', 'state/city': 'Benxi'}]"
51,project_proponents,"[{'organization_name': 'ACCIONA WIND ENERGY PVT. LTD.', 'telephone': '41557100', 'email': 'rsapra@acciona.com', 'state/city': 'Inđija', 'country': 'India'}]"
52,project_proponents,"[{'organization_name': 'Nascente Ceramic', 'telephone': '38712003', 'state/city': 'Panórama'}, {'organization_name': 'Carbono Social Serviços Ambientais', 'email': 'thales@socialcarbon.com', 'state/city': 'Bourges'}]"
54,project_proponents,"[{'organization_name': 'Cenol and Telha Forte Ceramics', 'telephone': '3446-2341', 'state/city': 'São Miguel do Guamá', 'country': 'Brazil'}, {'organization_name': 'Carbono Social Serviços:', 'telephone': '2649 0036', 'email': 'marcelo@socialcarbon.com', 'state/city': 'Bourges', 'country': 'Brazil'}]"
55,project_proponents,"[{'organization_name': 'Cerâmica Lucevans Ltda. – ME.', 'state/city': 'São Paulo', 'country': 'Brazil'}]"
56,project_proponents,"[{'organization_name': 'Xinjiang Tianfu Thermoelectric Co., Ltd.', 'state/city': 'Tianfu', 'country': 'India'}]"
58,project_proponents,"[{'organization_name': 'Panzhihua Reshuihe Electric Power Development Co.', 'email': 'melcopeland@re-consult.net', 'state/city': 'Ankara', 'country': 'Turkey'}]"
59,project_proponents,"[{'organization_name': 'Kangwal Polyester Co.,Ltd', 'state/city': 'Colombia', 'country': 'Colombia'}]"
62,project_proponents,"[{'organization_name': 'Longchuan Minhong Hydro Power Co., Ltd.', 'telephone': '+91-731-4203008', 'email': 'mail@kalanigroup.com', 'state/city': 'Inđija', 'country': 'India'}]"
64,project_proponents,"[{'organization_name': 'Cerâmica Gomes de Matos', 'email': 'ceramicacgm@yahoo.com.br', 'state/city': 'Crato'}, {'organization_name': 'Carbono Social Serviços Ambientais Ltda', 'telephone': '2649 0036', 'email': 'cezar@socialcarbon.com', 'state/city': 'Bourges', 'country': 'Brazil'}]"
66,project_proponents,[{'organization_name': 'Deniz Elektrik Uretim Ltd. Sti.'}]
67,project_proponents,"[{'organization_name': 'SPM Feedmill Co., Ltd.'}]"
68,project_proponents,"[{'organization_name': 'Lanco Tanjore Power Company Limited', 'state/city': 'Inđija', 'country': 'India'}]"
69,project_proponents,"[{'organization_name': 'Patspin India Ltd', 'state/city': 'Inđija', 'country': 'India'}]"
71,project_proponents,"[{'organization_name': 'Hebei Hong-Song Wind Power Share Holding Ltd.', 'state/city': 'Inđija', 'country': 'India'}]"
72,project_proponents,"[{'organization_name': 'Heilongjiang Huafu Mulan Wind power Co., Ltd.', 'telephone': '+8613911468387', 'email': 'mulanwindpower@163.com', 'country': 'China'}]"
73,project_proponents,"[{'organization_name': 'Guizhou Qiannan Zhongshui Hydro Power Development', 'email': 'ashok.jain@bkt-tires.com', 'state/city': 'Inđija', 'country': 'India'}]"
75,project_proponents,"[{'organization_name': 'Rohan Builders (India)', 'state/city': 'Inđija', 'country': 'India'}]"
76,project_proponents,"[{'organization_name': 'Liaoyuan Jingang Cement (Holding) Co., Ltd.', 'telephone': '765.285.1135', 'email': 'rkoester@bsu.edu', 'state/city': 'Liaoyuan', 'country': 'United States'}]"
77,project_proponents,"[{'organization_name': 'Sichuan Daduhe Power Co., Ltd', 'state/city': 'Bogotá', 'country': 'Colombia'}]"
78,project_proponents,"[{'organization_name': 'EcoSecurities International Limited', 'telephone': '+31 203011463', 'email': 'info@33assetmngt.com', 'country': 'Netherlands'}]"
