step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.22693,0.96386,,
2,0.27986,0.96111,,
3,0.13636,0.98312,,
4,0.17954,0.96641,,
5,0.15997,0.96933,,
6,0.30277,0.95,,
7,0.28906,0.93605,,
8,0.19074,0.96528,,
9,0.04215,0.9886,,
10,0.0569,0.98733,0.06902,0.98206
11,0.10988,0.97699,,
12,0.04977,0.98527,,
13,0.0547,0.98308,,
14,0.03916,0.98665,,
15,0.02955,0.99022,,
16,0.02648,0.99141,,
17,0.0163,0.99021,,
18,0.01282,0.99626,,
19,0.01018,0.9976,,
20,0.00952,0.99784,0.00951,0.99734
21,0.02348,0.99495,,
22,0.02915,0.99282,,
23,0.01199,0.99623,,
24,0.0033,0.99893,,
25,0.01889,0.99344,,
26,0.01394,0.99748,,
27,0.01541,0.99369,,
28,0.0191,0.99444,,
29,0.0019,1.0,,
30,0.02114,0.99499,0.02927,0.99459
31,0.02363,0.99716,,
32,0.00125,1.0,,
33,0.0159,0.99654,,
34,0.01472,0.99509,,
35,0.01634,0.99434,,
36,0.02225,0.99511,,
37,0.01693,0.99588,,
38,0.01138,0.99825,,
39,0.02549,0.99508,,
40,0.00129,1.0,0.00226,0.99868
41,0.03321,0.99212,,
42,0.01266,0.99473,,
43,0.01221,0.9969,,
44,0.01159,0.99803,,
45,0.00023,1.0,,
46,0.00602,0.99699,,
47,0.01064,0.99791,,
48,0.0066,0.99808,,
49,0.00929,0.99685,,
50,0.00061,1.0,0.01896,0.99606
51,0.00353,0.99898,,
52,0.01054,0.9965,,
53,0.00954,0.99758,,
54,0.00081,1.0,,
55,0.00557,0.99916,,
56,0.01306,0.99691,,
57,0.01296,0.99759,,
58,0.01175,0.99532,,
59,0.00938,0.99674,,
60,0.01086,0.99751,0.02969,0.99163
61,0.01743,0.99741,,
62,0.00766,0.99683,,
63,0.00117,1.0,,
64,0.0059,0.99789,,
65,0.00769,0.9964,,
66,0.002,0.99929,,
67,0.00039,1.0,,
68,0.00365,1.0,,
69,0.01181,0.99716,,
70,0.00393,0.99825,0.00194,0.99867
71,0.02794,0.98611,,
72,0.00146,0.99906,,
73,0.00072,1.0,,
74,0.00382,0.99668,,
75,0.01058,0.9964,,
76,0.01181,0.99699,,
77,0.00096,1.0,,
78,0.00821,0.99584,,
79,0.03385,0.99329,,
80,0.00091,1.0,0.02967,0.99459
81,0.0036,0.99904,,
82,0.00114,1.0,,
83,0.0027,0.99889,,
84,0.01369,0.99557,,
85,0.00327,0.99721,,
86,0.00584,0.99764,,
87,0.00034,1.0,,
88,0.00147,1.0,,
89,0.00984,0.9989,,
90,0.00055,1.0,0.00048,1.0
91,0.00023,1.0,,
92,0.01004,0.99552,,
93,0.00482,0.9989,,
94,0.00221,0.99825,,
95,0.00157,0.99889,,
96,0.00019,1.0,,
97,0.00669,0.99882,,
98,0.00265,0.99842,,
99,0.01664,0.99656,,
100,0.00241,0.99927,0.02263,0.99803
101,0.00266,0.99807,,
102,0.00176,1.0,,
103,6e-05,1.0,,
104,0.00021,1.0,,
105,0.00591,0.99914,,
106,0.00423,0.99705,,
107,0.01142,0.99632,,
108,0.0173,0.99333,,
109,0.00035,1.0,,
110,0.01222,0.99176,0.03149,0.99163
111,0.03814,0.98695,,
112,0.01776,0.99788,,
113,0.01781,0.99565,,
114,0.01111,0.99804,,
115,0.00041,1.0,,
116,0.00171,0.99933,,
117,0.00393,0.99877,,
118,0.01284,0.99666,,
119,0.02139,0.99658,,
120,0.00565,0.99649,0.00111,0.99867
121,0.00914,0.99715,,
122,0.00399,0.99796,,
123,0.00042,1.0,,
124,0.00067,1.0,,
125,0.00011,1.0,,
126,0.00198,1.0,,
127,0.00041,1.0,,
128,0.00109,0.9993,,
129,0.00122,0.99867,,
130,0.0046,0.99893,0.01758,0.99459
131,0.0048,0.99902,,
132,0.00013,1.0,,
133,5e-05,1.0,,
134,0.01334,0.99828,,
135,0.00514,0.99825,,
136,0.00715,0.9977,,
137,0.0066,0.99667,,
138,0.00141,0.99845,,
139,0.004,0.99839,,
140,0.00519,0.99834,0.0023,0.99868
141,0.00022,1.0,,
142,0.0022,1.0,,
143,0.00168,1.0,,
144,0.00019,1.0,,
145,0.00483,0.99797,,
146,0.00019,1.0,,
147,0.00237,0.9988,,
148,0.00321,0.99851,,
149,0.00049,1.0,,
150,0.0001,1.0,0.02467,0.99803
151,0.02557,0.9949,,
152,0.00057,1.0,,
153,0.0004,1.0,,
154,0.00465,0.99813,,
155,0.00125,1.0,,
156,0.009,0.99693,,
157,0.0001,1.0,,
158,0.01866,0.99681,,
159,0.00666,0.99871,,
