step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.08315,0.98224,,
2,0.15277,0.96807,,
3,0.14961,0.97852,,
4,0.16759,0.97532,,
5,0.18055,0.96859,,
6,0.24108,0.94701,,
7,0.12015,0.97979,,
8,0.05358,0.99006,,
9,0.09666,0.97619,,
10,0.05249,0.98863,0.10369,0.97748
11,0.08318,0.98069,,
12,0.04368,0.98406,,
13,0.02714,0.9911,,
14,0.05929,0.9859,,
15,0.06229,0.98801,,
16,0.03198,0.98806,,
17,0.02901,0.9928,,
18,0.01122,0.99657,,
19,0.02318,0.9939,,
20,0.03181,0.99035,0.01007,0.99734
21,0.01264,0.99736,,
22,0.03261,0.99181,,
23,0.01179,0.99786,,
24,0.01509,0.99651,,
25,0.03063,0.99541,,
26,0.00277,1.0,,
27,0.01019,0.99499,,
28,0.03531,0.99209,,
29,0.03359,0.99422,,
30,0.00642,0.99589,0.02646,0.99376
31,0.00778,0.99715,,
32,0.01046,0.99886,,
33,0.01332,0.99579,,
34,0.00588,0.99693,,
35,0.00997,0.99795,,
36,0.00722,0.99828,,
37,0.00853,0.99844,,
38,0.00221,1.0,,
39,0.02713,0.98887,,
40,0.00377,0.9986,0.01348,0.99868
41,0.00931,0.9955,,
42,0.00307,0.99847,,
43,0.01914,0.99783,,
44,0.00708,0.99676,,
45,0.00529,0.99845,,
46,0.00177,1.0,,
47,0.00048,1.0,,
48,0.01151,0.9945,,
49,0.00039,1.0,,
50,0.01202,0.99612,0.01393,0.99606
51,0.00106,0.99928,,
52,0.00377,0.99851,,
53,0.01042,0.99622,,
54,0.00809,0.9979,,
55,0.01652,0.99486,,
56,0.00528,0.99904,,
57,0.01504,0.99706,,
58,0.00186,0.99875,,
59,0.0034,0.99872,,
60,0.00662,0.99923,0.02807,0.9947
61,0.01163,0.99794,,
62,0.00097,1.0,,
63,0.01517,0.99658,,
64,0.00874,0.99556,,
65,0.00059,1.0,,
66,0.00146,1.0,,
67,0.02865,0.99382,,
68,0.00076,1.0,,
69,0.0007,1.0,,
70,0.00636,0.99624,0.00181,1.0
71,0.00267,0.99751,,
72,0.00258,0.99821,,
73,0.00516,0.99703,,
74,0.02617,0.99699,,
75,0.00937,0.99655,,
76,0.03047,0.99444,,
77,0.00961,0.9965,,
78,0.00444,0.99815,,
79,0.0002,1.0,,
80,0.02029,0.99628,0.01756,0.99688
81,0.00389,0.99825,,
82,0.00049,1.0,,
83,0.02568,0.9944,,
84,0.00559,0.99846,,
85,0.00216,0.99837,,
86,0.00072,1.0,,
87,0.00539,0.99753,,
88,0.00052,1.0,,
89,0.00086,1.0,,
90,0.00026,1.0,0.01371,0.99868
91,0.02085,0.99434,,
92,0.00143,0.99924,,
93,0.00071,1.0,,
94,0.00199,1.0,,
95,0.00261,1.0,,
96,0.00711,0.99933,,
97,0.00119,0.99934,,
98,9e-05,1.0,,
99,0.00697,0.99606,,
100,0.00253,0.999,0.01398,0.99803
101,0.00583,0.99942,,
102,0.00759,0.99787,,
103,0.0004,1.0,,
104,0.0015,0.99841,,
105,0.00594,0.99859,,
106,0.00545,0.99856,,
107,0.00152,1.0,,
108,0.00027,1.0,,
109,4e-05,1.0,,
110,0.01159,0.99701,0.02473,0.99735
111,0.00804,0.99571,,
112,0.0013,0.99929,,
113,0.00232,0.99888,,
114,0.00041,1.0,,
115,0.00049,1.0,,
116,0.00323,0.99822,,
117,7e-05,1.0,,
118,3e-05,1.0,,
119,0.00019,1.0,,
120,3e-05,1.0,0.00035,1.0
121,8e-05,1.0,,
122,0.0007,1.0,,
123,0.00012,1.0,,
124,0.00576,0.99893,,
125,0.00551,0.99812,,
126,2e-05,1.0,,
127,0.00695,0.99868,,
128,5e-05,1.0,,
129,0.00084,1.0,,
130,8e-05,1.0,0.00504,0.99688
131,8e-05,1.0,,
132,0.01462,0.99889,,
133,0.00129,1.0,,
134,0.00023,1.0,,
135,0.01008,0.99854,,
136,0.00022,1.0,,
137,0.00013,1.0,,
138,0.00013,1.0,,
139,0.00037,1.0,,
140,0.00028,1.0,0.02136,0.99868
141,0.00366,0.99915,,
142,3e-05,1.0,,
143,4e-05,1.0,,
144,1e-05,1.0,,
145,2e-05,1.0,,
146,1e-05,1.0,,
147,0.00237,0.99916,,
148,0.00049,1.0,,
149,0.00532,0.99889,,
150,0.0193,0.9931,0.02499,0.99803
151,0.00011,1.0,,
152,3e-05,1.0,,
153,0.00592,0.9984,,
154,2e-05,1.0,,
155,0.00079,1.0,,
156,0.00462,0.99817,,
157,0.0002,1.0,,
158,1e-05,1.0,,
159,0.01929,0.99771,,
