inputs.question,inputs.answer,inputs.context,inputs.ground_truth,gpt_coherence,gpt_fluency,gpt_groundedness,gpt_relevance,gpt_similarity,f1_score,index,status
"What is the project sector, either Renewable Energy or Forestry and Land Use?","The project sector mentioned in the context is Renewable Energy.","

[['', 'Organization name', '', 'Avaada Non-Conventional UPProject Private Limited'], ['', 'Contact person', '', 'Praveen Golash'], ['', 'Title', '', 'Senior GM'], ['', 'Address', '', '3rd floor, PTI building, 4 Parliament Street, Delhi – 110001. India.'], ['', 'Telephone', '', '+91-97113 02259'], ['', 'Email', '', 'praveen.golash@avaada.com']]
[['', 'Organization name', '', 'WeAct Pty Ltd'], ['', 'Role in the project', '', 'Authorized Representative'], ['', 'Contact person', '', 'Satish Duvvuru'], ['', 'Title', '', 'Director'], ['', 'Address', '', '1/115 Chapal Street, Widnsor, Victoria-3181, Australia.'], ['', 'Telephone', '', 'Ph: +61-409 135 580'], ['', 'Email', '', 'satish@weact.com.au']]
PROJECT DESCRIPTION : VCS Version 3
1.2 Sectoral Scope and Project Type
The project activity falls under the following Sectoral scope and Project Type:
Sectoral Scope : 01 - Energy industries (renewable / non-renewable sources)
Project Type : I - Renewable Energy Projects
Methodology : ACM0002: Grid-connected electricity generation from renewable
sources - Version 191
The project is not a grouped project activity.
1.3 Project Proponent
„Avaada Non-Conventional UPProject Private Limited‟ is the SPV of “M/s Avaada Energy Pvt. Ltd.
(formerly known as Giriraj Renewables Pvt. Ltd.), acting as the Project Proponent (PP) for the
project activity, will be having overall operational control and ownership of the Project activity.
1.4 Other Entities Involved in the Project
WeAct Pty Ltd. is the “Authorized Representative”2 of PP and the “Sole Focal Point” for all the
communications with the DOE, VCS Board and Registry; and to take all the necessary actions for
the project under VCS mechanism as and when required.
1.5 Project Start Date
1st October 2020.
As per VCS guidelines, the project start date is the date on which the project is commissioned.
This is a proposed project activity, which is currently under development phase and
commissioning of the project is being scheduled on 1st October 2020 which is a futuristic date
1 https://cdm.unfccc.int/methodologies/DB/5725LCHYPYM4I1V8OD9SFYVAMFFWNP
2 Communication Agreement has been executed in between PP and Authorized Representative, submitted to APX.
v3.3 4","{'project_sector': 'Renewable Energy'}","5","3","5","5","5","0.36","0","Completed"
"What are the start and end dates of the crediting period for this project?","According to the provided information, the start and end dates of the crediting period for this project are as follows:

- Starting date of the first crediting period: 01/01/2006
- Length of the first crediting period: 7 years (7y-0m)

Please note that the information provided in the context section is taken from the Project Design Document Form and is subject to change or verification.","

PROJECT DESIGN DOCUMENT FORM (CDM PDD) - Version 02
CDM – Executive Board page 18
• Mr.Huang Gengxin, hgx@bjgtec.com. Project Manager of Beijing Guotou Energy
Conservation Company, Project Participant, Tel: +86 10 65134431
• Ms Qian Yiwen, qian.yiwen@itpowergroup.com. IT Power China Representative Office,
Suite 1211, Air China Plaza, No 36 XiaoYun Lu, Chaoyang District, Beijing, 100027,
China, Tel: +86 10 844 75848/9.
Neither IT Power, nor its employees are project participants.
SECTION C. Duration of the project activity / Crediting period
C.1 Duration of the project activity:
C.1.1. Starting date of the project activity:
>>
28/07/2004 start of construction
On June 16, 2004, contract with IT Power to develop the project as a CDM project was signed.
On August 3, 2004, The Feasibility Study of Zhangbei Manjing Windfarm Project was approved
by Government of China (Hebei Provincial DRC).
C.1.2. Expected operational lifetime of the project activity:
>>
At least 21y-0m.
C.2 Choice of the crediting period and related information:
C.2.1. Renewable crediting period
C.2.1.1. Starting date of the first crediting period:
>>
01/01/2006
C.2.1.2. Length of the first crediting period:
>>
7y-0m.
C.2.2. Fixed crediting period:
C.2.2.1. Starting date:
>>
Not applicable
C.2.2.2. Length:
This template shall not be altered. It shall be completed without modifying/adding headings or logo, format or font.","{'crediting_period_start': '2006-01-01', 'crediting_period_end': '2012-12-31'}","3","3","5","5","3","0","1","Completed"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","The project sector in this case is Renewable Energy.","

PROJECT DESCRIPTION : VCS Version 3
1 PROJECT DETAILS
1.1 Summary Description of the Project
The project proponent M/s. A.A. Energy Limited (AAEL) has installed a 10 MW biomass based
power generation project at Desaiganj Wadsa in Gadchiroli district of Maharashtra. The proposed
small scale project utilises the surplus biomass residues primarily from rice husk available locally
to generate power through sustainable means without causing any negative impacts on the
environment.
This is a CDM registered project. The reference number of the project is 4078 and was registered
on 26 January 2011. The plant was commissioned and synchronized to the grid on 30th April
2010. Please refer section A.4.2.of the registered PDD. The web link for the same is mentioned
below:
http://cdm.unfccc.int/Projects/DB/SGS-UKL1288172340.56/view
1.2 Sectoral Scope and Project Type
According to the categorisation system of the Clean Development Mechanism, which is part of
Green House Gas (GHG) program that has been approved by the VCS board, the project is
categorised as:
 Type I: Energy industries (renewable - / non-renewable sources)
 Category: Grid connected renewable electricity generation – AMS I.D., version 15
 This is not a grouped project. Please refer section A.4.5. of the registered PDD. The web link
for the same is mentioned below:
http://cdm.unfccc.int/Projects/DB/SGS-UKL1288172340.56/view
1.3 Project Proponent
Contact details of the person responsible for development of baseline and monitoring
methodology is given below:
Mr. Swapnil Agrawal
Director
M/s. A. A. Energy Limited
No. 101, Nikalas Tower,
Central Bazaar road, Ramdaspeth,
Nagpur – 440 010,
Maharashtra, India.
Telephone: +91-712-6638432
Fax: +91-712-2420688
E-mail: aaenergyltd@yahoo.com
The roles and responsibilities have been defined in the registered PDD. Please refer section
B.7.2. of the registered PDD. The web link for the same is mentioned below:
http://cdm.unfccc.int/Projects/DB/SGS-UKL1288172340.56/view
1.4 Other Entities Involved in the Project
Not applicable
v3.0 3","{'project_sector': 'Renewable Energy'}","5","5","5","5","5","0.36","2","Completed"
"What are the start and end dates of the crediting period for this project?","Based on the information provided, there is no specific mention of the start and end dates of the crediting period for this project. It is recommended to refer to the official project documentation or contact the relevant authorities or project managers for accurate information regarding the crediting period.","

PROJECT DESCRIPTION : VCS Version 3
Clients
Distributor costs passed through to clients
Regulated users
Non-regulated users (<0.5
Distribution + Power Retail MW)
-Buying and selling of electricity
-Competition + Entry (Gradual)
Transmission Operative Stage
National Dispatch Center
Grid-free access ELECTRICITY Operation + Administration
Regulated fees SPOT MARKET
Generation
Entry + Competition
Free prices
Figure 4: Simplified Scheme of the Colombian Power Market based on Electricity Law from 1994
(Law 143).
The project is in compliance with all applicable laws and regulatory requirements of the Colombian power
sector. It also complies with all environmental requirements, which is explained in section 0.
1.12 Ownership and Other Programs
1.12.1 Proof of Title
The proof of title is given by the BOOMT contract between HIDROELÉCTRICA ITUANGO S.A. E.S.P.
and EPM E.S.P.
1.12.2 Emissions Trading Programs and Other Binding Limits
Not applicable.
1.12.3 Participation under Other GHG Programs
The project has not been registered and is not seeking registration under any other GHG programs.
1.12.4 Other Forms of Environmental Credit
The project has no intends to generate any other form of GHG-related environmental credit for GHG
emission reductions or removals claimed under the VCS Program.
1.12.5 Projects Rejected by Other GHG Programs
The project has not has been rejected by any other GHG programs.
v3.0 11","{'crediting_period_start': '2018-01-01', 'crediting_period_end': '2027-12-31'}","3","3","3","1","1","0","3","Completed"
"What are the methodologies of this project?","The methodology of this project involves several steps and considerations:

1. Additionality Methods: The project follows the guidelines outlined in section 3.5 additionality.

2. Methodology Deviations:
   a. Grid emission factor: The project owner is unable to calculate the grid emission factor as the data is not available in the public domain. Therefore, the project owner requests to use the publicly available grid emission factor for the project. For the first crediting period, the project owner selects the latest and conservative grid emission factor value provided by IRENA.
   b. Benchmarking Boundary: The benchmark boundary is defined as the city where the project activity is located, which in this case is Abu Dhabi. The project is limited to the Abu Dhabi Emirate, United Arab Emirates.

3. Quantification of Estimated GHG Emission Reductions and Removals:
   a. Baseline Emissions: The baseline emissions are estimated using Approach 1 as the benchmark installation is electricity-driven technology. The total baseline emissions are calculated using Equation (2) from the methodological tool 05. Parameters such as estimated electricity consumption, average technical transmission and distribution losses, and the grid CO2 emission factor are considered in the calculation.

Please note that the provided information is a summary of the methodology described in the project documentation. For more detailed information, it is recommended to refer to the specific project documentation.","

[['Source', 'Latest year for which\nemission factor available', 'Value'], ['Third update for second NDC\nof the UAE – 2023 page 1712', '2019', '0.55 tCO /MWh\n2'], ['Energy profile, United Arab\nEmirates published by IRENA\n– 8th August 2023 page 313', '2021', '457 tCO /GWh (0.457\n2\ntCO /MWh)\n2']]
VCS Project Description Template, v4.3
☐ Yes ☒ No
Additionality Methods
All the steps are explained in the section 3.5 additionality.
3.6 Methodology Deviations
1. Grid emission factor
The methodology refers to CDM Tool 7 for electricity grid emission factor. However, the data is
not available in public domain to calculate the grid emission factor and therefore project owner
is not able to calculate this factor.
The project owner request to use the publicly available grid emission factor for the project,
which will be fix for first crediting period. For future crediting period project owner anticipates
that the data will be available to calculate the grid emission factor and then the Tool 7 or any
other Verra guidance will be used for the project.
Based on publicly available information, the following data is available for UAE grid emission
factor:
The Project will consumed less electricity with respect to the baseline and therefore lower grid
emission factor will result in lower baseline emissions and lower emission reductions and
therefore the lower grid emission factor will be conservative of therefor lower value (IRENA) is
selected. As IRENA value is latest and conservative therefore this has been used for the first
crediting period.
2. Benchmarking Boundary
12 https://unfccc.int/sites/default/files/NDC/2023-
07/Third%20Update%20of%20Second%20NDC%20for%20the%20UAE_v15.pdf (page 17)
13 https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Middle-East/United-Arab-
Emirates_Middle-East_RE_SP.pdf (page 3)
42

[['BE\ny', 'Baseline emissions in year y', '36,393', 'tCO e/yr\n2', 'Calculated']]
VCS Project Description Template, v4.3
As per the Methodology the default benchmark boundary is a city where the project activity is
located which is Abu Dhabi.
No definition is provided related with the city.
The UAE is divided into seven administrative divisions (Abu Dhabi, Dubai, Sharjah, Ajman, Umm
Al Quwain, Ras Al Khaimah and Fujairah), referred as emirates. Each emirates have its own
rules and regulations and clear demarcation of boundary.
 Therefore, Abu Dhabi Emirate is considered as city for methodological requirement and
benchmark boundary. As this is grouped project and therefore the boundary is limited
to Abu Dhabi Emirate, United Arab Emirates.
4 QUANTIFICATION OF ESTIMATED GHG
EMISSION REDUCTIONS AND
REMOVALS
4.1 Baseline Emissions
Baseline emissions are estimated using Approach 1 as the benchmark installation is electricity
driven technology.
Total baseline emissions are calculated as follows, using Equation (2) from the methodological
tool 05; Baseline, project and/or leakage emissions from electricity consumption and
monitoring of electricity generation version 3.0. When applying the tool, parameter QB,y shall
correspond to parameter EC whereas BE shall correspond to BE . BL,k,y, y EC,y
Equation (1) (cid:2)(cid:3) =(cid:6) × (cid:3)(cid:11) (cid:12) (1+(cid:16)(cid:17)(cid:18) ) (cid:4) (cid:7),(cid:4) (cid:7),(cid:4) (cid:7),(cid:4)
Where
BE = Baseline emissions in year y (tCO e/yr) y 2
Q = Estimated electricity consumption of isolated and less efficient air- B,y
cooled reciprocating chiller systems in year y (MWh/yr)
TDL = Average technical transmission and distribution losses for providing BY
electricity to the baseline in year y
EF = Grid CO emission factor calculated in accordance with the “Tool to EL,y 2
calculate the emission factor for an electricity system” (Version 7.0)
(tCO e/MWh) 2
43","{'project_methodologies': ['ACM0002']}","5","3","5","5","3","0","4","Completed"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","Based on the information provided, the project sector in question is Renewable Energy. The project involves the generation of electricity using wind energy, which is a renewable source of energy. The project aims to contribute to resource conservation, reduce dependence on imported fossil fuels, and improve energy security. Additionally, the project activity does not cause any negative impact on the surrounding environment.","VCS Project Description  
 109 Increased interest in wind energy proj ects of other clients will further push 
R&D efforts by technology providers to develop more efficient and better 
machinery in future. 
 
• Economic: 
9 The project activity requires tempor ary and permanent, skilled and semi-
skilled manpower at the wind park; this will create additional employment 
opportunities.  
9 The generated electricity will be fed to the regional grid through local grid, 
thereby improving the grid frequency and availability of electricity to the 
local consumers (villagers  & sub-urban habitants) which will provide new 
opportunities for industries and economic activities to be setup in the area 
thereby resulting in greater local empl oyment, ultimately leading to overall 
development.  
 
• Sectoral Scope: 1, “ Grid connected renewable electricity generation “  
• Social:  
9 The project activity has led to the de velopment of supporting infrastructure 
such as road network etc., in the wind park location, which also provides 
access to the local population. 
9 The project activity leads to alleviation of poverty by establishing direct and 
indirect benefits through employment generation and improved economic 
activities by strengthening of local gr id of the state electricity utility. 
9 Use of a renewable source of energy reduces the dependence on imported 
fossil fuels and associated price variation thereby leading increased energy 
security. 
 
• Environmental:  
 
9 The project activity involves use of renewable energy source for electricity 
generation instead of fossil fuel based electricity generation which would 
have emitted gaseous, liquid and/or solid effluents/wastes. 
9 Being a renewable resource, using wind energy to generate electricity 
contributes to resource conservation. Thus the project causes no negative 
impact on the surrounding environmen t contributing to environmental well-
being. 
 
1.17 List of commercially sensitive information  (if applicable) :  
 
There is no commercial sensitive inform ation regarding the project activity.  
 
2 VCS Methodology: 
 
2.1 Title and reference of the VCS methodology applied to the project activity 
and explanation of methodology choices: 
 
The project under consideration has been developed under approved methodology for small-scale CDM Project activity AMS-ID, Version 14.0  as approved by VCS 2007.1.  
The title of this baseline and monitoring me thodology is “Grid connected renewable 
electricity generation”  
 
2.2 Justification of the choice of the method ology and why it is applicable to the 
project activity: ","{'project_sector': 'Renewable Energy'}","5","4","5","5","5","0.07","5","Completed"
"What is the project sector, either Renewable Energy or Forestry and Land Use?","Based on the provided information, the project sector is Forestry and Land Use, specifically focused on Reducing Emissions from Deforestation and Forest Degradation (REDD) activities.","

[['EligibilityConditions', 'FortalezaItuxiIIREDD+project\nJustificationofEligibility'], ['Projects shall meet all applicable rules and\nrequirements set out under the VCS\nProgram, including thisdocument.Projects\nshall be guided by the principles set out in\nSection2.2.1', 'Theprojectmeetsallapplicablerulesand\nrequirements set out under the VCS\nProgram,asdetailedinthissectionandin\nApplicabilityofMethodology.'], ['Projects shall apply methodologies eligible\nunder the VCS Program. Methodologies\nshall be applied in full, including the full\napplicationofanytoolsormodulesreferred\nto by a methodology, noting the exception\nsetoutinSection3.13.1', 'The applied methodology is VM0007 -\nREDD+ Methodology Framework\n(REDD+MF),v1.6.Applicabilityconditions\naredetailedinsection3.2.']]
ProjectDescription:VCSVersion4.2
project lifetime (16-December-2021 to 15-December-2051), with an annual average of
535,552tCO e.
2
1.2 Sectoral Scope and Project Type
SectoralScope:AFOLU(Scope14):Agriculture,Forestry,andOtherLandUses.
ProjectActivity:REDD(ReducingEmissionsfromDeforestationandForestDegradation).
ProjectCategory:AvoidingPlannedDeforestation(APDprojectactivity)andAvoided
UnplannedDeforestation(AUDprojectactivity).
Thisisnotagroupedproject.
1.3 Project Eligibility
According to the VCS Methodology Requirements v4.12, for Reduced Emissions from
Deforestation and Degradation(REDD)projects,eligibleactivitiesarethosethatreduce
net Greenhouse gases (GHG) emissions by reducing deforestation. Thus, theprojectis
eligible under the scopes of the VCS Program,followingtheVCSStandardversion4.2,
sections3.2andAppendixA1.5–A1.8.
2VERRA–MethodologyRequirements.Availableat
<https://verra.org/wp-content/uploads/2022/01/VCS-Methodology-Requirements_v4.1.pdf>
5","{'project_sector': 'Forestry and Land Use'}","4","3","5","5","5","0.29","6","Completed"
"What are the start and end dates of the crediting period for this project?","Based on the information provided, the start date of the crediting period for this project is not specified. However, it is mentioned that the project is eligible for VCS Version 3.3, which took effect on October 4, 2012. Additionally, the project must have a start date no earlier than January 1, 2002, and the validation must be completed within two years of the project start date. The end date of the crediting period is also not mentioned.","

PROJECT DESCRIPTION : VCS Version 3
1.12 Ownership and Other Programs
1.12.1 Right of Use
Ownership of the plant, equipment and electricity generation licence belongs to Darenhes Elektrik
Üretimi A. Ş. and all emission reductions/removals are granted to the company. The production
license and the operating certification of the company given by the Chamber of Commerce are
provided to the validating DOE as proof of the Title.
1.12.2 Emissions Trading Programs and Other Binding Limits
Not applicable
The project is not embedded under any kind of Emission trading programs. Turkey is not an Annex-B
country under Kyoto Protocol, neither has its set national emission reduction targets nor any related
obligations.
1.12.3 Participation under Other GHG Programs
Not applicable
The project is a voluntary project and the host country, Turkey12 cannot host CDM or JI projects.
1.12.4 Other Forms of Environmental Credit
Not applicable
The project will not generate other form of environmental credits such as Green Power Certificates.
1.12.5 Projects Rejected by Other GHG Programs
Not applicable
The project has not been rejected by any other Green House Gas programme.
1.13 Additional Information Relevant to the Project
Eligibility Criteria
The Project is eligible to be a VCS Project because:
• VCS v.3.3 has taken effect on 04.10.2012, accordingly the Project is eligible to use this version.
• VCS v.3.3requires project crediting period start date earliest to be 01.01.2002, besides, the
Project must also complete the validation within two years of the Project Start Date. Both
conditions are satisfied for the Project activity.
• VCS v.3.3 accepts all six Kyoto gases. The Project Activity aims to reduce CO2, which is one of
these six Kyoto gases.
12 Turkey is a party to UNFCCC and listed in Annex -1, but the Marrakesh Accord at COP 7, “Invites the Parties to recognize
the special circumstances of Turkey, which place Turkey, after becoming a Party, in a situation different from that of other
Parties included inAnnex I to the Convention.” As a result, even though Turkey has ratified Kyoto Protocol, she does not have a
binding target under Annex-B, and as a result Turkey can not host CDM or JI projects.
v3.1 12","{'crediting_period_start': '2013-11-14', 'crediting_period_end': '2023-11-13'}","3","3","3","3","1","0","7","Completed"
"What are the project proponents, including organization name, phone number, email address, state/city and country of the entity responsible for managing this carbon project?","The organization responsible for managing this carbon project is Henan BCCY Environmental Energy Co., Ltd. The contact person is Lei Wang, the Minister of the carbon emission department. The address is 8/F, Hengmei Business Building, 22 Dongfeng Road, Zhengzhou, China. The telephone number is +86 371 56737901, and the email address is lwang@bccynewpower.com.","

[['', 'Organization name', '', '', 'Henan BCCY Environmental Energy Co., Ltd.', ''], ['', 'Contact person', '', '', 'Lei Wang', ''], ['', 'Title', '', '', 'Minister of carbon emission department', ''], ['', 'Address', '', '', '8/F, Hengmei Business Building, 22 Dongfeng Road, Zhengzhou, China', ''], ['', 'Telephone', '', '', '+86 371 56737901', ''], ['', 'Email', '', '', 'lwang@bccynewpower.com', '']]
[['', 'Organization name', '', '', 'Guangxi Gangya Shengda New Energy Co., Ltd.', ''], ['', 'Role in the project', '', '', 'Project Operation Entity', ''], ['', 'Contact person', '', '', 'Yangyang Zhang', ''], ['', 'Title', '', '', 'Project Manager', ''], ['', 'Address', '', '', '8/F, Hengmei Business Building, 22 Dongfeng Road, Zhengzhou, China', ''], ['', 'Telephone', '', '', '+86 371 65521780', ''], ['Email', 'Email', None, '', 'zhangyangyang@bccynewpower.com', '']]
VCS Project Description Template, v4.3
☐ Multiple locations or project activity instances (but not a grouped project)
☐ Grouped project
Grouped project design
The project is not a grouped project. Thus, this section is not applicable.
1.6 Project Proponent
1.7 Other Entities Involved in the Project
1.8 Ownership
Guangxi Gangya Shengda New Energy Co., Ltd. is the sole project owner of the project. The Project
Filing Certificate and approval of Environmental Impact Assessment (EIA) and the Business
License of the project owner are the evidences for legislative right. Guangxi Gangya Shengda New
Energy Co., Ltd. is a wholly-owned subsidiary of Henan BCCY Environmental Energy Co., Ltd.,
which is responsible for the acquisition of approvals, construction and operation of project. It
obeys the management of Henan BCCY Environmental Energy Co., Ltd., including application for
6","{'organization_name': 'Henan BCCY Environmental Energy CO.,LTD.', 'telephone': '86 371 6552', 'email': 'lwang@bccynewpower.com', 'state/city': 'Colorado', 'country': 'China'}","5","5","5","5","2","0.32","8","Completed"
"What are the start and end dates of the crediting period for this project?","The start date of the crediting period for this project is March 1, 2021, and the end date is February 28, 2041.","

[['', 'Address', '', '', 'India', ''], ['', 'Telephone', '', '', '+91 98937 58888', ''], ['', 'Email', '', '', 'deep.gupta@shrimaagroup.in', '']]
[['', 'Project Scale', '']]
Joint Project Description & Monitoring Report: VCS Version 4.2
1.7 Ownership
The Project Proponent is OYU Green Private Limited. The plantations have explicitly taken place
on privately owned lands and the landowners have agreed to transfer the allocated carbon credits
to the Project Proponent and the other entities involved, by the terms & conditions of the
agreement.
The evidence of the project ownership i.e., the MOU, agreement documents, and land ownership
documents are available with the Project Proponent and may be furnished before the
Validation/Verification Body with a prior request.
1.8 Project Start Date
The project’s start date is March 1, 2021. In accordance with VCS Project requirements, the
project start date for an AFOLU (Agriculture, Forestry, and Other Land Use) project is determined
as the date on which activities that result in the generation of reductions or removals commence.
This corresponds to the initiation of land preparation by landowners for the implementation of
agroforestry practices.
1.9 Project Crediting Period
The project’s crediting period is 20 years with crediting period start date as March 1, 2021 and
end date is February 28, 2041.
1.10 Project Scale and Estimated GHG Emission Reductions or Removals
The estimated annual GHG emission reductions/removals of the project are:
☐ <20,000 tCO2e/year
☐ 20,000 – 100,000 tCO2e/year
☒ 100,001 – 1,000,000 tCO2e/year
☐ >1,000,000 tCO2e/year
10


Joint Project Description & Monitoring Report: VCS Version 4.2
1.16 Other Forms of Credit
Emissions Trading Programs and Other Binding Limits
Does the project reduce GHG emissions from activities that are included in an emissions
trading program or any other mechanism that includes GHG allowance trading?
☐ Yes ☒ No
Other Forms of Environmental Credit
Has the project sought or received another form of GHG-related credit, including renewable
energy certificates?
☐ Yes ☒ No
Supply Chain (Scope 3) Emissions
Negligible as nurseries were close to the project area and there were no goods that were
transported during the implementation of the project
1.17 Sustainable Development Contributions
Sustainable Development Contributions Activity Description
The Project activity will contribute to the following indicators for sustainable development – Social
well-being, Economic well-being, Technological well-being, and Environmental well-being.
 Socio-economic well-being: Income, education, and occupation are the top three consistent
measures used for measuring the status of socio-economic well-being18. The project aims to
benefit the primary stakeholders by generating additional sources of income through the
activities involved in the project and by creating employment opportunities. The project
activity will try to remove social disparities if practiced by the natives by encouraging
participation among all members of society regardless of income, religion, or gender.
 Technological well-being: The project activities will provide the transfer of environmentally
safe and sound technologies, including the use of smartphones, laptop/computers, GPS
devices, and the Internet.
 Environmental well-being: The project establishes plantation of timber tree species and
horticulture tree species to provide a variety of ecosystem services, mainly timber and non-
timber forest products. In addition to such services, the plantation will provide direct and
indirect benefits to biodiversity via the provision of forest habitat for a wide range of species,
18 TheEffectofSocioeconomicStatusonWell-Being.pdf
22","{'crediting_period_start': '2021-03-01', 'crediting_period_end': '2041-02-28'}","5","5","5","5","5","0","9","Completed"
