prompt,true_answer,model_answer,bleu,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,rougeLSum_precision,rougeLSum_recall,rougeLSum_f1
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If any key information is missing, omit that key from response. If No relevant information found in context is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What are the methodologies of this project?\n\nContext: 3.1 Title and Reference of Methodology\nThe methodology for the project activity is approved methodology for large-scale CDM project\nactivities. The details of the methodology are as follows:\nMethodology: AM01235\nProject Type: Type-I: Renewable Energy Projects\nTitle: Renewable energy generation for captive use\nVersion No.: Version 01.0; EB 119, Annex 9\nSectoral scope: 01 - Energy (renewable/ non-renewable)\nTools referred with above methodology and applicable for project activity are:\n•Tool to calculate the emission factor for an electricity system, TOOL07, Version 07.0 EB 100,\nAnnex 46.\n•Investment analysis, TOOL27, Version 12.0 EB 116, Annex 27.\n• Baseline, project and/or leakage emissions from electricity consumption and monitoring of\nelectricity generation, TOOL05, Version 03.0 EB 96, Annex 58.'}]",{'project_methodologies': ['AM0123']},{'project_methodologies': ['AM0123']},1,1,1,1,1,1,1,1,1,1,1,1,1
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If any key information is missing, omit that key from response. If No relevant information found in context is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What are the start and end dates of the crediting period for this project?\n\nContext: 1.9 Project Crediting Period\nAs per section 3.8.3 in the VCS standards requirement for AFOLU projects, the crediting period for this\nprogram should be a minimum of 20 years with a maximum of 4 renewals within the maximum 100-\nyear crediting period.\nThe project crediting period for this project will be 40 years starting on the project start date\n(01/05/2020) listed in section 1.8 for 2020 Batches. With a project end date of 30/04/2060. This has\na possibility of 2 renewals.'}]","{'crediting_period_start': '2020-05-01', 'crediting_period_end': '2060-04-30'}","{'crediting_period_start': '2020-05-01', 'crediting_period_end': '2060-04-30'}",1,1,1,1,1,1,1,1,1,1,1,1,1
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If any key information is missing, omit that key from response. If No relevant information found in context is found, do not return anything.'}, {'role': 'user', 'content': ""Question: What is the project sector, either Renewable Energy or Forestry and Land Use?\n\nContext: [['', 'Organizatio', 'n name', '', 'SSelco Solar PPvt. Ltd.'], ['', 'Contact perr', 'son', '', 'SSarah Alexannder'], ['', 'Title', '', '', ''], ['', 'Address', '', '', '## 690, 15th CCross, 2nd Phhase J P Naggar, Bangalorre: 560078, India'], ['', 'Telephone', '', '', '++91-80-266-5545-09'], ['', 'Email', '', '', 'ssarah@selco--india.com']]\n[['', 'Organizatio', 'n name', '', 'NNatural Capitaal Partners Limited'], ['', 'Role in the', 'project', '', 'CCredit buyer, CConsultant'], ['', 'Contact perr', 'son', '', 'CChristiaan Vroolijk'], ['', 'Title', '', '', 'SSourcing Mannager'], ['Address', 'Address', '', None, '1667 Fleet Streeet, London, EC4A 2EA, UUK'], ['', 'Telephone', '', '', '+44 20 7833 66038'], ['', 'Email', '', '', 'cvvrolijk@naturalcapitalparttners.com']]\nPROJECT DESCRIPTION : VCS Version 3\n1.2 Sectoral Scope and Project Type\nSectoral scope:\n\uf0b7 01 Energy industries (renewable - / non-renewable sources).\nProject types:\n\uf0b7 Type III – Substituting fuel-based lighting with LED/CFL lighting systems (for solar lighting\nproducts)\n\uf0b7 Type I – Thermal energy production with or without electricity (for solar water heating\nproducts)\n\uf0b7 Type I – Renewable electricity generation for captive use and mini-grid (for grid\nconnected solar PV)\nGrouped project\n\uf0b7 Yes.\n\n1.4 Other Entities Involved in the Project\n1.5 Project Start Date\n01-January-2014\nThis is the date on which the first clean energy product disseminated under this grouped project\nbegan generating GHG emission reductions.\nv3.2 6""}]",{'project_sector': 'Renewable Energy'},{'project_sector': 'Renewable Energy'},1,1,1,1,1,1,1,1,1,1,1,1,1
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If any key information is missing, omit that key from response. If No relevant information found in context is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What is the project sector, either Renewable Energy or Forestry and Land Use?\n\nContext: 1.2 Sectoral Scope and Project Type\nSectoral Scope 14: Agriculture, Forestry and Other Land Use (AFOLU), with an activity\ncategory of Improved Cropland Management (ICM) under Agricultural Land Management\n(ALM).\nProject Methodology: AMS-III.AU Methane emission reduction by adjusted water\nmanagement practice in rice cultivation (Version 4.0).\nThe project type of this project falls into Type III Other project activities not included in\nType I or Type II.\nThe project is not a grouped project.\n4\n\nProject Description: VCS Version 4.1'}]",{'project_sector': 'Forestry and Land Use'},{'project_sector': 'Forestry and Land Use'},1,1,1,1,1,1,1,1,1,1,1,1,1
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If any key information is missing, omit that key from response. If No relevant information found in context is found, do not return anything.'}, {'role': 'user', 'content': ""Question: What are the methodologies of this project?\n\nContext: [['No.', 'Applicability Conditions', 'The Project'], ['1', 'This methodology is applicable to project activities that:\\n(a) Install a Greenfield plant;', 'The project activity is a\\nGreenfield, grid connected']]\n3.2 Applicability of Methodology\nProject meets the applicability criteria defined by the selected methodology, which is AMS-I.D, ver\n18.0:\nTable 5. Justification of AMS I.D\n18\n\n[['', '(b) Involve a capacity addition in (an) existing plant(s);\\n(c) Involve a retrofit of (an) existing plant(s);\\n(d) Involve a rehabilitation of (an) existing plant(s)/unit(s); or\\n(e) Involve a replacement of (an) existing plant(s).', 'renewable electricity\\ngeneration project.'], ['2', 'Hydro power plants with reservoirs that satisfy at least one of the\\nfollowing conditions are eligible to apply this methodology:\\n(a) The project activity is implemented in an existing reservoir\\nwith no change in the volume of reservoir;\\n(b) The project activity is implemented in an existing reservoir,\\nwhere the volume of reservoir is increased and the power density\\nof the project activity, as per definitions given in the project\\nemissions section, is greater than 4 W/m2 ;\\n(c) The project activity results in new reservoirs and the power\\ndensity of the power plant, as per definitions given in the project\\nemissions section, is greater than 4 W/m2', 'The project activity is\\nimplemented in an\\nexisting reservoir with no\\nchange in the volume of\\nreservoir.'], ['3', 'If the new unit has both renewable and non-renewable\\ncomponents (e.g. a wind/diesel unit), the eligibility limit of 15 MW\\nfor a small-scale CDM project activity applies only to the\\nrenewable component. If the new unit co-fires fossil fuel, the\\ncapacity of the entire unit shall not exceed the limit of 15 MW.', 'There is no new unit in the\\nproject.'], ['4', 'Combined heat and power (co-generation) systems are not\\neligible under this category', 'The project does not\\ninvolve combined heat\\nand power generation\\nactivity.'], ['5', 'In the case of project activities that involve the capacity addition\\nof renewable energy generation units at an existing renewable\\npower generation facility, the added capacity of the units added\\nby the project should be lower than 15 MW and should be\\nphysically distinct from the existing units.', 'The Project is a\\nhydropower plant with\\nrenewable components\\nonly, with a capacity of\\nless than 15 MWe. The\\nproject does not involve\\ncapacity addition.'], ['6', 'In the case of retrofit, rehabilitation or replacement, to qualify as a\\nsmall-scale project, the total output of the retrofitted, rehabilitated\\nor replacement power plant/unit shall not exceed the limit of 15\\nMW.', 'The project does not\\ninvolve capacity addition,\\na retrofit of (an) existing\\nplant(s) or a replacement\\nof (an) existing plant(s).'], ['7', 'In the case of landfill gas, waste gas, wastewater treatment and\\nagro-industries projects, recovered methane emissions are\\neligible under a relevant Type III category. If the recovered\\nmethane is used for electricity generation for supply to a grid then\\nthe baseline for the electricity component shall be in accordance\\nwith procedure prescribed nder this methodology. If the\\nrecovered methane is used for heat generation or cogeneration', 'The project is the\\ninstallation of hydro power\\nplant. Hence, this\\ncondition is N/A.']]\nProject Description: VCS Version 4.2\n19\n\n[['', 'other applicable Type-I methodologies such as “AMS-I.C.:\\nThermal energy production with or without electricity” shall be\\nexplored.', ''], ['8', 'In case biomass is sourced from dedicated plantations, the\\napplicability criteria in the tool “Project emissions from cultivation\\nof biomass” shall apply.', 'The project is the\\ninstallation of hydro power\\nplant. Hence, this\\ncondition is N/A.']]\nProject Description: VCS Version 4.2\nSince there exists no delineation of project electricity system or connected electricity systems by\nDNA, following criteria has been used to determine the existence of significant transmission\nconstraints:\n• In case of electricity systems with spot markets for electricity: there are differences in\nelectricity prices (without transmission and distribution costs) of more than 5 percent\nbetween the systems during 60 percent or more of the hours of the year.\n• The transmission line is operated at 90% or more of its rated capacity during 90% percent\nor more of the hours of the year.\nSince the project output is fed to the Turkish electricity grid which does not involve any distinct\nelectricity systems that applies different price, first criteria defined above is not applicable. Also,\nsince the transmission line between the proposed projects and nearest substation is built within\nthe scope of the project and there exist no information on grid capacity utilization, second criteria\nis also inapplicable. Based on assessment above, it is difficult to conclude with a significant\ntransmission constraint or grid boundary. Since there is no dispatch grid system in Turkey, the\nproject boundary is considered as the National Electricity Grid of Turkey according to applied tool.\nThe geographical and physical boundaries of the Turkish grid and location of the power plants are\nwell identified as given diagram below.\nFigure 4. Turkish electricity grid\n20\n\n[['No', 'Applicability Conditions', 'The Project'], ['1', 'This tool may be applied to estimate the OM, BM and/or CM\\nwhen calculating baseline emissions for a project activity that\\nsubstitutes grid electricity that is where a project activity\\nsupplies electricity to a grid or a project activity that results in\\nsavings of electricity that would have been provided by the grid\\n(e.g. demand-side energy efficiency projects).', 'The project activity\\nsupplies electricity to a\\ngrid. Hence, this condition\\nis met.'], ['2', 'Under this tool, the emission factor for the project electricity\\nsystem can be calculated either for grid power plants only or,\\nas an option, can include off-grid power plants. In the latter\\ncase, two sub-options under the step 2 of the tool are available\\nto the project participants, i.e. option IIa and option IIb. If option\\nIIa is chosen, the conditions specified in “Appendix 1:\\nProcedures related to off-grid power generation” should be\\nmet. Namely, the total capacity of off-grid power plants (in MW)\\nshould be at least 10 per cent of the total capacity of grid\\npower plants in the electricity system; or the total electricity\\ngeneration by off-grid power plants (in MWh) should be at least\\n10 per cent of the total\\nelectricity generation by grid power plants in the electricity\\nsystem; and that factors which negatively affect the reliability\\nand stability of the grid are primarily due to constraints in\\ngeneration and not to other aspects such as transmission\\ncapacity.', 'CO emission factor for the\\n2\\ndisplacement of electricity\\ngenerated by power plants\\nin an electricity system is\\ndetermined by calculating\\nthe “combined margin”\\nemission factor (CM) of the\\nelectricity grid considering\\nonly grid-connected plants.\\nAs per Türkiye’s National\\nElectricity Grid Emission\\nFactor Information Form\\ndated 02/09/2022 , it is\\nmentioned that Turkish\\nnational electricity grid\\nemission factor was\\ncalculated and shared.'], ['3', 'In case of CDM projects the tool is not applicable if the project\\nelectricity system is located partially or totally in an Annex I\\ncountry.', 'The project is not a CDM\\nproject, it is a VCS project.\\nTurkey has officially signed']]\nProject Description: VCS Version 4.2\nAs per AMS-I.D methodology Section 2.2.9, the applicability conditions included in the tools used\nshall also be discussed.20\n• Tool 01 Tool for the demonstration and assessment of additionality: The project uses\nrelevant tool together with AMS-I.D methodology. No new methodology is used.\n• Tool 07 Tool to calculate the emission factor for an electricity system: This tool is applicable\nand used for the calculation of OM, CM and CM since the project activity includes grid\npower plants and supplies electricity to the grid.\nApplicability as per “Tool 07 : Tool to calculate the emission factor for an electricity system, version\n07.0” is provided below:\n20 https://cdm.unfccc.int/methodologies/DB/W3TINZ7KKWCK7L8WTXFQQOFQQH4SBK\n21\n\n[['', '', 'the Kyoto Protocol as of\\n26/08/2009. Despite being\\nan Annex I country, Turkey\\nhas not set any emission\\nreduction target; hence it is\\nnot listed as an Annex B\\ncountry of the Kyoto Protol.\\nHence this tool is\\napplicable.'], ['4', 'Under this tool, the value applied to the CO emission factor of\\n2\\nbiofuels is zero.', 'The project does not\\ninvolve biofuels in any way.']]\nProject Description: VCS Version 4.2""}]","{'project_methodologies': ['AMS-I.C.', 'AMS-I.D.']}","{'project_methodologies': ['AMS-I.C.', 'AMS-I.D.']}",1,1,1,1,1,1,1,1,1,1,1,1,1
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If any key information is missing, omit that key from response. If No relevant information found in context is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What are the project city, country, latitude, and longitude of this project?\n\nContext: 1.5 Project location including geographic and physical\ninformation allowing the unique identification and\ndelineation of the specific extent of the project:\nThe Project is located in Mediterranean Sea Region, Osmaniye province,\nTurkey. It is located near the Savrun River, in Kadirli town (distance\nca. 30 km), Osmaniye province (distance ca. 75 km).\nFor the Project Activity, a part of the Savrun River is by-passed and\nsome of the water is carried separately to the project location via a\npenstock, where the pressure of the water is utilized to turn the\nturbines and generate electricity.\n6\n\nVCS Project Description Template\nThe Savrun River, a river flowing to the\nCeyhan River, gathers the water of the Ceyhan\nbasin. It flows in a steep and narrow valley\nand the natural elevation on both sides of the\nriver can reach up to 1500 – 2000 m.\nThe regulator is located at 37º 34’ 28’’N and\n36 º 9’ 47’’E. The powerhouse is located at\n37º 32’ 58’’N and 36 º 9’ 06’’E. The regulator\nand the powerhouse have a distance of ca 3 km\nfrom each other.\nDetails about the geographical position of the\nProject Activity can be found in ANNEX III.'}]","{'project_state_province': 'Osmaniye province', 'project_country': 'Turkey'}","{'project_state_province': 'Osmaniye', 'project_country': 'Turkey'}",0.836742885,1,0.875,0.933333333,0.833333333,0.714285714,0.769230769,1,0.875,0.933333333,1,0.875,0.933333333
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If any key information is missing, omit that key from response. If No relevant information found in context is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What are the project city, country, latitude, and longitude of this project?\n\nContext: 1.12 Project Location\nSakal solar farm is located in Baralé Ndiaye, department and region of Louga, Senegal.\nThe project site’s geo-coordinates are: Latitude 15°51’31.2”N, Longitude 16°13’38.1”W.\n7\n\nJoint Project Description & Monitoring Report: VCS Version 4.0'}]","{'project_state_province': 'Louga', 'project_country': 'Senegal'}",{'project_country': 'Senegal'},0.318906557,1,0.428571429,0.6,1,0.333333333,0.5,1,0.428571429,0.6,1,0.428571429,0.6
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If any key information is missing, omit that key from response. If No relevant information found in context is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What are the project city, country, latitude, and longitude of this project?\n\nContext: [[\'\', \'.oN.S\', \'\', \'\', \'.oN\\nGEW\', \'\', \'\', \'yticapaC\', \')WM(\', \'\', \'\', \'ygolonhceT\', \'\', \'\', \'Location\', None, None, None, None, None, None, None, None, \'\', \'Site Coordinates\'], [None, None, None, None, None, None, None, None, None, None, None, None, None, \'\', None, \'egalliV\', \'\', \'\', \'tcirtsiD\', \'\', \'\', \'etatS\', \'\', None, None], [\'1\', None, None, \'YGCL-01\', None, None, \'0.6\', None, None, None, \'Enercon\', None, None, \'Gorera\', None, None, None, \'Jaisalmer\', None, None, \'Rajasthan\', None, None, None, \'26°44\\\'29""N\\n70°51\\\'20""E\'], [\'2\', None, None, \'YGCL-02\', None, None, \'0.6\', None, None, None, \'Enercon\', None, None, \'Gorera\', None, None, None, \'Jaisalmer\', None, None, \'Rajasthan\', None, None, None, \'26°44\\\'29""N\\n70°51\\\'20""E\'], [\'3\', None, None, \'J-215\', None, None, \'1.25\', None, None, None, \'Suzlon\', None, None, \'Soda\\nMada\', None, None, None, \'Jaisalmer\', None, None, \'Rajasthan\', None, None, None, \'26° 41\\\'15.0"" N\\n70° 53\\\' 23.6"" E\']]\n1.5 Project location including geographic and physical information allowing the\nunique identification and delineation of the specific extent of the project:\nMaps depicting the districts and states in which Wind Projects are located are placed below.\nWTG-1, 2 & 3\n\nVCS Project Description'}]",{'project_state_province': 'Rajasthan'},{'project_state_province': 'Rajasthan'},1,1,1,1,1,1,1,1,1,1,1,1,1
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If any key information is missing, omit that key from response. If No relevant information found in context is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What are the start and end dates of the crediting period for this project?\n\nContext: 1.6 Duration of the project activity/crediting period:\n• Project Start date: 1st March 2008 which is the start date of commercial operation\nof the plant\n• Crediting Period start date2: 1st April 2008\n• Credit Period: 10 years renewable crediting period'}]","{'crediting_period_start': '2008-04-01', 'crediting_period_end': '2018-03-31'}","{'crediting_period_start': '2008-04-01', 'crediting_period_end': '2018-03-31'}",1,1,1,1,1,1,1,1,1,1,1,1,1
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If any key information is missing, omit that key from response. If No relevant information found in context is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What are the methodologies of this project?\n\nContext: 3.1 Title and Reference of Methodology\nThe methodology applied by the project is AR-ACM0003 (version 02.0): A/R Large-scale Consolidated\nMethodology: Afforestation and reforestation of lands except wetlands. The latest version of tools\napplied by the project are:\n(i) CDM Tool: “Combined tool to identify the baseline scenario and demonstrate additionality in\nA/R CDM project activities” (Version 01);\n(ii) CDM Tool: “Estimation of carbon stocks and change in carbon stocks of trees and shrubs in\nA/R CDM project activities” (Version 03.0.0);\n2 https://www.mee.gov.cn/xxgk2018/xxgk/xxgk02/202012/t20201202_811053.html\n25\n\nProject Description: VCS Version 4.1\n(iii) CDM Tool: “Tool for estimation of change in soil organic carbon stocks due to the\nimplementation of A/R CDM project activities” (Version 01.1.0);\n(iv) CDM Tool: “Estimation of non-CO greenhouse gas (GHG) emissions resulting from burning of 2\nbiomass attributable to an A/R CDM project activity” (Version 04.0.0);\n(v) CDM Tool: “Calculation of the Number of Sample Plots for Measurements within A/R CDM\nProject Activities (Version 02.1.0);\n(vi) “Estimation of carbon stocks and change in carbon stocks in dead wood and litter in A/R\nCDM project activities” (Version 03.1)'}]","{'project_methodologies': ['AR-ACM0003', 'ACM0003']}","{'project_methodologies': ['AR-ACM0003', 'ACM0003']}",1,1,1,1,1,1,1,1,1,1,1,1,1
