prompt,true_answer,model_answer,bleu,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,rougeLSum_precision,rougeLSum_recall,rougeLSum_f1
"Question: Which NFL team represented the NFC at Super Bowl 50?

Context: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","[""Carolina Panthers""]","The NFC team that represented the conference at Super Bowl 50 was the Carolina Panthers. They were defeated by the Denver Broncos, who represented the AFC.",0.049629166698546515,0.07692307692307693,1.0,0.14285714285714288,0.04,1.0,0.07692307692307693,0.07692307692307693,1.0,0.14285714285714288,0.07692307692307693,1.0,0.14285714285714288
"Question: Where did Super Bowl 50 take place?

Context: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","[""Santa Clara, California"", ""Levi""s Stadium"", ""Levi""s Stadium in the San Francisco Bay Area at Santa Clara, California.""]","Super Bowl 50 took place at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California.",0.31817376241892953,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895
"Question: What color was used to emphasize the 50th anniversary of the Super Bowl?

Context: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","[""gold""]","The color that was used to emphasize the 50th anniversary of the Super Bowl was gold. The league implemented various gold-themed initiatives to highlight the ""golden anniversary"" of the event.",0.0,0.03225806451612903,1.0,0.0625,0.0,0.0,0.0,0.03225806451612903,1.0,0.0625,0.03225806451612903,1.0,0.0625
"Question: What was the theme of Super Bowl 50?

Context: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","[""""golden anniversary"""", ""gold-themed"", """"golden anniversary""]","The theme of Super Bowl 50 was the ""golden anniversary."" The NFL emphasized the milestone of the 50th Super Bowl by incorporating various gold-themed initiatives and temporarily suspending the tradition of using Roman numerals in the game's title. The logo prominently featured the Arabic numerals ""50"" to mark the occasion.",0.0662266178532522,0.07692307692307693,0.6666666666666666,0.13793103448275862,0.0392156862745098,0.4,0.07142857142857142,0.07692307692307693,0.6666666666666666,0.13793103448275862,0.07692307692307693,0.6666666666666666,0.13793103448275862
"Question: What day was the game played on?

Context: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","[""February 7, 2016"", ""February 7""]","The game was played on February 7, 2016.",0.2705085669854781,0.375,0.6,0.4615384615384615,0.2857142857142857,0.5,0.36363636363636365,0.375,0.6,0.4615384615384615,0.375,0.6,0.4615384615384615
"Question: What is the AFC short for?

Context: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","[""American Football Conference""]","The AFC is short for the American Football Conference. In the National Football League (NFL), the league is divided into two conferences, the AFC and the NFC (National Football Conference). The AFC and NFC each consist of 16 teams, and the conferences compete against each other to determine the teams that will play in the Super Bowl.",0.03683547343418785,0.05263157894736842,1.0,0.1,0.03571428571428571,1.0,0.0689655172413793,0.05263157894736842,1.0,0.1,0.05263157894736842,1.0,0.1
"Question: What does AFC stand for?

Context: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","[""American Football Conference""]","AFC stands for the American Football Conference. It is one of the two conferences in the National Football League (NFL), along with the National Football Conference (NFC). The AFC and NFC are the two divisions that make up the NFL, and teams from each conference compete against each other in the Super Bowl to determine the league champion.",0.03683547343418785,0.05172413793103448,1.0,0.09836065573770492,0.03508771929824561,1.0,0.06779661016949151,0.05172413793103448,1.0,0.09836065573770492,0.05172413793103448,1.0,0.09836065573770492
"Question: Who won Super Bowl 50?

Context: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","[""Denver Broncos""]","The Denver Broncos won Super Bowl 50, defeating the Carolina Panthers with a final score of 24-10.",0.06900655593423542,0.1111111111111111,1.0,0.19999999999999998,0.058823529411764705,1.0,0.1111111111111111,0.1111111111111111,1.0,0.19999999999999998,0.1111111111111111,1.0,0.19999999999999998
"Question: What city did Super Bowl 50 take place in?

Context: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","[""Santa Clara""]","Super Bowl 50 took place in Santa Clara, California at Levi's Stadium.",0.10482848367219184,0.15384615384615385,1.0,0.2666666666666667,0.08333333333333333,1.0,0.15384615384615385,0.15384615384615385,1.0,0.2666666666666667,0.15384615384615385,1.0,0.2666666666666667
"Question: What year did the Denver Broncos secure a Super Bowl title for the third time?

Context: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi's Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.","[""2015"", ""2016""]",The Denver Broncos secured their third Super Bowl title in the year 2016.,0.0,0.07692307692307693,0.5,0.13333333333333336,0.0,0.0,0.0,0.07692307692307693,0.5,0.13333333333333336,0.07692307692307693,0.5,0.13333333333333336
