step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.30973,0.85714,,
2,3.1255,0.875,,
3,2.14729,0.73333,,
4,3.10839,0.77778,,
5,3.83462,0.83333,,
6,4.84641,0.71429,,
7,2.21819,0.90909,,
8,4.32692,0.83333,,
9,4.586,0.83333,,
10,1.59206,0.88235,,
11,3.97408,0.71429,,
12,4.15273,0.71429,,
13,3.53243,0.85714,,
14,4.45176,0.83333,,
15,3.94574,0.85714,,
16,3.52978,0.85714,,
17,2.23432,0.90909,,
18,2.92602,0.85714,,
19,5.02841,0.6,,
20,4.49404,0.83333,,
21,2.17487,0.91667,,
22,2.76347,0.8,,
23,3.62845,0.83333,,
24,4.77461,0.83333,,
25,2.46007,0.9,,
26,1.71391,0.86364,,
27,4.47369,0.83333,,
28,3.62534,0.71429,,
29,2.45715,0.8,,
30,3.27457,0.875,,
31,5.15729,0.66667,,
32,3.0995,0.8,,
33,4.2316,0.83333,,
34,2.65252,0.84615,,
35,4.21871,0.77778,,
36,4.36468,0.71429,,
37,1.18975,0.93103,,
38,2.24872,0.8,,
39,3.1489,0.88889,,
40,5.11437,0.5,,
41,3.16974,0.75,,
42,3.68731,0.66667,,
43,4.10134,0.83333,,
44,4.71131,0.83333,,
45,3.46858,0.75,,
46,3.51563,0.66667,,
47,3.36686,0.85714,,
48,3.63291,0.85714,,
49,2.13262,0.91667,,
50,4.29126,0.66667,,
51,3.50709,0.85714,,
52,2.49838,0.8,,
53,3.07691,0.83333,,
54,4.22208,0.57143,,
55,3.00088,0.88889,,
56,3.61369,0.83333,,
57,3.68841,0.75,,
58,3.2738,0.875,,
59,7.14158,0.4,,
60,1.98326,0.90909,,
61,3.46237,0.71429,,
62,3.75079,0.77778,,
63,3.29822,0.85714,,
64,4.18052,0.83333,,
65,1.91736,0.92308,,
66,5.07555,0.5,,
67,2.43506,0.88889,,
68,2.93386,0.875,,
69,2.38692,0.875,,
70,4.30586,0.71429,,
71,4.31132,0.83333,,
72,2.20925,0.875,,
73,3.47667,0.71429,,
74,2.17793,0.9,,
75,3.46978,0.83333,,
76,3.0719,0.75,,
77,4.80563,0.6,,
78,4.95138,0.8,,
79,1.45937,0.83333,,
80,3.47903,0.71429,,
81,3.27266,0.66667,,
82,1.6712,0.875,,
83,1.87298,0.9,,
84,3.03874,0.66667,,
85,2.34372,0.75,,
86,2.41001,0.77778,,
87,2.17725,0.9,,
88,2.19569,0.90909,,
89,3.45764,0.57143,,
90,3.39087,0.85714,,
91,4.89068,0.6,,
92,2.01601,0.88889,,
93,4.40983,0.4,,
94,2.92947,0.83333,,
95,2.62837,0.66667,,
96,3.48037,0.8,,
97,1.90392,0.875,,
98,2.70116,0.85714,,
99,3.18661,0.85714,,
100,5.55307,0.6,,
101,2.24443,0.83333,,
102,1.81441,0.90909,,
103,2.93006,0.83333,,
104,3.12146,0.83333,,
105,3.55481,0.8,,
106,2.24168,0.8,,
107,2.95141,0.66667,,
108,2.73736,0.85714,,
109,2.60344,0.83333,,
110,1.34751,0.8,,
111,3.07859,0.66667,,
112,1.78729,0.85714,,
113,2.88299,0.83333,,
114,1.76305,0.85714,,
115,2.61711,0.7,,
116,1.90633,0.83333,,
117,1.35031,0.88889,,
118,2.62129,0.5,,
119,2.31042,0.71429,,
120,1.36789,0.90909,,
121,2.57362,0.83333,,
122,1.81251,0.83333,,
123,2.77385,0.57143,,
124,1.90535,0.8,,
125,4.30766,0.5,,
126,2.60517,0.85714,,
127,1.93197,0.83333,,
128,0.72774,0.91304,,
129,1.09729,0.9,,
130,1.01818,0.88889,,
131,0.95608,0.92593,,
132,0.90525,0.88889,,
133,1.41959,0.75,,
134,3.21313,0.6,,
135,2.79743,0.71429,,
136,2.97002,0.57143,,
137,1.31124,0.8,,
138,0.91477,0.85714,,
139,1.67211,0.88889,,
140,1.62121,0.8,,
141,2.92911,0.33333,,
142,1.33306,0.71429,,
143,2.56601,0.66667,,
144,1.22268,0.875,,
145,1.48222,0.76923,,
146,1.70217,0.875,,
147,1.752,0.83333,,
148,1.74768,0.85714,,
149,1.76049,0.625,,
150,1.57063,0.85714,,
151,1.06364,0.76923,,
152,1.27108,0.66667,,
153,0.46692,0.85714,,
154,0.57807,0.83333,,
155,0.94342,0.85714,,
156,0.37038,0.77778,,
157,1.5482,0.875,,
158,1.60676,0.8,,
159,0.6234,0.9,,
160,0.19085,1,,
161,0.94437,0.83333,,
162,1.16402,0.77778,,
163,0.89556,0.85714,,
164,0.28892,0.875,,
165,1.76627,0.6,,
166,0.87486,0.85714,,
167,1.03219,0.83333,,
168,0.07208,1,,
169,0.79645,0.5,,
170,0.38411,0.83333,,
171,0.74327,0.85714,,
172,0.26286,0.83333,,
173,0.61799,0.83333,,
174,0.54284,0.875,,
175,0.26511,0.77778,,
176,0.11079,1,,
177,0.55355,0.9,,
178,0.17321,1,,
179,0.91819,0.8,,
180,0.11703,1,,
181,0.01739,1,,
182,0.25797,0.8,,
183,0.18492,0.83333,,
184,0.00237,1,,
185,0.17611,0.875,,
186,0.46001,0.88889,,
187,0.18933,0.8,,
188,0.10194,1,,
189,0.02116,1,,
190,1.30403,0.75,,
191,0.01472,1,,
192,0.69012,0.9,,
193,0.65263,0.9,,
194,0.20156,0.90909,,
195,0.05774,1,,
196,0.03778,1,,
197,0.3387,0.88889,,
198,0.18468,0.91667,,
199,0.04628,1,,
200,0.01595,1,,
201,0.50825,0.83333,,
202,0.10747,0.90909,,
203,0.09181,1,,
204,0.00237,1,,
205,0.35173,0.75,,
206,0.00175,1,,
207,0.35683,0.83333,,
208,0.00913,1,,
209,0.61177,0.85714,,
210,0.2507,0.92308,,
211,0.00289,1,,
212,0.00289,1,,
213,0.02305,1,,
214,0.02023,1,,
215,0.00183,1,,
216,0.16567,0.8,,
217,0.0029,1,,
218,0.3108,0.77778,,
219,0.35672,0.85714,,
220,0.00324,1,,
221,0.0043,1,,
222,1.27295,0.71429,,
223,0.47229,0.88889,,
224,0.00133,1,,
225,0.02013,1,,
226,0.99163,0.85714,,
227,0.01051,1,,
228,0.00078,1,,
229,0.00188,1,,
230,0.00498,1,,
231,1.86241,0.875,,
232,0.00046,1,,
233,0.00084,1,,
234,0.39892,0.95652,,
235,1.17896,0.71429,,
236,0.00084,1,,
237,0.01358,1,,
238,0.04787,1,,
239,1.23071,0.8,,
240,0.00035,1,,
241,0.00279,1,,
242,0.0002,1,,
243,0.36283,0.875,,
244,0.00365,1,,
245,0.00059,1,,
246,0.29028,0.88889,,
247,0.32978,0.83333,,
248,0.00152,1,,
249,0.00033,1,,
250,0.50158,0.88889,,
251,0.00194,1,,
252,0.00794,1,,
253,0.7019,0.85714,,
254,0.03893,1,,
255,0.00254,1,,
256,0.0018,1,,
257,1.11396,0.9,,
258,0.17102,0.83333,,
259,0.0019,1,,
260,0.0011,1,,
261,0.2887,0.85714,,
262,1.30397,0.83333,,
263,0.00071,1,,
264,0.68587,0.875,,
265,0.00457,1,,
266,0.00039,1,,
267,0.64429,0.875,,
268,0.00245,1,,
269,0.6973,0.93333,,
270,0.00133,1,,
271,0.03242,1,,
272,0.0141,1,,
273,0.66907,0.91667,,
274,0.06036,1,,
275,0.2294,0.83333,,
276,0.00088,1,,
277,0.00229,1,,
278,0.00127,1,,
279,0.22571,0.92308,,
280,0.18123,0.875,,
281,1.10242,0.88889,,
282,0.0001,1,,
283,0.0002,1,,
284,0.00061,1,,
285,0.01458,1,,
286,0.78898,0.83333,,
287,0.00343,1,,
288,0.00011,1,,
289,0.22164,0.875,,
290,0.0001,1,,
291,2.23327,0.875,,
292,0.00264,1,,
293,0.00042,1,,
294,0.08502,1,,
295,0.75895,0.83333,,
296,0.0047,1,,
297,0.20759,0.8,,
298,0.00011,1,,
299,0.00031,1,,
300,0.0019,1,,
301,0.00887,1,,
302,1.29842,0.875,,
303,0.0001,1,,
304,0.78838,0.9,,
305,0.15217,0.91667,,
306,0.73607,0.875,,
307,3.00E-05,1,,
308,0.12276,0.875,,
309,0.10898,1,,
310,0.40565,0.875,,
311,0.00026,1,,
312,0.00083,1,,
313,0.54315,0.85714,,
314,0.90199,0.88889,,
315,0.04251,1,,
316,0.00067,1,,
317,0.00347,1,,
318,0.00116,1,,
319,0.00012,1,,
320,0.00044,1,,
321,0.04271,1,,
322,0.00661,1,,
323,0.00042,1,,
324,0.10235,0.94118,,
325,0.00162,1,,
326,0.01243,1,,
327,0.00016,1,,
328,0.0001,1,,
329,6.00E-05,1,,
330,6.00E-05,1,,
331,0.00266,1,,
332,8.00E-05,1,,
333,0.00105,1,,
334,0.0005,1,,
335,0.00127,1,,
336,0.04956,1,,
337,0.00063,1,,
338,1.02205,0.75,,
339,0.00011,1,,
340,0.41198,0.88889,,
341,2.00E-05,1,,
342,0.24087,0.9375,,
343,2.00E-05,1,,
344,2.11203,0.71429,,
345,0.16573,0.85714,,
346,6.00E-05,1,,
347,1.65717,0.66667,,
348,0.80039,0.75,,
349,0.00868,1,,
350,0.13329,0.85714,,
351,1.54235,0.8,,
352,0.00091,1,,
353,0.29231,0.88889,,
354,6.00E-05,1,,
355,0.00107,1,,
356,0.0042,1,,
357,0.13422,0.94118,,
358,0.58786,0.9,,
359,0.00225,1,,
360,0.01392,1,,
361,0.8239,0.88889,,
362,6.00E-05,1,,
363,0.01106,1,,
364,0.00226,1,,
365,1.00E-05,1,,
366,1.00E-05,1,,
367,0.05536,1,,
368,0.00513,1,,
369,0.06563,1,,
370,1.46012,0.83333,,
371,0.02658,1,,
372,5.00E-05,1,,
373,1.40753,0.88889,,
374,0.19834,0.92857,,
375,0.00011,1,,
376,0.22994,0.875,,
377,9.00E-05,1,,
378,0.00017,1,,
379,0.34554,0.88889,,
380,0.60907,0.83333,,
381,0.83859,0.71429,,
382,1.00E-05,1,,
383,0.00634,1,,
384,1.74282,0.875,,
385,0.00279,1,,
386,0.04107,1,,
387,0.00037,1,,
388,1.00E-05,1,,
389,2.00E-05,1,,
390,1.00E-05,1,,
391,2.00E-05,1,,
392,0.00795,1,,
393,1.00E-05,1,,
394,0,1,,
395,1.00E-05,1,,
396,0.15753,0.83333,,
397,1.00E-05,1,,
398,1.69721,0.6,,
399,1.92519,0.85714,,
400,1.00E-05,1,,
401,0.8244,0.85714,,
402,3.00E-05,1,,
403,1.19168,0.875,,
404,1.00E-05,1,,
405,0.30673,0.85714,,
406,0.46511,0.93333,,
407,5.00E-05,1,,
408,1.00E-05,1,,
409,0.01657,1,,
410,0.00593,1,,
411,1.00E-05,1,,
412,0.19002,0.88889,,
413,1.00E-05,1,,
414,0.00466,1,,
415,1.00E-05,1,,
416,3.00E-05,1,,
417,0.55016,0.83333,,
418,0.00013,1,,
419,1.39319,0.90909,,
420,1.00E-05,1,,
421,1.00E-05,1,,
422,1.20117,0.8,,
423,0.00415,1,,
424,3.00E-05,1,,
425,1.00E-05,1,,
426,0.56164,0.875,,
427,0.01869,1,,
428,1.00E-05,1,,
429,0.07496,1,,
430,0.86908,0.85714,,
431,0.03755,1,,
432,1.48618,0.81818,,
433,0.02769,1,,
434,0.19705,0.91667,,
435,0,1,,
436,1.00E-05,1,,
437,0.31974,0.875,,
438,1.00E-05,1,,
439,1.00E-05,1,,
440,0,1,,
441,1.00E-05,1,,
442,0.00023,1,,
443,0.1748,0.91667,,
444,0.00479,1,,
445,1.00E-05,1,,
446,0,1,,
447,0,1,,
448,1.73422,0.83333,,
449,0.61338,0.91892,,
450,0,1,,
451,2.15242,0.8,,
452,2.00E-05,1,,
453,2.38806,0.66667,,
454,0,1,,
455,1.00E-05,1,,
456,0.00019,1,,
457,0,1,,
458,0.00024,1,,
459,0.00164,1,,
460,0.96109,0.8,,
461,1.00E-05,1,,
462,6.00E-05,1,,
463,2.14693,0.83333,,
464,9.00E-05,1,,
465,0,1,,
466,0.38362,0.96667,,
467,1.43577,0.83333,,
468,0.00014,1,,
469,0.40087,0.9,,
470,0,1,,
471,0,1,,
472,0.00098,1,,
473,0,1,,
474,2.00E-05,1,,
475,0.00074,1,,
476,0.00051,1,,
477,0.11933,1,,
478,0,1,,
479,0,1,,
480,2.2855,0.85714,,
481,0.00011,1,,
482,1.14864,0.83333,,
483,1.00E-05,1,,
484,4.00E-05,1,,
485,0.04404,1,,
486,2.93044,0.8,,
487,4.00E-05,1,,
488,0.00013,1,,
489,1.10829,0.86667,,
490,0.6166,0.88889,,
491,0.55426,0.8,,
492,1.73376,0.83333,,
493,1.44395,0.85714,,
494,0,1,,
495,0,1,,
496,0,1,,
497,0.00521,1,,
498,0,1,,
499,0.28757,0.92857,,
500,0,1,,
501,2.41266,0.875,,
502,0,1,,
503,2.32752,0.85714,,
504,0,1,,
505,1.30216,0.83333,,
506,0.87315,0.9,,
507,0,1,,
508,1.71606,0.9,,
509,0,1,,
510,2.02984,0.8,,
511,2.046,0.8,,
512,0,1,,
513,0,1,,
514,0,1,,
515,0,1,,
516,0.00232,1,,
517,0,1,,
518,0,1,,
519,1.00E-05,1,,
520,0,1,,
521,0.78401,0.77778,,
522,0.53425,0.9,,
523,1.4975,0.875,,
524,9.00E-05,1,,
525,0.2304,0.91667,,
526,0.00306,1,,
527,0.00012,1,,
528,0.17808,0.875,,
529,0.26555,0.875,,
530,0,1,,
531,0,1,,
532,0,1,,
533,2.36219,0.83333,,
534,2.5178,0.85714,,
535,0.00071,1,,
536,1.43587,0.9,,
537,0,1,,
538,0.52156,0.83333,,
539,0,1,,
540,6.00E-05,1,,
541,3.43256,0.6,,
542,3.00E-05,1,,
543,1.00E-05,1,,
544,1.07698,0.91667,,
545,0,1,,
546,0.81118,0.8,,
547,2.10805,0.83333,,
548,0,1,,
549,0,1,,
550,0,1,,
551,0.75147,0.9,,
552,0.73068,0.96296,,
553,2.04218,0.89474,,
554,0.70578,0.89286,,
555,0,1,,
556,0.00075,1,,
557,0,1,,
558,1.86558,0.91667,,
559,0,1,,
560,0,1,,
561,0.36136,0.875,,
562,3.00E-05,1,,
563,0.80993,0.8,,
564,0,1,,
565,0.0004,1,,
566,3.00E-05,1,,
567,0.00266,1,,
568,0.35605,0.85714,,
569,0.03289,1,,
570,1.00E-05,1,,
571,0.00034,1,,
572,0.05092,1,,
573,0,1,,
574,0,1,,
575,0.70771,0.85714,,
576,0,1,,
577,3.18267,0.85714,,
578,2.00E-05,1,,
579,9.00E-05,1,,
580,0,1,,
581,0,1,,
582,0.21845,0.875,,
583,2.48998,0.83333,,
584,0.06412,1,,
585,3.04575,0.8,,
586,0.00181,1,,
587,0,1,,
588,2.16029,0.83333,,
589,1.00E-05,1,,
590,1.25976,0.875,,
591,0.00014,1,,
592,0,1,,
593,0.00484,1,,
594,0.08793,1,,
595,0,1,,
596,3.18565,0.66667,,
597,0,1,,
598,1.00E-05,1,,
599,0.22736,0.875,,
600,1.00775,0.85714,,
601,0.67097,0.9,,
602,0,1,,
603,0.30848,0.96296,,
604,0,1,,
605,0,1,,
606,0.0011,1,,
607,0.60058,0.83333,,
608,0.87455,0.83333,,
609,0.21665,0.875,,
610,0,1,,
611,0,1,,
612,0.00018,1,,
613,0,1,,
614,1.24367,0.71429,,
615,5.00E-05,1,,
616,0,1,,
617,0,1,,
618,4.06308,0.8,,
619,3.01164,0.77778,,
620,0,1,,
621,0.00108,1,,
622,0.01895,1,,
623,0,1,,
624,0,1,,
625,1.76432,0.9,,
626,0.61108,0.875,,
627,0.64713,0.85714,,
628,0.00033,1,,
629,0,1,,
630,0.84467,0.85714,,
631,0,1,,
632,1.84641,0.83333,,
633,0,1,,
634,0,1,,
