prompt,true_answer,model_answer,bleu,rouge1_precision,rouge1_recall,rouge1_f1,rouge2_precision,rouge2_recall,rouge2_f1,rougeL_precision,rougeL_recall,rougeL_f1,rougeLSum_precision,rougeLSum_recall,rougeLSum_f1
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: Which NFL team represented the NFC at Super Bowl 50?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""Carolina Panthers""]","[""Carolina Panthers""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: Where did Super Bowl 50 take place?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""Levi""s Stadium in the San Francisco Bay Area at Santa Clara, California."",""Levi""s Stadium"",""Santa Clara, California""]","[""Levi""s Stadium""]",0.03877420783172201,1.0,0.15789473684210525,0.2727272727272727,1.0,0.1111111111111111,0.19999999999999998,1.0,0.15789473684210525,0.2727272727272727,1.0,0.15789473684210525,0.2727272727272727
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What color was used to emphasize the 50th anniversary of the Super Bowl?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""gold""]","[""gold""]",1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What was the theme of Super Bowl 50?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""gold-themed"",""\""golden anniversary\"""",""\""golden anniversary""]","[""golden anniversary""]",0.0820849986238988,1.0,0.3333333333333333,0.5,1.0,0.2,0.33333333333333337,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What day was the game played on?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""February 7, 2016"",""February 7""]","[""February 7, 2016""]",0.5352614285189903,1.0,0.6,0.7499999999999999,1.0,0.5,0.6666666666666666,1.0,0.6,0.7499999999999999,1.0,0.6,0.7499999999999999
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What is the AFC short for?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""American Football Conference""]","[""American Football Conference""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What does AFC stand for?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""American Football Conference""]","[""American Football Conference""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: Who won Super Bowl 50?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""Denver Broncos""]","[""Denver Broncos""]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What city did Super Bowl 50 take place in?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""Santa Clara""]","[""Santa Clara, California""]",0.6546536707079771,0.6666666666666666,1.0,0.8,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8
"[{'role': 'system', 'content': 'You are tasked with extracting relevant information from the provided context to answer the following question. If no relevant information is found, do not return anything.'}, {'role': 'user', 'content': 'Question: What year did the Denver Broncos secure a Super Bowl title for the third time?\n\nContext: Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) champion Carolina Panthers 24â10 to earn their third Super Bowl title. The game was played on February 7, 2016, at Levi\'s Stadium in the San Francisco Bay Area at Santa Clara, California. As this was the 50th Super Bowl, the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50.'}]","[""2015"",""2016""]","[""2016""]",0.4493289641172217,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666
