section,start_page,end_page,id,filename
1.1 S u m m a ry De s c rip tio n o f th e P ro je c t,2,2,882,882_proj_desc_882_11jul2012.pdf
1.2 S e c to ra l S c o p e a n d P ro je c t Typ e,2,2,882,882_proj_desc_882_11jul2012.pdf
1.3 P ro je c t P ro p o n e n t,2,2,882,882_proj_desc_882_11jul2012.pdf
1.4 Oth e r En titie s In vo lve d in th e P ro je c t,2,2,882,882_proj_desc_882_11jul2012.pdf
1.5 P ro je c t S ta rt Da te,2,2,882,882_proj_desc_882_11jul2012.pdf
1.6 P ro je c t Cre d itin g P e rio d,2,2,882,882_proj_desc_882_11jul2012.pdf
1.7 P ro je c t S c a le a n d Es tim a te d GHG Em is s io n Re d u c tio n s o r Re m o va ls,2,3,882,882_proj_desc_882_11jul2012.pdf
1.8 De s c rip tio n o f th e P ro je c t Ac tivity,3,3,882,882_proj_desc_882_11jul2012.pdf
1.9 P ro je c t Lo c a tio n,3,3,882,882_proj_desc_882_11jul2012.pdf
1.10 Co n d itio n s P rio r to P ro je c t In itia tio n,3,3,882,882_proj_desc_882_11jul2012.pdf
"1.11 Co m p lia n c e with Laws , S ta tu te s a n d Oth e r Re g u la to ry Fra m e wo rks",3,3,882,882_proj_desc_882_11jul2012.pdf
1.12 Own e rs h ip a n d Oth e r P ro g ra m s,3,3,882,882_proj_desc_882_11jul2012.pdf
1.12.1 P ro o f o f Title,3,3,882,882_proj_desc_882_11jul2012.pdf
1.12.2 Em is s io n s Tra d in g P ro g ra m s a n d Oth e r Bin d in g Lim its,3,3,882,882_proj_desc_882_11jul2012.pdf
1.12.3 P a rtic ip a tio n u n d e r Oth e r GHG P ro g ra m s,3,3,882,882_proj_desc_882_11jul2012.pdf
1.12.4 Oth e r Fo rm s o f En viro n m e n ta l Cre d it,3,4,882,882_proj_desc_882_11jul2012.pdf
1.12.5 P ro je c ts Re je c te d b y Oth e r GHG P ro g ra m s,4,4,882,882_proj_desc_882_11jul2012.pdf
1.13 Ad d itio n a l In fo rm a tio n Re le va n t to th e P ro je c t,4,7,882,882_proj_desc_882_11jul2012.pdf
1.11 Compliance with CONAF”),15,15,886,886_proj_desc_886_06jun2012.pdf
1.1 Unique Project Benefits,3,4,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
1.2 Standardized Benefit Metrics,4,8,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.1 Project Description,8,8,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.1.1 Implementation Description,8,9,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.1.2 Project Category and Activity Type,9,9,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.1.3 Project Proponent(s),9,9,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.1.4 Other Entities Involved in the Project,9,9,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.1.5 Project Start Date (G1.9),9,9,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.1.6 Project Crediting Period (G1.9),9,9,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.1.7 Project Location,9,10,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.1.8 Title and Reference of Methodology,10,10,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.1.9 Other Programs (G5.9),10,10,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.1.10 Sustainable Development,10,11,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.2 Project Implementation Status,11,11,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.2.1 Implementation Schedule (G1.9),11,13,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.2.2 Methodology Deviations,13,13,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.2.3 Minor Changes to Project Description,13,13,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.2.4 Project Description Deviations (Rules 3.5.7 – 3.5.10),13,13,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.2.5 Grouped Projects,13,16,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.2.6 Risks to the Project (G1.10),16,16,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.2.7 Benefit Permanence (G1.11),16,17,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.3 Stakeholder Engagement,17,17,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.3.1 Stakeholder Access to Project Documents (G3.1),17,17,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.3.2 Dissemination of Summary Project Documents (G3.1),17,17,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.3.3 Informational Meetings with Stakeholders (G3.1),17,18,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
"2.3.4 Community Costs, Risks, and Benefits (G3.2)",18,18,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.3.5 Information to Stakeholder on Verification Process (G3.3),18,24,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.4 Management Capacity,24,24,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.4.1 Required Technical Skills (G4.2),24,25,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.4.2 Management Team Experience (G4.2),25,26,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.4.3 Project Management Partnerships/Team Development (G4.2),26,26,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.4.4 Financial Health of Implementing Organization(s) (G4.3),26,26,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.4.5 Avoidance of Corruption and Other Unethical Behavior (G4.3),26,26,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.4.6 Commercially Sensitive Information (Rules 3.5.13 – 3.5.14),26,27,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.5 Legal Status and Property Rights,27,27,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.5.1 Recognition of Property Rights (G5.1),27,27,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
"2.5.2 Free, Prior and Informed Consent (G5.2)",27,27,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.5.3 Property Right Protection (G5.3),27,27,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.5.4 Identification of Illegal Activity (G5.4),27,28,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.5.5 Ongoing Disputes (G5.5),28,28,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
2.5.6 National and Local Laws (G5.6),28,28,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
3.1 Monitoring GHG Emission Reductions and Removals,28,28,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
3.1.1 Data and Parameters Available at Validation,28,32,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
3.1.2 Data and Parameters Monitored,32,34,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
3.1.3 Monitoring Plan,34,37,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
3.1.4 Dissemination of Monitoring Plan and Results (CL4.2),37,37,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
3.2 QUANTIFICATION OF GHG EMISSION REDUCTIONS AND REMOVALS,37,37,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
3.2.1 Baseline Emissions,37,38,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
3.2.2 Project Emissions,38,40,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
3.2.3 Leakage,40,41,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
3.2.4 Net GHG Emission Reductions and Removals23,41,41,2338,2338_tist_ke_pd-vcs-010h_app07_monit_rpt_v01_210226_v4.pdf
