Day,metric_type,zone,country,Min,Max,Average,Month,Country,2021 carbon stock (million t),Norm Min,Norm Max,Norm Average,Average Score,Total Average Score,Max Score,Min Score
07 Jan,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.95,6.62,2.42,1,Brazil,51894.2395,1.83064634755848e-05,0.00012756714548249617,4.663330695885812e-05,1,1.5,1,1
14 Jan,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,1.0,4.72,2.03,1,Brazil,51894.2395,1.9269961553247156e-05,9.095421853132658e-05,3.911802195309172e-05,1,1.5,2,1
21 Jan,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.76,3.12,1.65,1,Brazil,51894.2395,1.464517078046784e-05,6.012228004613113e-05,3.179543656285781e-05,1,1.5,1,1
28 Jan,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.79,4.99,1.66,1,Brazil,51894.2395,1.5223269627065254e-05,9.615710815070331e-05,3.198813617839028e-05,1,1.5,1,1
04 Feb,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.71,3.18,1.44,2,Brazil,51894.2395,1.3681672702805481e-05,6.127847773932596e-05,2.7748744636675904e-05,1,1.5,2,1
11 Feb,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.79,3.11,1.47,2,Brazil,51894.2395,1.5223269627065254e-05,5.992958043059865e-05,2.832684348327332e-05,1,1.5,2,1
18 Feb,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.5,3.67,1.34,2,Brazil,51894.2395,9.634980776623578e-06,7.072075890041706e-05,2.582174848135119e-05,2,1.5,2,1
25 Feb,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.53,2.53,1.18,2,Brazil,51894.2395,1.0213079623220993e-05,4.8753002729715304e-05,2.2738554632831644e-05,2,1.5,2,1
03 Mar,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.4,2.62,1.27,3,Brazil,51894.2395,7.707984621298863e-06,5.048729926950755e-05,2.4472851172623888e-05,1,1.3,1,1
10 Mar,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.44,4.79,1.69,3,Brazil,51894.2395,8.478783083428748e-06,9.230311584005389e-05,3.256623502498769e-05,2,1.5,1,2
17 Mar,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.67,5.64,1.67,3,Brazil,51894.2395,1.2910874240675595e-05,0.00010868258316031396,3.218083579392275e-05,2,1.3,2,2
24 Mar,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.6,5.46,1.53,3,Brazil,51894.2395,1.1561976931948293e-05,0.00010521399008072948,2.9483041176468148e-05,1,1.3,1,2
31 Mar,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.55,2.81,1.25,3,Brazil,51894.2395,1.0598478854285936e-05,5.414859196462451e-05,2.4087451941558946e-05,1,1.2,1,2
07 Apr,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.51,4.01,1.38,4,Brazil,51894.2395,9.82768039215605e-06,7.72725458285211e-05,2.6592546943481075e-05,1,1.3,1,1
14 Apr,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.66,2.7,1.15,4,Brazil,51894.2395,1.2718174625143124e-05,5.2028896193767326e-05,2.216045578623423e-05,2,1.3,1,2
21 Apr,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.51,2.1,1.03,4,Brazil,51894.2395,9.82768039215605e-06,4.046691926181903e-05,1.984806039984457e-05,1,1.3,1,2
28 Apr,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.63,2.35,1.25,4,Brazil,51894.2395,1.2140075778545708e-05,4.528440965013082e-05,2.4087451941558946e-05,1,1.3,1,2
05 May,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.4,2.21,1.41,5,Brazil,51894.2395,7.707984621298863e-06,4.258661503267622e-05,2.717064579007849e-05,1,1.3,1,1
12 May,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.48,3.22,1.61,5,Brazil,51894.2395,9.249581545558634e-06,6.204927620145585e-05,3.102463810072792e-05,2,1.5,1,1
19 May,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.78,5.77,1.86,5,Brazil,51894.2395,1.5030570011532783e-05,0.00011118767816223609,3.5842128489039714e-05,2,1.5,1,1
26 May,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.98,6.33,2.26,5,Brazil,51894.2395,1.8884562322182214e-05,0.0001219788566320545,4.355011311033857e-05,1,1.5,1,1
02 Jun,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,0.99,6.09,2.42,6,Brazil,51894.2395,1.9077261937714683e-05,0.00011735406585927517,4.663330695885812e-05,2,1.7,2,1
09 Jun,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,1.28,9.46,3.06,6,Brazil,51894.2395,2.466555078815636e-05,0.00018229383629371813,5.8966082352936296e-05,2,1.7,2,1
16 Jun,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,1.0,13.75,3.84,6,Brazil,51894.2395,1.9269961553247156e-05,0.0002649619713571484,7.399665236446907e-05,2,1.7,2,1
23 Jun,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,2.07,14.03,4.69,6,Brazil,51894.2395,3.9888820415221614e-05,0.00027035756059205757,9.037611968472917e-05,2,1.8,2,1
30 Jun,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,2.14,18.93,5.68,6,Brazil,51894.2395,4.1237717723948916e-05,0.0003647803722029687,0.00010945338162244385,2,1.8,2,2
07 Jul,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,1.37,22.1,5.95,7,Brazil,51894.2395,2.6399847327948605e-05,0.00042586615032676217,0.00011465627124182058,2,1.8,2,1
14 Jul,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,3.12,27.83,7.43,7,Brazil,51894.2395,6.012228004613113e-05,0.0005362830300268683,0.00014317581434062637,1,1.7,2,1
21 Jul,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,3.56,15.14,7.52,7,Brazil,51894.2395,6.860106312955988e-05,0.000291747217916162,0.0001449101108804186,2,1.8,2,1
28 Jul,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,3.17,28.67,12.05,7,Brazil,51894.2395,6.108577812379348e-05,0.000552469797731596,0.00023220303671662825,1,1.8,2,1
04 Aug,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,6.24,48.17,17.99,8,Brazil,51894.2395,0.00012024456009226227,0.0009282340480199155,0.00034666660834291633,2,2.0,2,1
11 Aug,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,5.48,70.58,27.8,8,Brazil,51894.2395,0.00010559938931179442,0.0013600738864281842,0.0005357049311802709,1,2.0,3,1
18 Aug,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,4.37,79.58,36.09,8,Brazil,51894.2395,8.420973198769007e-05,0.0015335035404074086,0.0006954529124566899,1,2.0,2,1
25 Aug,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,9.11,76.74,37.94,8,Brazil,51894.2395,0.0001755493497500816,0.0014787768495961866,0.000731102341330197,1,2.0,3,2
01 Sep,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,10.77,85.9,35.51,9,Brazil,51894.2395,0.00020753748592847187,0.0016552896974239308,0.0006842763347558065,1,2.0,3,1
08 Sep,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,9.75,131.15,51.88,9,Brazil,51894.2395,0.00018788212514415977,0.0025272554577083647,0.0009997256053824626,1,2.2,3,1
15 Sep,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,18.97,117.74,57.67,9,Brazil,51894.2395,0.0003655511706650985,0.00226884527327932,0.0011112986827757636,1,2.2,3,1
22 Sep,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,16.92,133.0,51.06,9,Brazil,51894.2395,0.0003260477494809419,0.0025629048865818717,0.0009839242369087998,1,2.0,3,1
29 Sep,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,13.22,127.61,38.35,9,Brazil,51894.2395,0.00025474889173392743,0.0024590397938098695,0.0007390030255670284,1,2.0,3,1
06 Oct,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,11.23,71.86,30.8,10,Brazil,51894.2395,0.00021640166824296556,0.0013847394372163407,0.0005935148158400125,1,2.0,3,2
13 Oct,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,11.11,56.94,29.01,10,Brazil,51894.2395,0.0002140892728565759,0.001097231610841893,0.0005590215846597,3,2.3,2,2
20 Oct,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,5.8,54.69,25.93,10,Brazil,51894.2395,0.00011176577700883351,0.001053874197347087,0.0004996701030756987,1,2.0,2,2
27 Oct,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,9.3,39.45,20.08,10,Brazil,51894.2395,0.00017921064244519856,0.0007601999832756004,0.00038694082798920287,3,2.3,2,2
03 Nov,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,5.8,30.0,16.06,11,Brazil,51894.2395,0.00011176577700883351,0.0005780988465974147,0.0003094755825451493,3,2.0,2,2
10 Nov,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,5.47,29.02,14.97,11,Brazil,51894.2395,0.00010540668969626193,0.0005592142842752325,0.0002884713244521099,1,1.8,2,2
17 Nov,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,3.66,36.65,15.25,11,Brazil,51894.2395,7.052805928488459e-05,0.0007062440909265083,0.00029386691368701916,3,2.3,2,1
24 Nov,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,6.32,34.99,12.6,11,Brazil,51894.2395,0.00012178615701652203,0.000674255954748118,0.00024280151557091418,1,1.8,3,2
01 Dec,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,2.72,22.46,11.11,12,Brazil,51894.2395,5.241429542483227e-05,0.00043280333648593113,0.0002140892728565759,1,1.7,2,2
08 Dec,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,1.25,24.46,9.3,12,Brazil,51894.2395,2.4087451941558946e-05,0.00047134325959242545,0.00017921064244519856,1,1.7,3,1
15 Dec,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,2.5,18.77,7.05,12,Brazil,51894.2395,4.817490388311789e-05,0.0003616971783544491,0.00013585322895039246,1,1.7,2,1
22 Dec,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,1.27,14.75,5.41,12,Brazil,51894.2395,2.4472851172623888e-05,0.00028423193291039555,0.00010425049200306713,1,1.7,2,1
29 Dec,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,America,Brazil,1.43,8.44,3.55,12,Brazil,51894.2395,2.755604502114343e-05,0.000162638475509406,6.84083635140274e-05,1,1.7,2,1
07 Jan,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,Europe,Spain,0.0,0.07,0.02,1,Spain,714.2029,0.0,9.801136343747695e-05,2.8003246696421984e-05,1,1.8,1,1
14 Jan,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,Europe,Spain,0.0,0.07,0.02,1,Spain,714.2029,0.0,9.801136343747695e-05,2.8003246696421984e-05,1,1.8,2,1
21 Jan,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,Europe,Spain,0.0,0.05,0.01,1,Spain,714.2029,0.0,7.000811674105496e-05,1.4001623348210992e-05,1,1.7,1,1
28 Jan,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,Europe,Spain,0.0,0.14,0.03,1,Spain,714.2029,0.0,0.0001960227268749539,4.200487004463297e-05,1,1.7,1,1
04 Feb,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,Europe,Spain,0.0,0.09,0.03,2,Spain,714.2029,0.0,0.00012601461013389892,4.200487004463297e-05,1,1.8,2,1
11 Feb,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,Europe,Spain,0.0,0.13,0.04,2,Spain,714.2029,0.0,0.0001820211035267429,5.600649339284397e-05,1,1.7,2,1
18 Feb,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,Europe,Spain,0.0,0.22,0.05,2,Spain,714.2029,0.0,0.00030803571366064183,7.000811674105496e-05,2,2.0,2,1
25 Feb,GWIS Weekly Emissions - [CO2] - Carbon Dioxide,Europe,Spain,0.0,0.18,0.04,2,Spain,714.2029,0.0,0.00025202922026779784,5.600649339284397e-05,2,2.0,2,1
