country,GWIS Weekly Cumulative Burnt Areas,GWIS Weekly Cumulative Emissions - [CO2] - Carbon Dioxide,GWIS Weekly Cumulative Number of Fires,GWIS Weekly Cumulative Severity Rating,MODIS Weekly Cumulative Thermal Anomalies,VIIRS Weekly Cumulative Thermal Anomalies,Average Scoring
Afghanistan,3,5,3,5,3,3,3.7
Akrotiri and Dhekelia,2,2,2,1,1,2,1.7
Albania,3,1,3,3,3,3,2.7
Algeria,4,2,4,5,4,4,3.8
American Samoa,1,1,1,1,1,1,1
Andorra,1,4,1,1,1,1,1.5
Angola,5,5,5,5,5,5,5
Anguilla,1,1,1,2,1,1,1.2
Antigua and Barbuda,2,2,2,3,2,2,2.2
Argentina,5,4,5,5,5,5,4.8
Armenia,3,4,3,3,3,3,3.2
Aruba,1,2,1,4,1,2,1.8
Australia,5,5,5,5,5,5,5
Austria,2,3,2,2,3,3,2.5
Azerbaijan,4,5,4,4,4,3,4
Bahamas,3,5,3,3,3,3,3.3
Bahrain,1,2,1,5,1,2,2
Bangladesh,4,2,4,4,4,4,3.7
Barbados,2,1,2,3,2,2,2
Belarus,4,5,4,2,4,4,3.8
Belgium,2,5,2,2,3,3,2.8
Belize,4,5,4,2,4,4,3.8
Benin,5,3,5,5,5,5,4.7
Bermuda,1,1,1,2,1,1,1.2
Bhutan,3,4,3,1,3,3,2.8
Bolivia,5,4,5,4,5,5,4.7
"Bonaire, Sint Eustatius and Saba",1,2,1,3,1,1,1.5
Bosnia and Herzegovina,4,4,4,2,4,3,3.5
Botswana,5,3,4,5,5,5,4.5
Bouvet Island,1,1,1,1,1,1,1
Brazil,5,5,5,4,5,5,4.8
British Indian Ocean Territory,1,1,1,1,1,1,1
British Virgin Islands,2,3,2,3,1,2,2.2
Brunei,2,4,2,1,2,2,2.2
Bulgaria,4,5,4,3,4,4,4
Burkina Faso,5,0,5,5,4,5,4
Burundi,4,5,4,4,3,3,3.8
Cambodia,5,3,5,4,5,5,4.5
Cameroon,5,3,0,4,5,5,3.7
Canada,5,4,5,2,5,5,4.3
Cape Verde,2,4,2,4,2,2,2.7
Caspian Sea,3,5,3,1,3,3,3
Cayman Islands,2,1,1,3,1,1,1.5
Central African Republic,5,4,5,5,5,5,4.8
Chad,5,3,5,5,5,5,4.7
Chile,4,2,4,4,4,4,3.7
China,5,3,5,4,5,5,4.5
Christmas Island,1,1,1,3,1,1,1.3
Cocos Islands,1,1,1,1,1,1,1
Colombia,5,3,5,3,5,5,4.3
Comoros,3,3,3,3,2,2,2.7
Cook Islands,1,1,1,2,1,1,1.2
Costa Rica,4,5,4,3,4,4,4
Croatia,3,5,3,3,3,3,3.3
Cuba,4,2,4,4,4,4,3.7
Curaçao,2,2,2,3,2,2,2.2
Cyprus,3,3,2,4,2,2,2.7
Czech Republic,2,4,2,2,3,3,2.7
Côte d'Ivoire,5,3,5,4,5,5,4.5
Democratic Republic of the Congo,5,5,5,4,5,5,4.8
Denmark,2,4,2,2,2,2,2.3
Djibouti,2,3,2,5,2,2,2.7
Dominica,2,2,2,3,1,2,2
Dominican Republic,4,5,4,3,4,4,4
Ecuador,4,2,4,2,4,4,3.3
Egypt,3,5,3,5,3,4,3.8
El Salvador,4,5,4,4,4,4,4.2
Equatorial Guinea,3,4,3,1,3,2,2.7
Eritrea,3,2,3,5,3,2,3
Estonia,2,3,2,2,2,2,2.2
Ethiopia,5,3,5,5,5,5,4.7
Falkland Islands,3,4,2,2,2,2,2.5
Faroe Islands,1,1,1,1,1,1,1
Fiji,3,1,3,2,3,3,2.5
Finland,2,4,3,1,3,2,2.5
France,4,2,4,3,4,4,3.5
French Guiana,3,5,3,1,3,3,3
French Polynesia,1,1,1,3,2,1,1.5
French Southern Territories,1,1,1,1,2,1,1.2
Gabon,4,5,4,2,4,4,3.8
Gambia,4,5,4,4,3,3,3.8
Georgia,3,4,3,3,3,3,3.2
Germany,3,5,3,2,4,4,3.5
Ghana,5,3,5,4,5,5,4.5
Gibraltar,1,2,1,4,1,1,1.7
Greece,4,2,4,4,4,4,3.7
Greenland,2,4,2,1,2,2,2.2
Grenada,1,2,1,3,1,1,1.5
Guadeloupe,2,2,2,1,2,2,1.8
Guam,2,4,2,2,2,2,2.3
Guatemala,4,2,4,3,4,4,3.5
Guernsey,1,3,1,1,1,1,1.3
Guinea,5,4,5,4,5,5,4.7
Guinea-Bissau,4,2,4,5,4,4,3.8
Guyana,4,5,4,2,4,4,3.8
Haiti,3,4,3,4,3,3,3.3
Heard Island and McDonald Islands,1,1,1,1,1,1,1
Honduras,4,2,5,3,4,4,3.7
Hong Kong,2,4,2,3,2,2,2.5
Hungary,3,4,3,3,3,3,3.2
Iceland,3,2,3,1,3,3,2.5
India,5,3,5,5,5,5,4.7
Indonesia,5,4,5,2,5,5,4.3
Iran,4,5,4,5,5,5,4.7
Iraq,4,2,4,5,5,5,4.2
Ireland,3,4,3,1,2,2,2.5
Isle of Man,1,4,1,1,1,1,1.5
Israel,3,4,3,4,3,3,3.3
Italy,4,2,4,3,4,4,3.5
Jamaica,3,4,3,3,3,3,3.2
Japan,3,5,3,2,4,4,3.5
Jersey,1,3,1,1,1,1,1.3
Jordan,2,2,2,5,2,2,2.5
Kazakhstan,5,3,5,5,5,5,4.7
Kenya,4,2,4,5,4,4,3.8
Kiribati,1,3,1,1,2,1,1.5
Kosovo under UNSCR 1244,3,3,3,1,3,3,2.7
Kuwait,2,5,2,5,2,2,3
Kyrgyzstan,3,5,3,3,3,3,3.3
Laos,5,4,5,3,5,5,4.5
Latvia,2,3,2,2,2,2,2.2
Lebanon,3,4,3,4,2,2,3
Lesotho,3,5,3,4,3,3,3.5
Liberia,4,2,4,2,4,4,3.3
Libya,3,5,3,5,3,4,3.8
Liechtenstein,1,1,1,1,1,1,1
Lithuania,2,3,2,2,2,2,2.2
Luxembourg,1,2,1,2,2,2,1.7
Macao,1,1,1,3,1,1,1.3
Madagascar,5,3,5,4,5,5,4.5
Malawi,5,2,5,4,4,4,4
