metric_type,country,Quarter,zone,Average,Min,Max,Country,2021 carbon stock (million t),Norm Min,Norm Max,Norm Average,Average Score,Total Average Score,Max Score,Min Score
GWIS Weekly Burnt Areas,Algeria,Q1,Africa,264.0261538461539,0.0,887.0769230769231,Algeria,37.0172,0.0,23.963911994341093,7.132526334951154,3,3.8,3,1
GWIS Weekly Burnt Areas,Algeria,Q2,Africa,873.3138461538462,59.23076923076923,2971.153846153846,Algeria,37.0172,1.6000877762437253,80.26414332131674,23.592109780152093,4,4.2,4,2
GWIS Weekly Burnt Areas,Algeria,Q3,Africa,13528.192307692309,676.5384615384615,54989.769230769234,Algeria,37.0172,18.276327262420214,1485.5194134286016,365.4569310399573,5,4.8,5,2
GWIS Weekly Burnt Areas,Algeria,Q4,Africa,1135.063076923077,65.3076923076923,4502.076923076923,Algeria,37.0172,1.7642526260141853,121.62121724703442,30.663126247341154,4,4.2,4,2
GWIS Weekly Burnt Areas,American Samoa,Q1,Oceania,0.0,0.0,0.0,American Samoa,1.5153,0.0,0.0,0.0,1,1.8,1,1
GWIS Weekly Burnt Areas,American Samoa,Q2,Oceania,0.0,0.0,0.0,American Samoa,1.5153,0.0,0.0,0.0,1,1.8,1,1
GWIS Weekly Burnt Areas,American Samoa,Q3,Oceania,0.0,0.0,0.0,American Samoa,1.5153,0.0,0.0,0.0,1,1.7,1,1
GWIS Weekly Burnt Areas,American Samoa,Q4,Oceania,0.0,0.0,0.0,American Samoa,1.5153,0.0,0.0,0.0,1,2.0,1,1
GWIS Weekly Burnt Areas,Andorra,Q1,Europe,0.0,0.0,0.0,Andorra,1.3898,0.0,0.0,0.0,1,1.0,1,1
GWIS Weekly Burnt Areas,Andorra,Q2,Europe,0.0,0.0,0.0,Andorra,1.3898,0.0,0.0,0.0,1,2.0,1,1
GWIS Weekly Burnt Areas,Andorra,Q3,Europe,0.0,0.0,0.0,Andorra,1.3898,0.0,0.0,0.0,1,2.2,1,1
GWIS Weekly Burnt Areas,Andorra,Q4,Europe,0.0,0.0,0.0,Andorra,1.3898,0.0,0.0,0.0,1,1.0,1,1
GWIS Weekly Burnt Areas,Angola,Q1,Africa,9457.315384615385,386.38461538461536,39025.53846153846,Angola,1141.384,0.3385228944725135,34.19141889279897,8.285831398210755,4,3.0,3,2
GWIS Weekly Burnt Areas,Angola,Q2,Africa,722785.4292307693,393735.53846153844,1137003.2307692308,Angola,1141.384,344.96325378797883,996.1618795858631,633.2535143569291,5,4.3,5,3
GWIS Weekly Burnt Areas,Angola,Q3,Africa,1930452.456153846,1161790.6923076923,2733776.3846153845,Angola,1141.384,1017.8789016734878,2395.141674156449,1691.3260183722973,5,4.5,5,2
GWIS Weekly Burnt Areas,Angola,Q4,Africa,99390.20615384614,26843.76923076923,237037.3076923077,Angola,1141.384,23.51861356981457,207.67533774111752,87.07867479642798,5,4.0,5,3
GWIS Weekly Burnt Areas,Anguilla,Q1,America,0.0,0.0,0.0,Anguilla,0.6954,0.0,0.0,0.0,1,1.8,1,1
GWIS Weekly Burnt Areas,Anguilla,Q2,America,0.0,0.0,0.0,Anguilla,0.6954,0.0,0.0,0.0,1,2.3,1,1
GWIS Weekly Burnt Areas,Anguilla,Q3,America,0.0,0.0,0.0,Anguilla,0.6954,0.0,0.0,0.0,1,2.2,1,1
GWIS Weekly Burnt Areas,Anguilla,Q4,America,0.0,0.0,0.0,Anguilla,0.6954,0.0,0.0,0.0,1,1.8,1,1
GWIS Weekly Burnt Areas,Antigua and Barbuda,Q1,America,2.75,0.0,33.0,Antigua and Barbuda,1.0182,0.0,32.410135533294046,2.700844627774504,3,3.7,3,1
GWIS Weekly Burnt Areas,Antigua and Barbuda,Q2,America,3.102307692307692,0.0,37.23076923076923,Antigua and Barbuda,1.0182,0.0,36.56528111448559,3.0468549325355454,3,4.0,3,1
GWIS Weekly Burnt Areas,Antigua and Barbuda,Q3,America,1.25,0.0,15.0,Antigua and Barbuda,1.0182,0.0,14.731879787860931,1.2276566489884109,3,4.0,3,1
GWIS Weekly Burnt Areas,Antigua and Barbuda,Q4,America,0.9615384615384616,0.0,11.538461538461538,Antigua and Barbuda,1.0182,0.0,11.332215221431486,0.9443512684526238,2,3.5,3,1
GWIS Weekly Burnt Areas,Argentina,Q1,America,60353.44923076923,8298.615384615385,233528.61538461538,Argentina,3171.3836,2.616717632208032,73.63619316963592,19.030636732424682,4,3.3,4,2
GWIS Weekly Burnt Areas,Argentina,Q2,America,26927.30846153846,3970.846153846154,107513.38461538461,Argentina,3171.3836,1.2520863618788196,33.90109749428754,8.490713157985196,4,2.8,3,2
GWIS Weekly Burnt Areas,Argentina,Q3,America,167150.89769230768,48725.307692307695,460966.46153846156,Argentina,3171.3836,15.364053623884443,145.351846285155,52.70598539145743,5,4.0,4,2
GWIS Weekly Burnt Areas,Argentina,Q4,America,76752.54538461538,10641.692307692309,244306.53846153847,Argentina,3171.3836,3.3555361475957395,77.03468557431478,24.20159623219827,4,3.5,4,2
GWIS Weekly Burnt Areas,Armenia,Q1,Asia,93.8076923076923,0.0,689.6153846153846,Armenia,15.3757,0.0,44.85099114937106,6.101035550101283,3,3.5,4,1
